"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",-1,
02016,"""Aleutians West, (AK)""",-1,
02020,"""Anchorage, (AK)""",13.9,"11.6 - 17.7 (245)"
02050,"""Bethel, (AK)""",-1,
02060,"""Bristol Bay, (AK)""",-1,
02068,"""Denali, (AK)""",-1,
02070,"""Dillingham, (AK)""",-1,
02090,"""Fairbanks North Star, (AK)""",49.5,"40.9 - 184.5 (243)"
02100,"""Haines, (AK)""",-1,
02105,"""Hoonah-Angoon, (AK)""",-1,
02110,"""Juneau, (AK)""",-1,
02122,"""Kenai Peninsula, (AK)""",-1,
02130,"""Ketchikan Gateway, (AK)""",13.9,"11.6 - 17.7 (245)"
02150,"""Kodiak Island, (AK)""",-1,
02164,"""Lake and Peninsula, (AK)""",-1,
02170,"""Matanuska-Susitna, (AK)""",53.8,"40.9 - 184.5 (243)"
02180,"""Nome, (AK)""",-1,
02185,"""North Slope, (AK)""",-1,
02188,"""Northwest Arctic, (AK)""",-1,
02195,"""Petersburg, (AK)""",-1,
02198,"""Prince of Wales-Hyder, (AK)""",-1,
02220,"""Sitka, (AK)""",-1,
02230,"""Skagway, (AK)""",-1,
02240,"""Southeast Fairbanks, (AK)""",-1,
02261,"""Valdez-Cordova, (AK)""",-1,
02158,"""Kusilvak, (AK)""",-1,
02275,"""Wrangell, (AK)""",-1,
02282,"""Yakutat, (AK)""",-1,
02290,"""Yukon-Koyukuk, (AK)""",-1,
06001,"""Alameda, (CA)""",21.4,"17.8 - 26.4 (245)"
06005,"""Amador, (CA)""",39.4,"26.5 - 40.8 (239)"
06007,"""Butte, (CA)""",28.9,"26.5 - 40.8 (239)"
06009,"""Calaveras, (CA)""",-1,
06011,"""Colusa, (CA)""",21.6,"17.8 - 26.4 (245)"
06013,"""Contra Costa, (CA)""",20.2,"17.8 - 26.4 (245)"
06015,"""Del Norte, (CA)""",-1,
06017,"""El Dorado, (CA)""",31.8,"26.5 - 40.8 (239)"
06021,"""Glenn, (CA)""",-1,
06023,"""Humboldt, (CA)""",45.5,"40.9 - 184.5 (243)"
06031,"""Kings, (CA)""",50.5,"40.9 - 184.5 (243)"
06033,"""Lake, (CA)""",16.1,"11.6 - 17.7 (245)"
06035,"""Lassen, (CA)""",30.8,"26.5 - 40.8 (239)"
06041,"""Marin, (CA)""",8.4,"1.1 - 11.5 (244)"
06043,"""Mariposa, (CA)""",-1,
06045,"""Mendocino, (CA)""",43.8,"40.9 - 184.5 (243)"
06047,"""Merced, (CA)""",91.6,"40.9 - 184.5 (243)"
06049,"""Modoc, (CA)""",-1,
06053,"""Monterey, (CA)""",27.2,"26.5 - 40.8 (239)"
06055,"""Napa, (CA)""",13.9,"11.6 - 17.7 (245)"
06057,"""Nevada, (CA)""",16.6,"11.6 - 17.7 (245)"
06061,"""Placer, (CA)""",15.1,"11.6 - 17.7 (245)"
06063,"""Plumas, (CA)""",-1,
06067,"""Sacramento, (CA)""",19.5,"17.8 - 26.4 (245)"
06069,"""San Benito, (CA)""",61.5,"40.9 - 184.5 (243)"
06075,"""San Francisco, (CA)""",8.1,"1.1 - 11.5 (244)"
06077,"""San Joaquin, (CA)""",21.5,"17.8 - 26.4 (245)"
06079,"""San Luis Obispo, (CA)""",18.9,"17.8 - 26.4 (245)"
06081,"""San Mateo, (CA)""",9.9,"1.1 - 11.5 (244)"
06083,"""Santa Barbara, (CA)""",20.3,"17.8 - 26.4 (245)"
06085,"""Santa Clara, (CA)""",11.6,"11.6 - 17.7 (245)"
06087,"""Santa Cruz, (CA)""",39.2,"26.5 - 40.8 (239)"
06089,"""Shasta, (CA)""",22.5,"17.8 - 26.4 (245)"
06091,"""Sierra, (CA)""",-1,
06093,"""Siskiyou, (CA)""",-1,
06095,"""Solano, (CA)""",34.4,"26.5 - 40.8 (239)"
06097,"""Sonoma, (CA)""",17.2,"11.6 - 17.7 (245)"
06099,"""Stanislaus, (CA)""",27.5,"26.5 - 40.8 (239)"
06101,"""Sutter, (CA)""",13.8,"11.6 - 17.7 (245)"
06103,"""Tehama, (CA)""",63.9,"40.9 - 184.5 (243)"
06105,"""Trinity, (CA)""",-1,
06109,"""Tuolumne, (CA)""",54.5,"40.9 - 184.5 (243)"
06113,"""Yolo, (CA)""",44.1,"40.9 - 184.5 (243)"
06115,"""Yuba, (CA)""",39,"26.5 - 40.8 (239)"
15001,"""Hawaii, (HI)""",40.2,"26.5 - 40.8 (239)"
15003,"""Honolulu, (HI)""",20.4,"17.8 - 26.4 (245)"
15005,"""Kalawao, (HI)""",-1,
15007,"""Kauai, (HI)""",72.1,"40.9 - 184.5 (243)"
15009,"""Maui, (HI)""",15.2,"11.6 - 17.7 (245)"
41003,"""Benton, (OR)""",23,"17.8 - 26.4 (245)"
41005,"""Clackamas, (OR)""",24.5,"17.8 - 26.4 (245)"
41007,"""Clatsop, (OR)""",-1,
41009,"""Columbia, (OR)""",-1,
41011,"""Coos, (OR)""",-1,
41013,"""Crook, (OR)""",-1,
41015,"""Curry, (OR)""",22.8,"17.8 - 26.4 (245)"
41017,"""Deschutes, (OR)""",21.3,"17.8 - 26.4 (245)"
41019,"""Douglas, (OR)""",22.1,"17.8 - 26.4 (245)"
41021,"""Gilliam, (OR)""",-1,
41027,"""Hood River, (OR)""",23.4,"17.8 - 26.4 (245)"
41029,"""Jackson, (OR)""",14.6,"11.6 - 17.7 (245)"
41031,"""Jefferson, (OR)""",-1,
41033,"""Josephine, (OR)""",43.7,"40.9 - 184.5 (243)"
41035,"""Klamath, (OR)""",33.8,"26.5 - 40.8 (239)"
41037,"""Lake, (OR)""",-1,
41039,"""Lane, (OR)""",20,"17.8 - 26.4 (245)"
41041,"""Lincoln, (OR)""",-1,
41043,"""Linn, (OR)""",-1,
41047,"""Marion, (OR)""",43.4,"40.9 - 184.5 (243)"
41051,"""Multnomah, (OR)""",10.5,"1.1 - 11.5 (244)"
41053,"""Polk, (OR)""",-1,
41055,"""Sherman, (OR)""",-1,
41057,"""Tillamook, (OR)""",26.8,"26.5 - 40.8 (239)"
41065,"""Wasco, (OR)""",-1,
41067,"""Washington, (OR)""",19.9,"17.8 - 26.4 (245)"
41069,"""Wheeler, (OR)""",-1,
41071,"""Yamhill, (OR)""",53.5,"40.9 - 184.5 (243)"
53007,"""Chelan, (WA)""",11,"1.1 - 11.5 (244)"
53009,"""Clallam, (WA)""",25.6,"17.8 - 26.4 (245)"
53011,"""Clark, (WA)""",40.2,"26.5 - 40.8 (239)"
53015,"""Cowlitz, (WA)""",109,"40.9 - 184.5 (243)"
53027,"""Grays Harbor, (WA)""",73.9,"40.9 - 184.5 (243)"
53029,"""Island, (WA)""",42.2,"40.9 - 184.5 (243)"
53031,"""Jefferson, (WA)""",31.7,"26.5 - 40.8 (239)"
53033,"""King, (WA)""",13.5,"11.6 - 17.7 (245)"
53035,"""Kitsap, (WA)""",22.5,"17.8 - 26.4 (245)"
53037,"""Kittitas, (WA)""",-1,
53039,"""Klickitat, (WA)""",-1,
53041,"""Lewis, (WA)""",-1,
53045,"""Mason, (WA)""",-1,
53047,"""Okanogan, (WA)""",-1,
53049,"""Pacific, (WA)""",-1,
53053,"""Pierce, (WA)""",42.4,"40.9 - 184.5 (243)"
53055,"""San Juan, (WA)""",-1,
53057,"""Skagit, (WA)""",21.4,"17.8 - 26.4 (245)"
53059,"""Skamania, (WA)""",-1,
53061,"""Snohomish, (WA)""",40.7,"26.5 - 40.8 (239)"
53067,"""Thurston, (WA)""",31.8,"26.5 - 40.8 (239)"
53069,"""Wahkiakum, (WA)""",-1,
53073,"""Whatcom, (WA)""",25.1,"17.8 - 26.4 (245)"
53077,"""Yakima, (WA)""",19.3,"17.8 - 26.4 (245)"
04001,"""Apache, (AZ)""",35.9,"26.5 - 40.8 (239)"
04003,"""Cochise, (AZ)""",-1,
04005,"""Coconino, (AZ)""",20.4,"17.8 - 26.4 (245)"
04007,"""Gila, (AZ)""",26.9,"26.5 - 40.8 (239)"
04009,"""Graham, (AZ)""",-1,
04011,"""Greenlee, (AZ)""",-1,
04012,"""La Paz, (AZ)""",10.5,"1.1 - 11.5 (244)"
04013,"""Maricopa, (AZ)""",17,"11.6 - 17.7 (245)"
04015,"""Mohave, (AZ)""",21,"17.8 - 26.4 (245)"
04017,"""Navajo, (AZ)""",36.8,"26.5 - 40.8 (239)"
04019,"""Pima, (AZ)""",14.4,"11.6 - 17.7 (245)"
04021,"""Pinal, (AZ)""",149,"40.9 - 184.5 (243)"
04023,"""Santa Cruz, (AZ)""",-1,
04025,"""Yavapai, (AZ)""",12.9,"11.6 - 17.7 (245)"
04027,"""Yuma, (AZ)""",15.2,"11.6 - 17.7 (245)"
06003,"""Alpine, (CA)""",-1,
06019,"""Fresno, (CA)""",23.1,"17.8 - 26.4 (245)"
06025,"""Imperial, (CA)""",90.9,"40.9 - 184.5 (243)"
06027,"""Inyo, (CA)""",-1,
06029,"""Kern, (CA)""",56,"40.9 - 184.5 (243)"
06037,"""Los Angeles, (CA)""",15.4,"11.6 - 17.7 (245)"
06039,"""Madera, (CA)""",52.6,"40.9 - 184.5 (243)"
06051,"""Mono, (CA)""",-1,
06059,"""Orange, (CA)""",15.8,"11.6 - 17.7 (245)"
06065,"""Riverside, (CA)""",32.7,"26.5 - 40.8 (239)"
06071,"""San Bernardino, (CA)""",30.2,"26.5 - 40.8 (239)"
06073,"""San Diego, (CA)""",16.7,"11.6 - 17.7 (245)"
