"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",-1,
02016,"""Aleutians West, (AK)""",-1,
02020,"""Anchorage, (AK)""",35.4,"30.2 - 38.8 (255)"
02050,"""Bethel, (AK)""",-1,
02060,"""Bristol Bay, (AK)""",-1,
02068,"""Denali, (AK)""",-1,
02070,"""Dillingham, (AK)""",-1,
02090,"""Fairbanks North Star, (AK)""",36.3,"30.2 - 38.8 (255)"
02100,"""Haines, (AK)""",-1,
02105,"""Hoonah-Angoon, (AK)""",-1,
02110,"""Juneau, (AK)""",-1,
02122,"""Kenai Peninsula, (AK)""",36.6,"30.2 - 38.8 (255)"
02130,"""Ketchikan Gateway, (AK)""",-1,
02150,"""Kodiak Island, (AK)""",-1,
02164,"""Lake and Peninsula, (AK)""",-1,
02170,"""Matanuska-Susitna, (AK)""",37.5,"30.2 - 38.8 (255)"
02180,"""Nome, (AK)""",-1,
02185,"""North Slope, (AK)""",-1,
02188,"""Northwest Arctic, (AK)""",-1,
02195,"""Petersburg, (AK)""",-1,
02198,"""Prince of Wales-Hyder, (AK)""",-1,
02220,"""Sitka, (AK)""",-1,
02230,"""Skagway, (AK)""",-1,
02240,"""Southeast Fairbanks, (AK)""",-1,
02261,"""Valdez-Cordova, (AK)""",-1,
02158,"""Kusilvak, (AK)""",-1,
02275,"""Wrangell, (AK)""",-1,
02282,"""Yakutat, (AK)""",-1,
02290,"""Yukon-Koyukuk, (AK)""",-1,
06001,"""Alameda, (CA)""",28.1,"22.2 - 30.1 (254)"
06005,"""Amador, (CA)""",58.1,"48.8 - 99.5 (253)"
06007,"""Butte, (CA)""",37.4,"30.2 - 38.8 (255)"
06009,"""Calaveras, (CA)""",40.9,"38.9 - 48.7 (252)"
06011,"""Colusa, (CA)""",-1,
06013,"""Contra Costa, (CA)""",9.9,"3.1 - 22.1 (254)"
06015,"""Del Norte, (CA)""",-1,
06017,"""El Dorado, (CA)""",24.7,"22.2 - 30.1 (254)"
06021,"""Glenn, (CA)""",-1,
06023,"""Humboldt, (CA)""",22.5,"22.2 - 30.1 (254)"
06031,"""Kings, (CA)""",-1,
06033,"""Lake, (CA)""",-1,
06035,"""Lassen, (CA)""",-1,
06041,"""Marin, (CA)""",-1,
06043,"""Mariposa, (CA)""",-1,
06045,"""Mendocino, (CA)""",-1,
06047,"""Merced, (CA)""",-1,
06049,"""Modoc, (CA)""",-1,
06053,"""Monterey, (CA)""",9.7,"3.1 - 22.1 (254)"
06055,"""Napa, (CA)""",-1,
06057,"""Nevada, (CA)""",5.6,"3.1 - 22.1 (254)"
06061,"""Placer, (CA)""",8.5,"3.1 - 22.1 (254)"
06063,"""Plumas, (CA)""",-1,
06067,"""Sacramento, (CA)""",39.6,"38.9 - 48.7 (252)"
06069,"""San Benito, (CA)""",-1,
06075,"""San Francisco, (CA)""",22.4,"22.2 - 30.1 (254)"
06077,"""San Joaquin, (CA)""",36.8,"30.2 - 38.8 (255)"
06079,"""San Luis Obispo, (CA)""",11.2,"3.1 - 22.1 (254)"
06081,"""San Mateo, (CA)""",43.3,"38.9 - 48.7 (252)"
06083,"""Santa Barbara, (CA)""",11.2,"3.1 - 22.1 (254)"
06085,"""Santa Clara, (CA)""",47.7,"38.9 - 48.7 (252)"
06087,"""Santa Cruz, (CA)""",23.5,"22.2 - 30.1 (254)"
06089,"""Shasta, (CA)""",32.3,"30.2 - 38.8 (255)"
06091,"""Sierra, (CA)""",-1,
06093,"""Siskiyou, (CA)""",-1,
06095,"""Solano, (CA)""",11.3,"3.1 - 22.1 (254)"
06097,"""Sonoma, (CA)""",-1,
06099,"""Stanislaus, (CA)""",-1,
06101,"""Sutter, (CA)""",58.8,"48.8 - 99.5 (253)"
06103,"""Tehama, (CA)""",-1,
06105,"""Trinity, (CA)""",-1,
06109,"""Tuolumne, (CA)""",61.9,"48.8 - 99.5 (253)"
06113,"""Yolo, (CA)""",51.4,"48.8 - 99.5 (253)"
06115,"""Yuba, (CA)""",50,"48.8 - 99.5 (253)"
15001,"""Hawaii, (HI)""",-1,
15003,"""Honolulu, (HI)""",-1,
15005,"""Kalawao, (HI)""",-1,
15007,"""Kauai, (HI)""",-1,
15009,"""Maui, (HI)""",-1,
41003,"""Benton, (OR)""",47.2,"38.9 - 48.7 (252)"
41005,"""Clackamas, (OR)""",24.2,"22.2 - 30.1 (254)"
41007,"""Clatsop, (OR)""",36.3,"30.2 - 38.8 (255)"
41009,"""Columbia, (OR)""",40.7,"38.9 - 48.7 (252)"
41011,"""Coos, (OR)""",-1,
41013,"""Crook, (OR)""",-1,
41015,"""Curry, (OR)""",-1,
41017,"""Deschutes, (OR)""",14,"3.1 - 22.1 (254)"
41019,"""Douglas, (OR)""",7.1,"3.1 - 22.1 (254)"
41021,"""Gilliam, (OR)""",-1,
41027,"""Hood River, (OR)""",29.2,"22.2 - 30.1 (254)"
41029,"""Jackson, (OR)""",8.2,"3.1 - 22.1 (254)"
41031,"""Jefferson, (OR)""",-1,
41033,"""Josephine, (OR)""",-1,
41035,"""Klamath, (OR)""",-1,
41037,"""Lake, (OR)""",-1,
41039,"""Lane, (OR)""",3.1,"3.1 - 22.1 (254)"
41041,"""Lincoln, (OR)""",-1,
41043,"""Linn, (OR)""",41.5,"38.9 - 48.7 (252)"
41047,"""Marion, (OR)""",-1,
41051,"""Multnomah, (OR)""",23.8,"22.2 - 30.1 (254)"
41053,"""Polk, (OR)""",-1,
41055,"""Sherman, (OR)""",-1,
41057,"""Tillamook, (OR)""",-1,
41065,"""Wasco, (OR)""",-1,
41067,"""Washington, (OR)""",26.6,"22.2 - 30.1 (254)"
41069,"""Wheeler, (OR)""",-1,
41071,"""Yamhill, (OR)""",-1,
53007,"""Chelan, (WA)""",39,"38.9 - 48.7 (252)"
53009,"""Clallam, (WA)""",43,"38.9 - 48.7 (252)"
53011,"""Clark, (WA)""",38.9,"38.9 - 48.7 (252)"
53015,"""Cowlitz, (WA)""",25.9,"22.2 - 30.1 (254)"
53027,"""Grays Harbor, (WA)""",56.8,"48.8 - 99.5 (253)"
53029,"""Island, (WA)""",37,"30.2 - 38.8 (255)"
53031,"""Jefferson, (WA)""",9.8,"3.1 - 22.1 (254)"
53033,"""King, (WA)""",20.8,"3.1 - 22.1 (254)"
53035,"""Kitsap, (WA)""",11.5,"3.1 - 22.1 (254)"
53037,"""Kittitas, (WA)""",-1,
53039,"""Klickitat, (WA)""",17.9,"3.1 - 22.1 (254)"
53041,"""Lewis, (WA)""",-1,
53045,"""Mason, (WA)""",14.3,"3.1 - 22.1 (254)"
53047,"""Okanogan, (WA)""",-1,
53049,"""Pacific, (WA)""",34.4,"30.2 - 38.8 (255)"
53053,"""Pierce, (WA)""",22.2,"22.2 - 30.1 (254)"
53055,"""San Juan, (WA)""",-1,
53057,"""Skagit, (WA)""",21.5,"3.1 - 22.1 (254)"
53059,"""Skamania, (WA)""",-1,
53061,"""Snohomish, (WA)""",15.9,"3.1 - 22.1 (254)"
53067,"""Thurston, (WA)""",39.5,"38.9 - 48.7 (252)"
53069,"""Wahkiakum, (WA)""",-1,
53073,"""Whatcom, (WA)""",8.8,"3.1 - 22.1 (254)"
53077,"""Yakima, (WA)""",55.4,"48.8 - 99.5 (253)"
04001,"""Apache, (AZ)""",-1,
04003,"""Cochise, (AZ)""",-1,
04005,"""Coconino, (AZ)""",-1,
04007,"""Gila, (AZ)""",-1,
04009,"""Graham, (AZ)""",-1,
04011,"""Greenlee, (AZ)""",-1,
04012,"""La Paz, (AZ)""",-1,
04013,"""Maricopa, (AZ)""",21.4,"3.1 - 22.1 (254)"
04015,"""Mohave, (AZ)""",38.5,"30.2 - 38.8 (255)"
04017,"""Navajo, (AZ)""",26.1,"22.2 - 30.1 (254)"
04019,"""Pima, (AZ)""",13,"3.1 - 22.1 (254)"
04021,"""Pinal, (AZ)""",14.1,"3.1 - 22.1 (254)"
04023,"""Santa Cruz, (AZ)""",-1,
04025,"""Yavapai, (AZ)""",15.6,"3.1 - 22.1 (254)"
04027,"""Yuma, (AZ)""",5.2,"3.1 - 22.1 (254)"
06003,"""Alpine, (CA)""",-1,
06019,"""Fresno, (CA)""",34.8,"30.2 - 38.8 (255)"
06025,"""Imperial, (CA)""",-1,
06027,"""Inyo, (CA)""",-1,
06029,"""Kern, (CA)""",22.2,"22.2 - 30.1 (254)"
06037,"""Los Angeles, (CA)""",31.3,"30.2 - 38.8 (255)"
06039,"""Madera, (CA)""",57.9,"48.8 - 99.5 (253)"
06051,"""Mono, (CA)""",-1,
06059,"""Orange, (CA)""",25.7,"22.2 - 30.1 (254)"
06065,"""Riverside, (CA)""",14.8,"3.1 - 22.1 (254)"
06071,"""San Bernardino, (CA)""",13.8,"3.1 - 22.1 (254)"
06073,"""San Diego, (CA)""",29.6,"22.2 - 30.1 (254)"
06107,"""Tulare, (CA)""",42.7,"38.9 - 48.7 (252)"
06111,"""Ventura, (CA)""",25,"22.2 - 30.1 (254)"
08007,"""Archuleta, (CO)""",-1,
08029,"""Delta, (CO)""",59.2,"48.8 - 99.5 (253)"
08033,"""Dolores, (CO)""",-1,
08045,"""Garfield, (CO)""",40,"38.9 - 48.7 (252)"
08051,"""Gunnison, (CO)""",-1,
08053,"""Hinsdale, (CO)""",-1,
08067,"""La Plata, (CO)""",-1,
08077,"""Mesa, (CO)""",11.6,"3.1 - 22.1 (254)"
08079,"""Mineral, (CO)""",-1,
08081,"""Moffat, (CO)""",-1,
08083,"""Montezuma, (CO)""",-1,
