"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",-1,
02016,"""Aleutians West, (AK)""",-1,
02020,"""Anchorage, (AK)""",13.5,"13.4 - 15.5 (624)"
02050,"""Bethel, (AK)""",14.4,"13.4 - 15.5 (624)"
02060,"""Bristol Bay, (AK)""",-1,
02068,"""Denali, (AK)""",-1,
02070,"""Dillingham, (AK)""",-1,
02090,"""Fairbanks North Star, (AK)""",13,"4.2 - 13.3 (621)"
02100,"""Haines, (AK)""",20.8,"18.0 - 21.0 (605)"
02105,"""Hoonah-Angoon, (AK)""",-1,
02110,"""Juneau, (AK)""",10.1,"4.2 - 13.3 (621)"
02122,"""Kenai Peninsula, (AK)""",15.3,"13.4 - 15.5 (624)"
02130,"""Ketchikan Gateway, (AK)""",16.7,"15.6 - 17.9 (602)"
02150,"""Kodiak Island, (AK)""",14,"13.4 - 15.5 (624)"
02164,"""Lake and Peninsula, (AK)""",-1,
02170,"""Matanuska-Susitna, (AK)""",15.3,"13.4 - 15.5 (624)"
02180,"""Nome, (AK)""",-1,
02185,"""North Slope, (AK)""",22.9,"21.1 - 51.2 (604)"
02188,"""Northwest Arctic, (AK)""",27.7,"21.1 - 51.2 (604)"
02195,"""Petersburg, (AK)""",-1,
02198,"""Prince of Wales-Hyder, (AK)""",16.9,"15.6 - 17.9 (602)"
02220,"""Sitka, (AK)""",-1,
02230,"""Skagway, (AK)""",-1,
02240,"""Southeast Fairbanks, (AK)""",13.7,"13.4 - 15.5 (624)"
02261,"""Valdez-Cordova, (AK)""",15,"13.4 - 15.5 (624)"
02158,"""Kusilvak, (AK)""",13.7,"13.4 - 15.5 (624)"
02275,"""Wrangell, (AK)""",16.6,"15.6 - 17.9 (602)"
02282,"""Yakutat, (AK)""",-1,
02290,"""Yukon-Koyukuk, (AK)""",17.7,"15.6 - 17.9 (602)"
06001,"""Alameda, (CA)""",10.6,"4.2 - 13.3 (621)"
06005,"""Amador, (CA)""",16.1,"15.6 - 17.9 (602)"
06007,"""Butte, (CA)""",13.4,"13.4 - 15.5 (624)"
06009,"""Calaveras, (CA)""",13.3,"4.2 - 13.3 (621)"
06011,"""Colusa, (CA)""",16.5,"15.6 - 17.9 (602)"
06013,"""Contra Costa, (CA)""",10.7,"4.2 - 13.3 (621)"
06015,"""Del Norte, (CA)""",14.8,"13.4 - 15.5 (624)"
06017,"""El Dorado, (CA)""",13.2,"4.2 - 13.3 (621)"
06021,"""Glenn, (CA)""",12.2,"4.2 - 13.3 (621)"
06023,"""Humboldt, (CA)""",18.3,"18.0 - 21.0 (605)"
06031,"""Kings, (CA)""",19,"18.0 - 21.0 (605)"
06033,"""Lake, (CA)""",18.4,"18.0 - 21.0 (605)"
06035,"""Lassen, (CA)""",15.7,"15.6 - 17.9 (602)"
06041,"""Marin, (CA)""",8.9,"4.2 - 13.3 (621)"
06043,"""Mariposa, (CA)""",15.1,"13.4 - 15.5 (624)"
06045,"""Mendocino, (CA)""",10.6,"4.2 - 13.3 (621)"
06047,"""Merced, (CA)""",16.3,"15.6 - 17.9 (602)"
06049,"""Modoc, (CA)""",11.1,"4.2 - 13.3 (621)"
06053,"""Monterey, (CA)""",10,"4.2 - 13.3 (621)"
06055,"""Napa, (CA)""",13.2,"4.2 - 13.3 (621)"
06057,"""Nevada, (CA)""",13.5,"13.4 - 15.5 (624)"
06061,"""Placer, (CA)""",12.1,"4.2 - 13.3 (621)"
06063,"""Plumas, (CA)""",12.3,"4.2 - 13.3 (621)"
06067,"""Sacramento, (CA)""",14.1,"13.4 - 15.5 (624)"
06069,"""San Benito, (CA)""",13.2,"4.2 - 13.3 (621)"
06075,"""San Francisco, (CA)""",9.4,"4.2 - 13.3 (621)"
06077,"""San Joaquin, (CA)""",12.4,"4.2 - 13.3 (621)"
06079,"""San Luis Obispo, (CA)""",9.6,"4.2 - 13.3 (621)"
06081,"""San Mateo, (CA)""",11.2,"4.2 - 13.3 (621)"
06083,"""Santa Barbara, (CA)""",9,"4.2 - 13.3 (621)"
06085,"""Santa Clara, (CA)""",11,"4.2 - 13.3 (621)"
06087,"""Santa Cruz, (CA)""",11.1,"4.2 - 13.3 (621)"
06089,"""Shasta, (CA)""",13.2,"4.2 - 13.3 (621)"
06091,"""Sierra, (CA)""",12.5,"4.2 - 13.3 (621)"
06093,"""Siskiyou, (CA)""",11.2,"4.2 - 13.3 (621)"
06095,"""Solano, (CA)""",11.4,"4.2 - 13.3 (621)"
06097,"""Sonoma, (CA)""",12.5,"4.2 - 13.3 (621)"
06099,"""Stanislaus, (CA)""",16.8,"15.6 - 17.9 (602)"
06101,"""Sutter, (CA)""",14.1,"13.4 - 15.5 (624)"
06103,"""Tehama, (CA)""",14.6,"13.4 - 15.5 (624)"
06105,"""Trinity, (CA)""",10.4,"4.2 - 13.3 (621)"
06109,"""Tuolumne, (CA)""",12.7,"4.2 - 13.3 (621)"
06113,"""Yolo, (CA)""",11.8,"4.2 - 13.3 (621)"
06115,"""Yuba, (CA)""",15.9,"15.6 - 17.9 (602)"
15001,"""Hawaii, (HI)""",10.4,"4.2 - 13.3 (621)"
15003,"""Honolulu, (HI)""",11.1,"4.2 - 13.3 (621)"
15005,"""Kalawao, (HI)""",-1,
15007,"""Kauai, (HI)""",9.7,"4.2 - 13.3 (621)"
15009,"""Maui, (HI)""",8,"4.2 - 13.3 (621)"
41003,"""Benton, (OR)""",9.9,"4.2 - 13.3 (621)"
41005,"""Clackamas, (OR)""",13.4,"13.4 - 15.5 (624)"
41007,"""Clatsop, (OR)""",15.2,"13.4 - 15.5 (624)"
41009,"""Columbia, (OR)""",17.9,"15.6 - 17.9 (602)"
41011,"""Coos, (OR)""",14.5,"13.4 - 15.5 (624)"
41013,"""Crook, (OR)""",14.7,"13.4 - 15.5 (624)"
41015,"""Curry, (OR)""",14,"13.4 - 15.5 (624)"
41017,"""Deschutes, (OR)""",9.7,"4.2 - 13.3 (621)"
41019,"""Douglas, (OR)""",13.6,"13.4 - 15.5 (624)"
41021,"""Gilliam, (OR)""",13.6,"13.4 - 15.5 (624)"
41027,"""Hood River, (OR)""",13.8,"13.4 - 15.5 (624)"
41029,"""Jackson, (OR)""",13.5,"13.4 - 15.5 (624)"
41031,"""Jefferson, (OR)""",13.6,"13.4 - 15.5 (624)"
41033,"""Josephine, (OR)""",14.7,"13.4 - 15.5 (624)"
41035,"""Klamath, (OR)""",15.2,"13.4 - 15.5 (624)"
41037,"""Lake, (OR)""",13.2,"4.2 - 13.3 (621)"
41039,"""Lane, (OR)""",12.7,"4.2 - 13.3 (621)"
41041,"""Lincoln, (OR)""",11.8,"4.2 - 13.3 (621)"
41043,"""Linn, (OR)""",13.7,"13.4 - 15.5 (624)"
41047,"""Marion, (OR)""",15,"13.4 - 15.5 (624)"
41051,"""Multnomah, (OR)""",12.7,"4.2 - 13.3 (621)"
41053,"""Polk, (OR)""",14.3,"13.4 - 15.5 (624)"
41055,"""Sherman, (OR)""",24.5,"21.1 - 51.2 (604)"
41057,"""Tillamook, (OR)""",14.4,"13.4 - 15.5 (624)"
41065,"""Wasco, (OR)""",12,"4.2 - 13.3 (621)"
41067,"""Washington, (OR)""",15.3,"13.4 - 15.5 (624)"
41069,"""Wheeler, (OR)""",-1,
41071,"""Yamhill, (OR)""",15,"13.4 - 15.5 (624)"
53007,"""Chelan, (WA)""",12.2,"4.2 - 13.3 (621)"
53009,"""Clallam, (WA)""",13,"4.2 - 13.3 (621)"
53011,"""Clark, (WA)""",13.4,"13.4 - 15.5 (624)"
53015,"""Cowlitz, (WA)""",18.2,"18.0 - 21.0 (605)"
53027,"""Grays Harbor, (WA)""",15.5,"13.4 - 15.5 (624)"
53029,"""Island, (WA)""",13.5,"13.4 - 15.5 (624)"
53031,"""Jefferson, (WA)""",12.7,"4.2 - 13.3 (621)"
53033,"""King, (WA)""",12.3,"4.2 - 13.3 (621)"
53035,"""Kitsap, (WA)""",12.3,"4.2 - 13.3 (621)"
53037,"""Kittitas, (WA)""",14,"13.4 - 15.5 (624)"
53039,"""Klickitat, (WA)""",16.4,"15.6 - 17.9 (602)"
53041,"""Lewis, (WA)""",14.4,"13.4 - 15.5 (624)"
53045,"""Mason, (WA)""",15.8,"15.6 - 17.9 (602)"
53047,"""Okanogan, (WA)""",12.7,"4.2 - 13.3 (621)"
53049,"""Pacific, (WA)""",18.3,"18.0 - 21.0 (605)"
53053,"""Pierce, (WA)""",11.8,"4.2 - 13.3 (621)"
53055,"""San Juan, (WA)""",10.1,"4.2 - 13.3 (621)"
53057,"""Skagit, (WA)""",14,"13.4 - 15.5 (624)"
53059,"""Skamania, (WA)""",12.7,"4.2 - 13.3 (621)"
53061,"""Snohomish, (WA)""",13.8,"13.4 - 15.5 (624)"
53067,"""Thurston, (WA)""",13.9,"13.4 - 15.5 (624)"
53069,"""Wahkiakum, (WA)""",18.8,"18.0 - 21.0 (605)"
53073,"""Whatcom, (WA)""",13.5,"13.4 - 15.5 (624)"
53077,"""Yakima, (WA)""",14.2,"13.4 - 15.5 (624)"
04001,"""Apache, (AZ)""",13.1,"4.2 - 13.3 (621)"
04003,"""Cochise, (AZ)""",16.9,"15.6 - 17.9 (602)"
04005,"""Coconino, (AZ)""",10.1,"4.2 - 13.3 (621)"
04007,"""Gila, (AZ)""",21.9,"21.1 - 51.2 (604)"
04009,"""Graham, (AZ)""",17.7,"15.6 - 17.9 (602)"
04011,"""Greenlee, (AZ)""",19.3,"18.0 - 21.0 (605)"
