"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",-1,
02016,"""Aleutians West, (AK)""",-1,
02020,"""Anchorage, (AK)""",23.6,"21.0 - 24.0 (469)"
02050,"""Bethel, (AK)""",-1,
02060,"""Bristol Bay, (AK)""",-1,
02068,"""Denali, (AK)""",-1,
02070,"""Dillingham, (AK)""",-1,
02090,"""Fairbanks North Star, (AK)""",29.6,"28.5 - 40.0 (464)"
02100,"""Haines, (AK)""",-1,
02105,"""Hoonah-Angoon, (AK)""",-1,
02110,"""Juneau, (AK)""",-1,
02122,"""Kenai Peninsula, (AK)""",25.7,"24.1 - 26.2 (469)"
02130,"""Ketchikan Gateway, (AK)""",-1,
02150,"""Kodiak Island, (AK)""",-1,
02164,"""Lake and Peninsula, (AK)""",-1,
02170,"""Matanuska-Susitna, (AK)""",24.1,"24.1 - 26.2 (469)"
02180,"""Nome, (AK)""",-1,
02185,"""North Slope, (AK)""",-1,
02188,"""Northwest Arctic, (AK)""",-1,
02195,"""Petersburg, (AK)""",-1,
02198,"""Prince of Wales-Hyder, (AK)""",-1,
02220,"""Sitka, (AK)""",-1,
02230,"""Skagway, (AK)""",-1,
02240,"""Southeast Fairbanks, (AK)""",-1,
02261,"""Valdez-Cordova, (AK)""",-1,
02158,"""Kusilvak, (AK)""",-1,
02275,"""Wrangell, (AK)""",-1,
02282,"""Yakutat, (AK)""",-1,
02290,"""Yukon-Koyukuk, (AK)""",-1,
06001,"""Alameda, (CA)""",26.2,"24.1 - 26.2 (469)"
06005,"""Amador, (CA)""",26.8,"26.3 - 28.4 (475)"
06007,"""Butte, (CA)""",27.5,"26.3 - 28.4 (475)"
06009,"""Calaveras, (CA)""",29,"28.5 - 40.0 (464)"
06011,"""Colusa, (CA)""",-1,
06013,"""Contra Costa, (CA)""",26,"24.1 - 26.2 (469)"
06015,"""Del Norte, (CA)""",-1,
06017,"""El Dorado, (CA)""",32.3,"28.5 - 40.0 (464)"
06021,"""Glenn, (CA)""",27.9,"26.3 - 28.4 (475)"
06023,"""Humboldt, (CA)""",17.3,"2.0 - 20.9 (478)"
06031,"""Kings, (CA)""",23.8,"21.0 - 24.0 (469)"
06033,"""Lake, (CA)""",-1,
06035,"""Lassen, (CA)""",-1,
06041,"""Marin, (CA)""",-1,
06043,"""Mariposa, (CA)""",23.8,"21.0 - 24.0 (469)"
06045,"""Mendocino, (CA)""",-1,
06047,"""Merced, (CA)""",24.9,"24.1 - 26.2 (469)"
06049,"""Modoc, (CA)""",-1,
06053,"""Monterey, (CA)""",21.3,"21.0 - 24.0 (469)"
06055,"""Napa, (CA)""",25.5,"24.1 - 26.2 (469)"
06057,"""Nevada, (CA)""",28.7,"28.5 - 40.0 (464)"
06061,"""Placer, (CA)""",27.4,"26.3 - 28.4 (475)"
06063,"""Plumas, (CA)""",-1,
06067,"""Sacramento, (CA)""",27,"26.3 - 28.4 (475)"
06069,"""San Benito, (CA)""",24.9,"24.1 - 26.2 (469)"
06075,"""San Francisco, (CA)""",24.1,"24.1 - 26.2 (469)"
06077,"""San Joaquin, (CA)""",24.6,"24.1 - 26.2 (469)"
06079,"""San Luis Obispo, (CA)""",17.3,"2.0 - 20.9 (478)"
06081,"""San Mateo, (CA)""",26.9,"26.3 - 28.4 (475)"
06083,"""Santa Barbara, (CA)""",24,"21.0 - 24.0 (469)"
06085,"""Santa Clara, (CA)""",29,"28.5 - 40.0 (464)"
06087,"""Santa Cruz, (CA)""",26,"24.1 - 26.2 (469)"
06089,"""Shasta, (CA)""",25.5,"24.1 - 26.2 (469)"
06091,"""Sierra, (CA)""",-1,
06093,"""Siskiyou, (CA)""",13.7,"2.0 - 20.9 (478)"
06095,"""Solano, (CA)""",23.3,"21.0 - 24.0 (469)"
06097,"""Sonoma, (CA)""",16.3,"2.0 - 20.9 (478)"
06099,"""Stanislaus, (CA)""",25,"24.1 - 26.2 (469)"
06101,"""Sutter, (CA)""",28.3,"26.3 - 28.4 (475)"
06103,"""Tehama, (CA)""",25.8,"24.1 - 26.2 (469)"
06105,"""Trinity, (CA)""",-1,
06109,"""Tuolumne, (CA)""",32.9,"28.5 - 40.0 (464)"
06113,"""Yolo, (CA)""",29.3,"28.5 - 40.0 (464)"
06115,"""Yuba, (CA)""",28.5,"28.5 - 40.0 (464)"
15001,"""Hawaii, (HI)""",15.1,"2.0 - 20.9 (478)"
15003,"""Honolulu, (HI)""",16.4,"2.0 - 20.9 (478)"
15005,"""Kalawao, (HI)""",-1,
15007,"""Kauai, (HI)""",-1,
15009,"""Maui, (HI)""",-1,
41003,"""Benton, (OR)""",31.2,"28.5 - 40.0 (464)"
41005,"""Clackamas, (OR)""",24.2,"24.1 - 26.2 (469)"
41007,"""Clatsop, (OR)""",29.4,"28.5 - 40.0 (464)"
41009,"""Columbia, (OR)""",23.8,"21.0 - 24.0 (469)"
41011,"""Coos, (OR)""",16.1,"2.0 - 20.9 (478)"
41013,"""Crook, (OR)""",16.5,"2.0 - 20.9 (478)"
41015,"""Curry, (OR)""",23.5,"21.0 - 24.0 (469)"
41017,"""Deschutes, (OR)""",18.6,"2.0 - 20.9 (478)"
41019,"""Douglas, (OR)""",16.9,"2.0 - 20.9 (478)"
41021,"""Gilliam, (OR)""",-1,
41027,"""Hood River, (OR)""",22.4,"21.0 - 24.0 (469)"
41029,"""Jackson, (OR)""",19.7,"2.0 - 20.9 (478)"
41031,"""Jefferson, (OR)""",15.5,"2.0 - 20.9 (478)"
41033,"""Josephine, (OR)""",18.4,"2.0 - 20.9 (478)"
41035,"""Klamath, (OR)""",-1,
41037,"""Lake, (OR)""",7.2,"2.0 - 20.9 (478)"
41039,"""Lane, (OR)""",15,"2.0 - 20.9 (478)"
41041,"""Lincoln, (OR)""",24.8,"24.1 - 26.2 (469)"
41043,"""Linn, (OR)""",25.6,"24.1 - 26.2 (469)"
41047,"""Marion, (OR)""",22.2,"21.0 - 24.0 (469)"
41051,"""Multnomah, (OR)""",24.3,"24.1 - 26.2 (469)"
41053,"""Polk, (OR)""",22.6,"21.0 - 24.0 (469)"
41055,"""Sherman, (OR)""",-1,
41057,"""Tillamook, (OR)""",28.8,"28.5 - 40.0 (464)"
41065,"""Wasco, (OR)""",25.3,"24.1 - 26.2 (469)"
41067,"""Washington, (OR)""",23.6,"21.0 - 24.0 (469)"
41069,"""Wheeler, (OR)""",-1,
41071,"""Yamhill, (OR)""",21.2,"21.0 - 24.0 (469)"
53007,"""Chelan, (WA)""",28.3,"26.3 - 28.4 (475)"
53009,"""Clallam, (WA)""",27,"26.3 - 28.4 (475)"
53011,"""Clark, (WA)""",26.6,"26.3 - 28.4 (475)"
53015,"""Cowlitz, (WA)""",25.5,"24.1 - 26.2 (469)"
53027,"""Grays Harbor, (WA)""",28,"26.3 - 28.4 (475)"
53029,"""Island, (WA)""",26.9,"26.3 - 28.4 (475)"
53031,"""Jefferson, (WA)""",26.9,"26.3 - 28.4 (475)"
53033,"""King, (WA)""",23.9,"21.0 - 24.0 (469)"
53035,"""Kitsap, (WA)""",24.7,"24.1 - 26.2 (469)"
53037,"""Kittitas, (WA)""",23,"21.0 - 24.0 (469)"
53039,"""Klickitat, (WA)""",27,"26.3 - 28.4 (475)"
53041,"""Lewis, (WA)""",17.2,"2.0 - 20.9 (478)"
53045,"""Mason, (WA)""",23.5,"21.0 - 24.0 (469)"
53047,"""Okanogan, (WA)""",-1,
53049,"""Pacific, (WA)""",25.2,"24.1 - 26.2 (469)"
53053,"""Pierce, (WA)""",22.9,"21.0 - 24.0 (469)"
53055,"""San Juan, (WA)""",32.4,"28.5 - 40.0 (464)"
53057,"""Skagit, (WA)""",28.8,"28.5 - 40.0 (464)"
53059,"""Skamania, (WA)""",23.6,"21.0 - 24.0 (469)"
53061,"""Snohomish, (WA)""",18.4,"2.0 - 20.9 (478)"
53067,"""Thurston, (WA)""",26.4,"26.3 - 28.4 (475)"
53069,"""Wahkiakum, (WA)""",-1,
53073,"""Whatcom, (WA)""",25.1,"24.1 - 26.2 (469)"
53077,"""Yakima, (WA)""",30.8,"28.5 - 40.0 (464)"
04001,"""Apache, (AZ)""",23.2,"21.0 - 24.0 (469)"
04003,"""Cochise, (AZ)""",17.9,"2.0 - 20.9 (478)"
04005,"""Coconino, (AZ)""",12.3,"2.0 - 20.9 (478)"
04007,"""Gila, (AZ)""",22.3,"21.0 - 24.0 (469)"
04009,"""Graham, (AZ)""",-1,
04011,"""Greenlee, (AZ)""",-1,
04012,"""La Paz, (AZ)""",30,"28.5 - 40.0 (464)"
04013,"""Maricopa, (AZ)""",24.8,"24.1 - 26.2 (469)"
04015,"""Mohave, (AZ)""",25.2,"24.1 - 26.2 (469)"
04017,"""Navajo, (AZ)""",25.8,"24.1 - 26.2 (469)"
04019,"""Pima, (AZ)""",22.2,"21.0 - 24.0 (469)"
04021,"""Pinal, (AZ)""",20.8,"2.0 - 20.9 (478)"
04023,"""Santa Cruz, (AZ)""",7.2,"2.0 - 20.9 (478)"
04025,"""Yavapai, (AZ)""",26.3,"26.3 - 28.4 (475)"
04027,"""Yuma, (AZ)""",23.2,"21.0 - 24.0 (469)"
06003,"""Alpine, (CA)""",-1,
06019,"""Fresno, (CA)""",26.9,"26.3 - 28.4 (475)"
06025,"""Imperial, (CA)""",-1,
06027,"""Inyo, (CA)""",-1,
06029,"""Kern, (CA)""",23.6,"21.0 - 24.0 (469)"
06037,"""Los Angeles, (CA)""",25.9,"24.1 - 26.2 (469)"
