"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",-1,
02016,"""Aleutians West, (AK)""",-1,
02020,"""Anchorage, (AK)""",24.3,"20.5 - 28.4 (469)"
02050,"""Bethel, (AK)""",-1,
02060,"""Bristol Bay, (AK)""",-1,
02068,"""Denali, (AK)""",-1,
02070,"""Dillingham, (AK)""",-1,
02090,"""Fairbanks North Star, (AK)""",33.6,"28.5 - 36.2 (470)"
02100,"""Haines, (AK)""",-1,
02105,"""Hoonah-Angoon, (AK)""",-1,
02110,"""Juneau, (AK)""",-1,
02122,"""Kenai Peninsula, (AK)""",33.6,"28.5 - 36.2 (470)"
02130,"""Ketchikan Gateway, (AK)""",-1,
02150,"""Kodiak Island, (AK)""",-1,
02164,"""Lake and Peninsula, (AK)""",-1,
02170,"""Matanuska-Susitna, (AK)""",22.7,"20.5 - 28.4 (469)"
02180,"""Nome, (AK)""",-1,
02185,"""North Slope, (AK)""",-1,
02188,"""Northwest Arctic, (AK)""",-1,
02195,"""Petersburg, (AK)""",-1,
02198,"""Prince of Wales-Hyder, (AK)""",-1,
02220,"""Sitka, (AK)""",-1,
02230,"""Skagway, (AK)""",-1,
02240,"""Southeast Fairbanks, (AK)""",-1,
02261,"""Valdez-Cordova, (AK)""",-1,
02158,"""Kusilvak, (AK)""",-1,
02275,"""Wrangell, (AK)""",-1,
02282,"""Yakutat, (AK)""",-1,
02290,"""Yukon-Koyukuk, (AK)""",-1,
06001,"""Alameda, (CA)""",23.6,"20.5 - 28.4 (469)"
06005,"""Amador, (CA)""",10.9,"1.2 - 20.4 (474)"
06007,"""Butte, (CA)""",35.5,"28.5 - 36.2 (470)"
06009,"""Calaveras, (CA)""",19.3,"1.2 - 20.4 (474)"
06011,"""Colusa, (CA)""",-1,
06013,"""Contra Costa, (CA)""",29.3,"28.5 - 36.2 (470)"
06015,"""Del Norte, (CA)""",-1,
06017,"""El Dorado, (CA)""",35.9,"28.5 - 36.2 (470)"
06021,"""Glenn, (CA)""",18.7,"1.2 - 20.4 (474)"
06023,"""Humboldt, (CA)""",20.6,"20.5 - 28.4 (469)"
06031,"""Kings, (CA)""",3.3,"1.2 - 20.4 (474)"
06033,"""Lake, (CA)""",-1,
06035,"""Lassen, (CA)""",-1,
06041,"""Marin, (CA)""",-1,
06043,"""Mariposa, (CA)""",9.8,"1.2 - 20.4 (474)"
06045,"""Mendocino, (CA)""",-1,
06047,"""Merced, (CA)""",7.4,"1.2 - 20.4 (474)"
06049,"""Modoc, (CA)""",-1,
06053,"""Monterey, (CA)""",36.9,"36.3 - 47.6 (472)"
06055,"""Napa, (CA)""",7.9,"1.2 - 20.4 (474)"
06057,"""Nevada, (CA)""",34.8,"28.5 - 36.2 (470)"
06061,"""Placer, (CA)""",29.9,"28.5 - 36.2 (470)"
06063,"""Plumas, (CA)""",-1,
06067,"""Sacramento, (CA)""",23.7,"20.5 - 28.4 (469)"
06069,"""San Benito, (CA)""",14,"1.2 - 20.4 (474)"
06075,"""San Francisco, (CA)""",11.4,"1.2 - 20.4 (474)"
06077,"""San Joaquin, (CA)""",15,"1.2 - 20.4 (474)"
06079,"""San Luis Obispo, (CA)""",42.8,"36.3 - 47.6 (472)"
06081,"""San Mateo, (CA)""",17.4,"1.2 - 20.4 (474)"
06083,"""Santa Barbara, (CA)""",23.3,"20.5 - 28.4 (469)"
06085,"""Santa Clara, (CA)""",24.3,"20.5 - 28.4 (469)"
06087,"""Santa Cruz, (CA)""",31.3,"28.5 - 36.2 (470)"
06089,"""Shasta, (CA)""",21,"20.5 - 28.4 (469)"
06091,"""Sierra, (CA)""",-1,
06093,"""Siskiyou, (CA)""",11.1,"1.2 - 20.4 (474)"
06095,"""Solano, (CA)""",27.6,"20.5 - 28.4 (469)"
06097,"""Sonoma, (CA)""",1.2,"1.2 - 20.4 (474)"
06099,"""Stanislaus, (CA)""",12.5,"1.2 - 20.4 (474)"
06101,"""Sutter, (CA)""",10.4,"1.2 - 20.4 (474)"
06103,"""Tehama, (CA)""",9.3,"1.2 - 20.4 (474)"
06105,"""Trinity, (CA)""",-1,
06109,"""Tuolumne, (CA)""",29.5,"28.5 - 36.2 (470)"
06113,"""Yolo, (CA)""",26.7,"20.5 - 28.4 (469)"
06115,"""Yuba, (CA)""",13.5,"1.2 - 20.4 (474)"
15001,"""Hawaii, (HI)""",5.8,"1.2 - 20.4 (474)"
15003,"""Honolulu, (HI)""",10.3,"1.2 - 20.4 (474)"
15005,"""Kalawao, (HI)""",-1,
15007,"""Kauai, (HI)""",-1,
15009,"""Maui, (HI)""",-1,
41003,"""Benton, (OR)""",65.2,"47.7 - 99.8 (470)"
41005,"""Clackamas, (OR)""",39.3,"36.3 - 47.6 (472)"
41007,"""Clatsop, (OR)""",39.3,"36.3 - 47.6 (472)"
41009,"""Columbia, (OR)""",34.9,"28.5 - 36.2 (470)"
41011,"""Coos, (OR)""",44.4,"36.3 - 47.6 (472)"
41013,"""Crook, (OR)""",48.2,"47.7 - 99.8 (470)"
41015,"""Curry, (OR)""",21.1,"20.5 - 28.4 (469)"
41017,"""Deschutes, (OR)""",45.9,"36.3 - 47.6 (472)"
41019,"""Douglas, (OR)""",33.5,"28.5 - 36.2 (470)"
41021,"""Gilliam, (OR)""",-1,
41027,"""Hood River, (OR)""",49.4,"47.7 - 99.8 (470)"
41029,"""Jackson, (OR)""",36.2,"28.5 - 36.2 (470)"
41031,"""Jefferson, (OR)""",43.8,"36.3 - 47.6 (472)"
41033,"""Josephine, (OR)""",34.5,"28.5 - 36.2 (470)"
41035,"""Klamath, (OR)""",-1,
41037,"""Lake, (OR)""",28.5,"28.5 - 36.2 (470)"
41039,"""Lane, (OR)""",46.9,"36.3 - 47.6 (472)"
41041,"""Lincoln, (OR)""",44.4,"36.3 - 47.6 (472)"
41043,"""Linn, (OR)""",46.1,"36.3 - 47.6 (472)"
41047,"""Marion, (OR)""",42.4,"36.3 - 47.6 (472)"
41051,"""Multnomah, (OR)""",35.5,"28.5 - 36.2 (470)"
41053,"""Polk, (OR)""",33.9,"28.5 - 36.2 (470)"
41055,"""Sherman, (OR)""",-1,
41057,"""Tillamook, (OR)""",18.4,"1.2 - 20.4 (474)"
41065,"""Wasco, (OR)""",54.3,"47.7 - 99.8 (470)"
41067,"""Washington, (OR)""",40,"36.3 - 47.6 (472)"
41069,"""Wheeler, (OR)""",-1,
41071,"""Yamhill, (OR)""",38.8,"36.3 - 47.6 (472)"
53007,"""Chelan, (WA)""",34.1,"28.5 - 36.2 (470)"
53009,"""Clallam, (WA)""",32.9,"28.5 - 36.2 (470)"
53011,"""Clark, (WA)""",33.4,"28.5 - 36.2 (470)"
53015,"""Cowlitz, (WA)""",35.5,"28.5 - 36.2 (470)"
53027,"""Grays Harbor, (WA)""",22.1,"20.5 - 28.4 (469)"
53029,"""Island, (WA)""",43.4,"36.3 - 47.6 (472)"
53031,"""Jefferson, (WA)""",41.1,"36.3 - 47.6 (472)"
53033,"""King, (WA)""",25.4,"20.5 - 28.4 (469)"
53035,"""Kitsap, (WA)""",29.7,"28.5 - 36.2 (470)"
53037,"""Kittitas, (WA)""",10.7,"1.2 - 20.4 (474)"
53039,"""Klickitat, (WA)""",38.4,"36.3 - 47.6 (472)"
53041,"""Lewis, (WA)""",14.4,"1.2 - 20.4 (474)"
53045,"""Mason, (WA)""",22.4,"20.5 - 28.4 (469)"
53047,"""Okanogan, (WA)""",-1,
53049,"""Pacific, (WA)""",30.1,"28.5 - 36.2 (470)"
53053,"""Pierce, (WA)""",31.6,"28.5 - 36.2 (470)"
53055,"""San Juan, (WA)""",14.7,"1.2 - 20.4 (474)"
53057,"""Skagit, (WA)""",39.7,"36.3 - 47.6 (472)"
53059,"""Skamania, (WA)""",41.8,"36.3 - 47.6 (472)"
53061,"""Snohomish, (WA)""",26,"20.5 - 28.4 (469)"
53067,"""Thurston, (WA)""",23.4,"20.5 - 28.4 (469)"
53069,"""Wahkiakum, (WA)""",-1,
53073,"""Whatcom, (WA)""",37.9,"36.3 - 47.6 (472)"
53077,"""Yakima, (WA)""",23.3,"20.5 - 28.4 (469)"
04001,"""Apache, (AZ)""",19.4,"1.2 - 20.4 (474)"
04003,"""Cochise, (AZ)""",14.8,"1.2 - 20.4 (474)"
04005,"""Coconino, (AZ)""",10,"1.2 - 20.4 (474)"
04007,"""Gila, (AZ)""",4.2,"1.2 - 20.4 (474)"
04009,"""Graham, (AZ)""",-1,
04011,"""Greenlee, (AZ)""",-1,
04012,"""La Paz, (AZ)""",12.2,"1.2 - 20.4 (474)"
04013,"""Maricopa, (AZ)""",30,"28.5 - 36.2 (470)"
04015,"""Mohave, (AZ)""",22.8,"20.5 - 28.4 (469)"
04017,"""Navajo, (AZ)""",27.5,"20.5 - 28.4 (469)"
04019,"""Pima, (AZ)""",31.7,"28.5 - 36.2 (470)"
04021,"""Pinal, (AZ)""",12.5,"1.2 - 20.4 (474)"
04023,"""Santa Cruz, (AZ)""",21.6,"20.5 - 28.4 (469)"
04025,"""Yavapai, (AZ)""",41.3,"36.3 - 47.6 (472)"
04027,"""Yuma, (AZ)""",23.3,"20.5 - 28.4 (469)"
06003,"""Alpine, (CA)""",-1,
06019,"""Fresno, (CA)""",16.7,"1.2 - 20.4 (474)"
06025,"""Imperial, (CA)""",-1,
06027,"""Inyo, (CA)""",-1,
06029,"""Kern, (CA)""",15.3,"1.2 - 20.4 (474)"
