"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",0,"0 (1719)"
02016,"""Aleutians West, (AK)""",0,"0 (1719)"
02020,"""Anchorage, (AK)""",1,"1 (1113)"
02050,"""Bethel, (AK)""",0,"0 (1719)"
02060,"""Bristol Bay, (AK)""",0,"0 (1719)"
02068,"""Denali, (AK)""",0,"0 (1719)"
02070,"""Dillingham, (AK)""",0,"0 (1719)"
02090,"""Fairbanks North Star, (AK)""",1,"1 (1113)"
02100,"""Haines, (AK)""",0,"0 (1719)"
02105,"""Hoonah-Angoon, (AK)""",0,"0 (1719)"
02110,"""Juneau, (AK)""",0,"0 (1719)"
02122,"""Kenai Peninsula, (AK)""",1,"1 (1113)"
02130,"""Ketchikan Gateway, (AK)""",0,"0 (1719)"
02150,"""Kodiak Island, (AK)""",0,"0 (1719)"
02164,"""Lake and Peninsula, (AK)""",0,"0 (1719)"
02170,"""Matanuska-Susitna, (AK)""",0,"0 (1719)"
02180,"""Nome, (AK)""",0,"0 (1719)"
02185,"""North Slope, (AK)""",0,"0 (1719)"
02188,"""Northwest Arctic, (AK)""",0,"0 (1719)"
02195,"""Petersburg, (AK)""",0,"0 (1719)"
02198,"""Prince of Wales-Hyder, (AK)""",0,"0 (1719)"
02220,"""Sitka, (AK)""",0,"0 (1719)"
02230,"""Skagway, (AK)""",0,"0 (1719)"
02240,"""Southeast Fairbanks, (AK)""",0,"0 (1719)"
02261,"""Valdez-Cordova, (AK)""",0,"0 (1719)"
02158,"""Kusilvak, (AK)""",0,"0 (1719)"
02275,"""Wrangell, (AK)""",0,"0 (1719)"
02282,"""Yakutat, (AK)""",0,"0 (1719)"
02290,"""Yukon-Koyukuk, (AK)""",0,"0 (1719)"
06001,"""Alameda, (CA)""",6,"4+ (89)"
06005,"""Amador, (CA)""",0,"0 (1719)"
06007,"""Butte, (CA)""",2,"2 - 3 (303)"
06009,"""Calaveras, (CA)""",0,"0 (1719)"
06011,"""Colusa, (CA)""",0,"0 (1719)"
06013,"""Contra Costa, (CA)""",5,"4+ (89)"
06015,"""Del Norte, (CA)""",0,"0 (1719)"
06017,"""El Dorado, (CA)""",1,"1 (1113)"
06021,"""Glenn, (CA)""",0,"0 (1719)"
06023,"""Humboldt, (CA)""",1,"1 (1113)"
06031,"""Kings, (CA)""",0,"0 (1719)"
06033,"""Lake, (CA)""",0,"0 (1719)"
06035,"""Lassen, (CA)""",0,"0 (1719)"
06041,"""Marin, (CA)""",1,"1 (1113)"
06043,"""Mariposa, (CA)""",0,"0 (1719)"
06045,"""Mendocino, (CA)""",0,"0 (1719)"
06047,"""Merced, (CA)""",1,"1 (1113)"
06049,"""Modoc, (CA)""",0,"0 (1719)"
06053,"""Monterey, (CA)""",2,"2 - 3 (303)"
06055,"""Napa, (CA)""",1,"1 (1113)"
06057,"""Nevada, (CA)""",0,"0 (1719)"
06061,"""Placer, (CA)""",1,"1 (1113)"
06063,"""Plumas, (CA)""",0,"0 (1719)"
06067,"""Sacramento, (CA)""",3,"2 - 3 (303)"
06069,"""San Benito, (CA)""",0,"0 (1719)"
06075,"""San Francisco, (CA)""",1,"1 (1113)"
06077,"""San Joaquin, (CA)""",1,"1 (1113)"
06079,"""San Luis Obispo, (CA)""",0,"0 (1719)"
06081,"""San Mateo, (CA)""",4,"4+ (89)"
06083,"""Santa Barbara, (CA)""",2,"2 - 3 (303)"
06085,"""Santa Clara, (CA)""",7,"4+ (89)"
06087,"""Santa Cruz, (CA)""",0,"0 (1719)"
06089,"""Shasta, (CA)""",2,"2 - 3 (303)"
06091,"""Sierra, (CA)""",0,"0 (1719)"
06093,"""Siskiyou, (CA)""",0,"0 (1719)"
06095,"""Solano, (CA)""",3,"2 - 3 (303)"
06097,"""Sonoma, (CA)""",1,"1 (1113)"
06099,"""Stanislaus, (CA)""",1,"1 (1113)"
06101,"""Sutter, (CA)""",0,"0 (1719)"
06103,"""Tehama, (CA)""",0,"0 (1719)"
06105,"""Trinity, (CA)""",0,"0 (1719)"
06109,"""Tuolumne, (CA)""",1,"1 (1113)"
06113,"""Yolo, (CA)""",1,"1 (1113)"
06115,"""Yuba, (CA)""",1,"1 (1113)"
15001,"""Hawaii, (HI)""",0,"0 (1719)"
15003,"""Honolulu, (HI)""",4,"4+ (89)"
15005,"""Kalawao, (HI)""",0,"0 (1719)"
15007,"""Kauai, (HI)""",1,"1 (1113)"
15009,"""Maui, (HI)""",1,"1 (1113)"
41003,"""Benton, (OR)""",1,"1 (1113)"
41005,"""Clackamas, (OR)""",0,"0 (1719)"
41007,"""Clatsop, (OR)""",1,"1 (1113)"
41009,"""Columbia, (OR)""",0,"0 (1719)"
41011,"""Coos, (OR)""",1,"1 (1113)"
41013,"""Crook, (OR)""",0,"0 (1719)"
41015,"""Curry, (OR)""",1,"1 (1113)"
41017,"""Deschutes, (OR)""",2,"2 - 3 (303)"
41019,"""Douglas, (OR)""",1,"1 (1113)"
41021,"""Gilliam, (OR)""",0,"0 (1719)"
