"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",72.3,"60.3 - 77.5 (629)"
02016,"""Aleutians West, (AK)""",72.9,"60.3 - 77.5 (629)"
02020,"""Anchorage, (AK)""",72.5,"60.3 - 77.5 (629)"
02050,"""Bethel, (AK)""",65.5,"60.3 - 77.5 (629)"
02060,"""Bristol Bay, (AK)""",75.1,"60.3 - 77.5 (629)"
02068,"""Denali, (AK)""",74.5,"60.3 - 77.5 (629)"
02070,"""Dillingham, (AK)""",69.7,"60.3 - 77.5 (629)"
02090,"""Fairbanks North Star, (AK)""",70.8,"60.3 - 77.5 (629)"
02100,"""Haines, (AK)""",79.3,"77.6 - 79.3 (641)"
02105,"""Hoonah-Angoon, (AK)""",78.9,"77.6 - 79.3 (641)"
02110,"""Juneau, (AK)""",76.1,"60.3 - 77.5 (629)"
02122,"""Kenai Peninsula, (AK)""",75.4,"60.3 - 77.5 (629)"
02130,"""Ketchikan Gateway, (AK)""",75.3,"60.3 - 77.5 (629)"
02150,"""Kodiak Island, (AK)""",72.9,"60.3 - 77.5 (629)"
02164,"""Lake and Peninsula, (AK)""",70.3,"60.3 - 77.5 (629)"
02170,"""Matanuska-Susitna, (AK)""",72.3,"60.3 - 77.5 (629)"
02180,"""Nome, (AK)""",67,"60.3 - 77.5 (629)"
02185,"""North Slope, (AK)""",71.3,"60.3 - 77.5 (629)"
02188,"""Northwest Arctic, (AK)""",66.3,"60.3 - 77.5 (629)"
02195,"""Petersburg, (AK)""",76.8,"60.3 - 77.5 (629)"
02198,"""Prince of Wales-Hyder, (AK)""",75.6,"60.3 - 77.5 (629)"
02220,"""Sitka, (AK)""",75.6,"60.3 - 77.5 (629)"
02230,"""Skagway, (AK)""",75.7,"60.3 - 77.5 (629)"
02240,"""Southeast Fairbanks, (AK)""",73.3,"60.3 - 77.5 (629)"
02261,"""Valdez-Cordova, (AK)""",75.9,"60.3 - 77.5 (629)"
02158,"""Kusilvak, (AK)""",60.6,"60.3 - 77.5 (629)"
02275,"""Wrangell, (AK)""",77.4,"60.3 - 77.5 (629)"
02282,"""Yakutat, (AK)""",76.1,"60.3 - 77.5 (629)"
02290,"""Yukon-Koyukuk, (AK)""",71.5,"60.3 - 77.5 (629)"
06001,"""Alameda, (CA)""",80.8,"80.7 - 82.1 (625)"
06005,"""Amador, (CA)""",84.3,"82.2 - 90.1 (619)"
06007,"""Butte, (CA)""",78.5,"77.6 - 79.3 (641)"
06009,"""Calaveras, (CA)""",84.7,"82.2 - 90.1 (619)"
06011,"""Colusa, (CA)""",79.1,"77.6 - 79.3 (641)"
06013,"""Contra Costa, (CA)""",82.7,"82.2 - 90.1 (619)"
06015,"""Del Norte, (CA)""",79.5,"79.4 - 80.6 (628)"
06017,"""El Dorado, (CA)""",84,"82.2 - 90.1 (619)"
06021,"""Glenn, (CA)""",78.4,"77.6 - 79.3 (641)"
06023,"""Humboldt, (CA)""",78.2,"77.6 - 79.3 (641)"
06031,"""Kings, (CA)""",76,"60.3 - 77.5 (629)"
06033,"""Lake, (CA)""",81.5,"80.7 - 82.1 (625)"
06035,"""Lassen, (CA)""",77.1,"60.3 - 77.5 (629)"
06041,"""Marin, (CA)""",85.8,"82.2 - 90.1 (619)"
06043,"""Mariposa, (CA)""",84.1,"82.2 - 90.1 (619)"
06045,"""Mendocino, (CA)""",81.9,"80.7 - 82.1 (625)"
06047,"""Merced, (CA)""",75.9,"60.3 - 77.5 (629)"
06049,"""Modoc, (CA)""",82.6,"82.2 - 90.1 (619)"
06053,"""Monterey, (CA)""",78.5,"77.6 - 79.3 (641)"
06055,"""Napa, (CA)""",82.5,"82.2 - 90.1 (619)"
06057,"""Nevada, (CA)""",85.1,"82.2 - 90.1 (619)"
06061,"""Placer, (CA)""",83.4,"82.2 - 90.1 (619)"
06063,"""Plumas, (CA)""",84.8,"82.2 - 90.1 (619)"
06067,"""Sacramento, (CA)""",80.3,"79.4 - 80.6 (628)"
06069,"""San Benito, (CA)""",80.1,"79.4 - 80.6 (628)"
06075,"""San Francisco, (CA)""",81.1,"80.7 - 82.1 (625)"
06077,"""San Joaquin, (CA)""",79,"77.6 - 79.3 (641)"
06079,"""San Luis Obispo, (CA)""",80.4,"79.4 - 80.6 (628)"
06081,"""San Mateo, (CA)""",83.6,"82.2 - 90.1 (619)"
06083,"""Santa Barbara, (CA)""",78.4,"77.6 - 79.3 (641)"
06085,"""Santa Clara, (CA)""",82.5,"82.2 - 90.1 (619)"
06087,"""Santa Cruz, (CA)""",80.2,"79.4 - 80.6 (628)"
06089,"""Shasta, (CA)""",81,"80.7 - 82.1 (625)"
06091,"""Sierra, (CA)""",85.4,"82.2 - 90.1 (619)"
06093,"""Siskiyou, (CA)""",82.5,"82.2 - 90.1 (619)"
06095,"""Solano, (CA)""",81.8,"80.7 - 82.1 (625)"
06097,"""Sonoma, (CA)""",82.6,"82.2 - 90.1 (619)"
06099,"""Stanislaus, (CA)""",78.8,"77.6 - 79.3 (641)"
06101,"""Sutter, (CA)""",78.9,"77.6 - 79.3 (641)"
06103,"""Tehama, (CA)""",79.8,"79.4 - 80.6 (628)"
