"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",-1,
02016,"""Aleutians West, (AK)""",-1,
02020,"""Anchorage, (AK)""",18.7,"16.8 - 18.8 (625)"
02050,"""Bethel, (AK)""",60,"18.9 - 60.0 (608)"
02060,"""Bristol Bay, (AK)""",-1,
02068,"""Denali, (AK)""",-1,
02070,"""Dillingham, (AK)""",-1,
02090,"""Fairbanks North Star, (AK)""",17.1,"16.8 - 18.8 (625)"
02100,"""Haines, (AK)""",-1,
02105,"""Hoonah-Angoon, (AK)""",-1,
02110,"""Juneau, (AK)""",18.3,"16.8 - 18.8 (625)"
02122,"""Kenai Peninsula, (AK)""",18.8,"16.8 - 18.8 (625)"
02130,"""Ketchikan Gateway, (AK)""",21.9,"18.9 - 60.0 (608)"
02150,"""Kodiak Island, (AK)""",19.3,"18.9 - 60.0 (608)"
02164,"""Lake and Peninsula, (AK)""",-1,
02170,"""Matanuska-Susitna, (AK)""",17.6,"16.8 - 18.8 (625)"
02180,"""Nome, (AK)""",-1,
02185,"""North Slope, (AK)""",-1,
02188,"""Northwest Arctic, (AK)""",-1,
02195,"""Petersburg, (AK)""",-1,
02198,"""Prince of Wales-Hyder, (AK)""",22.1,"18.9 - 60.0 (608)"
02220,"""Sitka, (AK)""",21,"18.9 - 60.0 (608)"
02230,"""Skagway, (AK)""",-1,
02240,"""Southeast Fairbanks, (AK)""",-1,
02261,"""Valdez-Cordova, (AK)""",18.8,"16.8 - 18.8 (625)"
02158,"""Kusilvak, (AK)""",-1,
02275,"""Wrangell, (AK)""",-1,
02282,"""Yakutat, (AK)""",-1,
02290,"""Yukon-Koyukuk, (AK)""",37,"18.9 - 60.0 (608)"
06001,"""Alameda, (CA)""",13.8,"13.6 - 15.0 (613)"
06005,"""Amador, (CA)""",13.8,"13.6 - 15.0 (613)"
06007,"""Butte, (CA)""",17.9,"16.8 - 18.8 (625)"
06009,"""Calaveras, (CA)""",15.6,"15.1 - 16.7 (630)"
06011,"""Colusa, (CA)""",17.9,"16.8 - 18.8 (625)"
06013,"""Contra Costa, (CA)""",13.8,"13.6 - 15.0 (613)"
06015,"""Del Norte, (CA)""",15,"13.6 - 15.0 (613)"
06017,"""El Dorado, (CA)""",13.1,"9.6 - 13.5 (662)"
06021,"""Glenn, (CA)""",18.4,"16.8 - 18.8 (625)"
06023,"""Humboldt, (CA)""",14,"13.6 - 15.0 (613)"
06031,"""Kings, (CA)""",19.1,"18.9 - 60.0 (608)"
06033,"""Lake, (CA)""",19.1,"18.9 - 60.0 (608)"
06035,"""Lassen, (CA)""",16.5,"15.1 - 16.7 (630)"
06041,"""Marin, (CA)""",12.9,"9.6 - 13.5 (662)"
06043,"""Mariposa, (CA)""",17.1,"16.8 - 18.8 (625)"
06045,"""Mendocino, (CA)""",16.2,"15.1 - 16.7 (630)"
06047,"""Merced, (CA)""",19.5,"18.9 - 60.0 (608)"
06049,"""Modoc, (CA)""",16.7,"15.1 - 16.7 (630)"
06053,"""Monterey, (CA)""",18,"16.8 - 18.8 (625)"
06055,"""Napa, (CA)""",13.1,"9.6 - 13.5 (662)"
06057,"""Nevada, (CA)""",15.3,"15.1 - 16.7 (630)"
06061,"""Placer, (CA)""",12.5,"9.6 - 13.5 (662)"
06063,"""Plumas, (CA)""",17,"16.8 - 18.8 (625)"
06067,"""Sacramento, (CA)""",14,"13.6 - 15.0 (613)"
06069,"""San Benito, (CA)""",19.4,"18.9 - 60.0 (608)"
06075,"""San Francisco, (CA)""",14.2,"13.6 - 15.0 (613)"
06077,"""San Joaquin, (CA)""",15.5,"15.1 - 16.7 (630)"
06079,"""San Luis Obispo, (CA)""",15.8,"15.1 - 16.7 (630)"
06081,"""San Mateo, (CA)""",13.7,"13.6 - 15.0 (613)"
06083,"""Santa Barbara, (CA)""",17.8,"16.8 - 18.8 (625)"
06085,"""Santa Clara, (CA)""",13.9,"13.6 - 15.0 (613)"
06087,"""Santa Cruz, (CA)""",16.3,"15.1 - 16.7 (630)"
06089,"""Shasta, (CA)""",16.4,"15.1 - 16.7 (630)"
06091,"""Sierra, (CA)""",16.6,"15.1 - 16.7 (630)"
06093,"""Siskiyou, (CA)""",16.2,"15.1 - 16.7 (630)"
06095,"""Solano, (CA)""",13.4,"9.6 - 13.5 (662)"
06097,"""Sonoma, (CA)""",12.9,"9.6 - 13.5 (662)"
06099,"""Stanislaus, (CA)""",15.1,"15.1 - 16.7 (630)"
06101,"""Sutter, (CA)""",19.6,"18.9 - 60.0 (608)"
06103,"""Tehama, (CA)""",17.3,"16.8 - 18.8 (625)"
06105,"""Trinity, (CA)""",15.3,"15.1 - 16.7 (630)"
06109,"""Tuolumne, (CA)""",16.1,"15.1 - 16.7 (630)"
06113,"""Yolo, (CA)""",13.6,"13.6 - 15.0 (613)"
06115,"""Yuba, (CA)""",17.8,"16.8 - 18.8 (625)"
15001,"""Hawaii, (HI)""",14.6,"13.6 - 15.0 (613)"
15003,"""Honolulu, (HI)""",14.6,"13.6 - 15.0 (613)"
15005,"""Kalawao, (HI)""",-1,
15007,"""Kauai, (HI)""",14.6,"13.6 - 15.0 (613)"
15009,"""Maui, (HI)""",14.6,"13.6 - 15.0 (613)"
41003,"""Benton, (OR)""",11.6,"9.6 - 13.5 (662)"
41005,"""Clackamas, (OR)""",13.2,"9.6 - 13.5 (662)"
41007,"""Clatsop, (OR)""",15.4,"15.1 - 16.7 (630)"
41009,"""Columbia, (OR)""",12.5,"9.6 - 13.5 (662)"
41011,"""Coos, (OR)""",16.4,"15.1 - 16.7 (630)"
41013,"""Crook, (OR)""",15.4,"15.1 - 16.7 (630)"
41015,"""Curry, (OR)""",16.4,"15.1 - 16.7 (630)"
41017,"""Deschutes, (OR)""",15.2,"15.1 - 16.7 (630)"
41019,"""Douglas, (OR)""",16.9,"16.8 - 18.8 (625)"
41021,"""Gilliam, (OR)""",15.7,"15.1 - 16.7 (630)"
41027,"""Hood River, (OR)""",14.2,"13.6 - 15.0 (613)"
41029,"""Jackson, (OR)""",15.9,"15.1 - 16.7 (630)"
41031,"""Jefferson, (OR)""",15.3,"15.1 - 16.7 (630)"
41033,"""Josephine, (OR)""",16.2,"15.1 - 16.7 (630)"
41035,"""Klamath, (OR)""",15.9,"15.1 - 16.7 (630)"
41037,"""Lake, (OR)""",17.7,"16.8 - 18.8 (625)"
41039,"""Lane, (OR)""",13.7,"13.6 - 15.0 (613)"
41041,"""Lincoln, (OR)""",13.8,"13.6 - 15.0 (613)"
41043,"""Linn, (OR)""",13.1,"9.6 - 13.5 (662)"
41047,"""Marion, (OR)""",13.4,"9.6 - 13.5 (662)"
41051,"""Multnomah, (OR)""",14.6,"13.6 - 15.0 (613)"
41053,"""Polk, (OR)""",12.1,"9.6 - 13.5 (662)"
41055,"""Sherman, (OR)""",15.3,"15.1 - 16.7 (630)"
41057,"""Tillamook, (OR)""",16,"15.1 - 16.7 (630)"
41065,"""Wasco, (OR)""",14.1,"13.6 - 15.0 (613)"
41067,"""Washington, (OR)""",12.9,"9.6 - 13.5 (662)"
41069,"""Wheeler, (OR)""",15.7,"15.1 - 16.7 (630)"
41071,"""Yamhill, (OR)""",12.8,"9.6 - 13.5 (662)"
53007,"""Chelan, (WA)""",14.1,"13.6 - 15.0 (613)"
53009,"""Clallam, (WA)""",12.2,"9.6 - 13.5 (662)"
53011,"""Clark, (WA)""",13.5,"9.6 - 13.5 (662)"
53015,"""Cowlitz, (WA)""",13.1,"9.6 - 13.5 (662)"
53027,"""Grays Harbor, (WA)""",15.8,"15.1 - 16.7 (630)"
53029,"""Island, (WA)""",13,"9.6 - 13.5 (662)"
53031,"""Jefferson, (WA)""",15.1,"15.1 - 16.7 (630)"
53033,"""King, (WA)""",14,"13.6 - 15.0 (613)"
53035,"""Kitsap, (WA)""",13.5,"9.6 - 13.5 (662)"
53037,"""Kittitas, (WA)""",14.6,"13.6 - 15.0 (613)"
53039,"""Klickitat, (WA)""",16.1,"15.1 - 16.7 (630)"
53041,"""Lewis, (WA)""",15,"13.6 - 15.0 (613)"
53045,"""Mason, (WA)""",13.9,"13.6 - 15.0 (613)"
53047,"""Okanogan, (WA)""",15.5,"15.1 - 16.7 (630)"
53049,"""Pacific, (WA)""",15.5,"15.1 - 16.7 (630)"
53053,"""Pierce, (WA)""",14.6,"13.6 - 15.0 (613)"
53055,"""San Juan, (WA)""",15.6,"15.1 - 16.7 (630)"
53057,"""Skagit, (WA)""",14.7,"13.6 - 15.0 (613)"
53059,"""Skamania, (WA)""",15.5,"15.1 - 16.7 (630)"
53061,"""Snohomish, (WA)""",13.2,"9.6 - 13.5 (662)"
53067,"""Thurston, (WA)""",14.1,"13.6 - 15.0 (613)"
53069,"""Wahkiakum, (WA)""",13.9,"13.6 - 15.0 (613)"
53073,"""Whatcom, (WA)""",15.5,"15.1 - 16.7 (630)"
53077,"""Yakima, (WA)""",17.1,"16.8 - 18.8 (625)"
04001,"""Apache, (AZ)""",38.2,"18.9 - 60.0 (608)"
04003,"""Cochise, (AZ)""",19,"18.9 - 60.0 (608)"
04005,"""Coconino, (AZ)""",22.4,"18.9 - 60.0 (608)"
04007,"""Gila, (AZ)""",19.2,"18.9 - 60.0 (608)"
04009,"""Graham, (AZ)""",19,"18.9 - 60.0 (608)"
04011,"""Greenlee, (AZ)""",19.2,"18.9 - 60.0 (608)"
04012,"""La Paz, (AZ)""",18.5,"16.8 - 18.8 (625)"
