"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",0,"0.0 - 0.0 (1154)"
02016,"""Aleutians West, (AK)""",0,"0.0 - 0.0 (1154)"
02020,"""Anchorage, (AK)""",5.1,"0.1 - 7.7 (142)"
02050,"""Bethel, (AK)""",0,"0.0 - 0.0 (1154)"
02060,"""Bristol Bay, (AK)""",0,"0.0 - 0.0 (1154)"
02068,"""Denali, (AK)""",0,"0.0 - 0.0 (1154)"
02070,"""Dillingham, (AK)""",0,"0.0 - 0.0 (1154)"
02090,"""Fairbanks North Star, (AK)""",7.1,"0.1 - 7.7 (142)"
02100,"""Haines, (AK)""",0,"0.0 - 0.0 (1154)"
02105,"""Hoonah-Angoon, (AK)""",0,"0.0 - 0.0 (1154)"
02110,"""Juneau, (AK)""",0,"0.0 - 0.0 (1154)"
02122,"""Kenai Peninsula, (AK)""",6.8,"0.1 - 7.7 (142)"
02130,"""Ketchikan Gateway, (AK)""",0,"0.0 - 0.0 (1154)"
02150,"""Kodiak Island, (AK)""",0,"0.0 - 0.0 (1154)"
02164,"""Lake and Peninsula, (AK)""",0,"0.0 - 0.0 (1154)"
02170,"""Matanuska-Susitna, (AK)""",0,"0.0 - 0.0 (1154)"
02180,"""Nome, (AK)""",0,"0.0 - 0.0 (1154)"
02185,"""North Slope, (AK)""",0,"0.0 - 0.0 (1154)"
02188,"""Northwest Arctic, (AK)""",0,"0.0 - 0.0 (1154)"
02195,"""Petersburg, (AK)""",0,"0.0 - 0.0 (1154)"
02198,"""Prince of Wales-Hyder, (AK)""",0,"0.0 - 0.0 (1154)"
02220,"""Sitka, (AK)""",0,"0.0 - 0.0 (1154)"
02230,"""Skagway, (AK)""",0,"0.0 - 0.0 (1154)"
02240,"""Southeast Fairbanks, (AK)""",0,"0.0 - 0.0 (1154)"
02261,"""Valdez-Cordova, (AK)""",0,"0.0 - 0.0 (1154)"
02158,"""Kusilvak, (AK)""",0,"0.0 - 0.0 (1154)"
02275,"""Wrangell, (AK)""",0,"0.0 - 0.0 (1154)"
02282,"""Yakutat, (AK)""",0,"0.0 - 0.0 (1154)"
02290,"""Yukon-Koyukuk, (AK)""",0,"0.0 - 0.0 (1154)"
06001,"""Alameda, (CA)""",8.8,"7.8 - 13.1 (642)"
06005,"""Amador, (CA)""",7.6,"0.1 - 7.7 (142)"
06007,"""Butte, (CA)""",11.2,"7.8 - 13.1 (642)"
06009,"""Calaveras, (CA)""",8.8,"7.8 - 13.1 (642)"
06011,"""Colusa, (CA)""",13.9,"13.2 - 19.4 (647)"
06013,"""Contra Costa, (CA)""",8.8,"7.8 - 13.1 (642)"
06015,"""Del Norte, (CA)""",0,"0.0 - 0.0 (1154)"
06017,"""El Dorado, (CA)""",10,"7.8 - 13.1 (642)"
06021,"""Glenn, (CA)""",14.3,"13.2 - 19.4 (647)"
06023,"""Humboldt, (CA)""",16.9,"13.2 - 19.4 (647)"
06031,"""Kings, (CA)""",6.6,"0.1 - 7.7 (142)"
06033,"""Lake, (CA)""",12.4,"7.8 - 13.1 (642)"
06035,"""Lassen, (CA)""",0,"0.0 - 0.0 (1154)"
06041,"""Marin, (CA)""",11.9,"7.8 - 13.1 (642)"
06043,"""Mariposa, (CA)""",0,"0.0 - 0.0 (1154)"
06045,"""Mendocino, (CA)""",11.4,"7.8 - 13.1 (642)"
06047,"""Merced, (CA)""",9.1,"7.8 - 13.1 (642)"
06049,"""Modoc, (CA)""",0,"0.0 - 0.0 (1154)"
06053,"""Monterey, (CA)""",7.3,"0.1 - 7.7 (142)"
06055,"""Napa, (CA)""",8.6,"7.8 - 13.1 (642)"
06057,"""Nevada, (CA)""",9,"7.8 - 13.1 (642)"
06061,"""Placer, (CA)""",10.7,"7.8 - 13.1 (642)"
06063,"""Plumas, (CA)""",26.6,"19.5 - 111.8 (638)"
06067,"""Sacramento, (CA)""",9.5,"7.8 - 13.1 (642)"
06069,"""San Benito, (CA)""",0,"0.0 - 0.0 (1154)"
06075,"""San Francisco, (CA)""",13.1,"7.8 - 13.1 (642)"
06077,"""San Joaquin, (CA)""",8.5,"7.8 - 13.1 (642)"
06079,"""San Luis Obispo, (CA)""",11.3,"7.8 - 13.1 (642)"
06081,"""San Mateo, (CA)""",8.2,"7.8 - 13.1 (642)"
06083,"""Santa Barbara, (CA)""",8.5,"7.8 - 13.1 (642)"
06085,"""Santa Clara, (CA)""",8.6,"7.8 - 13.1 (642)"
06087,"""Santa Cruz, (CA)""",12.8,"7.8 - 13.1 (642)"
06089,"""Shasta, (CA)""",9.4,"7.8 - 13.1 (642)"
06091,"""Sierra, (CA)""",0,"0.0 - 0.0 (1154)"
06093,"""Siskiyou, (CA)""",9.1,"7.8 - 13.1 (642)"
06095,"""Solano, (CA)""",6.5,"0.1 - 7.7 (142)"
06097,"""Sonoma, (CA)""",9.4,"7.8 - 13.1 (642)"
06099,"""Stanislaus, (CA)""",11.3,"7.8 - 13.1 (642)"
06101,"""Sutter, (CA)""",11.4,"7.8 - 13.1 (642)"
06103,"""Tehama, (CA)""",12.5,"7.8 - 13.1 (642)"
06105,"""Trinity, (CA)""",23.9,"19.5 - 111.8 (638)"
06109,"""Tuolumne, (CA)""",11,"7.8 - 13.1 (642)"
06113,"""Yolo, (CA)""",7.3,"0.1 - 7.7 (142)"
06115,"""Yuba, (CA)""",9,"7.8 - 13.1 (642)"
15001,"""Hawaii, (HI)""",13.4,"13.2 - 19.4 (647)"
15003,"""Honolulu, (HI)""",9,"7.8 - 13.1 (642)"
15005,"""Kalawao, (HI)""",0,"0.0 - 0.0 (1154)"
15007,"""Kauai, (HI)""",22.2,"19.5 - 111.8 (638)"
15009,"""Maui, (HI)""",13.8,"13.2 - 19.4 (647)"
41003,"""Benton, (OR)""",6.5,"0.1 - 7.7 (142)"
41005,"""Clackamas, (OR)""",7.7,"0.1 - 7.7 (142)"
41007,"""Clatsop, (OR)""",12.6,"7.8 - 13.1 (642)"
41009,"""Columbia, (OR)""",9.5,"7.8 - 13.1 (642)"
41011,"""Coos, (OR)""",7.8,"7.8 - 13.1 (642)"
41013,"""Crook, (OR)""",0,"0.0 - 0.0 (1154)"
41015,"""Curry, (OR)""",0,"0.0 - 0.0 (1154)"
41017,"""Deschutes, (OR)""",8.9,"7.8 - 13.1 (642)"
41019,"""Douglas, (OR)""",11.8,"7.8 - 13.1 (642)"
41021,"""Gilliam, (OR)""",0,"0.0 - 0.0 (1154)"
41027,"""Hood River, (OR)""",0,"0.0 - 0.0 (1154)"
41029,"""Jackson, (OR)""",8.2,"7.8 - 13.1 (642)"
41031,"""Jefferson, (OR)""",0,"0.0 - 0.0 (1154)"
41033,"""Josephine, (OR)""",6.9,"0.1 - 7.7 (142)"
41035,"""Klamath, (OR)""",0,"0.0 - 0.0 (1154)"
41037,"""Lake, (OR)""",0,"0.0 - 0.0 (1154)"
41039,"""Lane, (OR)""",7.6,"0.1 - 7.7 (142)"
41041,"""Lincoln, (OR)""",18.2,"13.2 - 19.4 (647)"
41043,"""Linn, (OR)""",7.9,"7.8 - 13.1 (642)"
41047,"""Marion, (OR)""",7.8,"7.8 - 13.1 (642)"
41051,"""Multnomah, (OR)""",7.3,"0.1 - 7.7 (142)"
41053,"""Polk, (OR)""",5.9,"0.1 - 7.7 (142)"
41055,"""Sherman, (OR)""",0,"0.0 - 0.0 (1154)"
41057,"""Tillamook, (OR)""",11.2,"7.8 - 13.1 (642)"
41065,"""Wasco, (OR)""",0,"0.0 - 0.0 (1154)"
41067,"""Washington, (OR)""",5.9,"0.1 - 7.7 (142)"
41069,"""Wheeler, (OR)""",0,"0.0 - 0.0 (1154)"
41071,"""Yamhill, (OR)""",9.3,"7.8 - 13.1 (642)"
53007,"""Chelan, (WA)""",7.8,"7.8 - 13.1 (642)"
53009,"""Clallam, (WA)""",10.4,"7.8 - 13.1 (642)"
53011,"""Clark, (WA)""",5,"0.1 - 7.7 (142)"
53015,"""Cowlitz, (WA)""",7.3,"0.1 - 7.7 (142)"
53027,"""Grays Harbor, (WA)""",14.9,"13.2 - 19.4 (647)"
53029,"""Island, (WA)""",8.3,"7.8 - 13.1 (642)"
53031,"""Jefferson, (WA)""",0,"0.0 - 0.0 (1154)"
53033,"""King, (WA)""",10.2,"7.8 - 13.1 (642)"
53035,"""Kitsap, (WA)""",7,"0.1 - 7.7 (142)"
53037,"""Kittitas, (WA)""",6.3,"0.1 - 7.7 (142)"
53039,"""Klickitat, (WA)""",0,"0.0 - 0.0 (1154)"
53041,"""Lewis, (WA)""",7.5,"0.1 - 7.7 (142)"
53045,"""Mason, (WA)""",4.6,"0.1 - 7.7 (142)"
53047,"""Okanogan, (WA)""",19,"13.2 - 19.4 (647)"
53049,"""Pacific, (WA)""",27.2,"19.5 - 111.8 (638)"
53053,"""Pierce, (WA)""",8.2,"7.8 - 13.1 (642)"
53055,"""San Juan, (WA)""",23.4,"19.5 - 111.8 (638)"
53057,"""Skagit, (WA)""",10.9,"7.8 - 13.1 (642)"
53059,"""Skamania, (WA)""",0,"0.0 - 0.0 (1154)"
53061,"""Snohomish, (WA)""",8.8,"7.8 - 13.1 (642)"
53067,"""Thurston, (WA)""",8.4,"7.8 - 13.1 (642)"
53069,"""Wahkiakum, (WA)""",0,"0.0 - 0.0 (1154)"
53073,"""Whatcom, (WA)""",11.1,"7.8 - 13.1 (642)"
53077,"""Yakima, (WA)""",6.4,"0.1 - 7.7 (142)"
04001,"""Apache, (AZ)""",0,"0.0 - 0.0 (1154)"
04003,"""Cochise, (AZ)""",5.5,"0.1 - 7.7 (142)"
04005,"""Coconino, (AZ)""",4.9,"0.1 - 7.7 (142)"
04007,"""Gila, (AZ)""",5.6,"0.1 - 7.7 (142)"
04009,"""Graham, (AZ)""",0,"0.0 - 0.0 (1154)"
04011,"""Greenlee, (AZ)""",0,"0.0 - 0.0 (1154)"
04012,"""La Paz, (AZ)""",14.2,"13.2 - 19.4 (647)"
04013,"""Maricopa, (AZ)""",9,"7.8 - 13.1 (642)"
04015,"""Mohave, (AZ)""",7.2,"0.1 - 7.7 (142)"
04017,"""Navajo, (AZ)""",3.6,"0.1 - 7.7 (142)"
04019,"""Pima, (AZ)""",8.8,"7.8 - 13.1 (642)"
04021,"""Pinal, (AZ)""",4.7,"0.1 - 7.7 (142)"
04023,"""Santa Cruz, (AZ)""",6.5,"0.1 - 7.7 (142)"
04025,"""Yavapai, (AZ)""",8.6,"7.8 - 13.1 (642)"
04027,"""Yuma, (AZ)""",5.7,"0.1 - 7.7 (142)"
06003,"""Alpine, (CA)""",0,"0.0 - 0.0 (1154)"
06019,"""Fresno, (CA)""",11.8,"7.8 - 13.1 (642)"
06025,"""Imperial, (CA)""",11,"7.8 - 13.1 (642)"
06027,"""Inyo, (CA)""",0,"0.0 - 0.0 (1154)"
06029,"""Kern, (CA)""",9.9,"7.8 - 13.1 (642)"
06037,"""Los Angeles, (CA)""",14.4,"13.2 - 19.4 (647)"
06039,"""Madera, (CA)""",10.1,"7.8 - 13.1 (642)"
06051,"""Mono, (CA)""",0,"0.0 - 0.0 (1154)"
06059,"""Orange, (CA)""",14.9,"13.2 - 19.4 (647)"
06065,"""Riverside, (CA)""",10.4,"7.8 - 13.1 (642)"
06071,"""San Bernardino, (CA)""",10.7,"7.8 - 13.1 (642)"
06073,"""San Diego, (CA)""",8.6,"7.8 - 13.1 (642)"
06107,"""Tulare, (CA)""",9.9,"7.8 - 13.1 (642)"
06111,"""Ventura, (CA)""",11.9,"7.8 - 13.1 (642)"
08007,"""Archuleta, (CO)""",0,"0.0 - 0.0 (1154)"
08029,"""Delta, (CO)""",0,"0.0 - 0.0 (1154)"
08033,"""Dolores, (CO)""",0,"0.0 - 0.0 (1154)"
08045,"""Garfield, (CO)""",5,"0.1 - 7.7 (142)"
08051,"""Gunnison, (CO)""",0,"0.0 - 0.0 (1154)"
08053,"""Hinsdale, (CO)""",0,"0.0 - 0.0 (1154)"
08067,"""La Plata, (CO)""",10.7,"7.8 - 13.1 (642)"
08077,"""Mesa, (CO)""",7.2,"0.1 - 7.7 (142)"
08079,"""Mineral, (CO)""",0,"0.0 - 0.0 (1154)"
08081,"""Moffat, (CO)""",0,"0.0 - 0.0 (1154)"
08083,"""Montezuma, (CO)""",0,"0.0 - 0.0 (1154)"
08085,"""Montrose, (CO)""",11.8,"7.8 - 13.1 (642)"
08091,"""Ouray, (CO)""",0,"0.0 - 0.0 (1154)"
08097,"""Pitkin, (CO)""",16.7,"13.2 - 19.4 (647)"
08103,"""Rio Blanco, (CO)""",0,"0.0 - 0.0 (1154)"
08107,"""Routt, (CO)""",15.5,"13.2 - 19.4 (647)"
08111,"""San Juan, (CO)""",0,"0.0 - 0.0 (1154)"
08113,"""San Miguel, (CO)""",36.6,"19.5 - 111.8 (638)"
16001,"""Ada, (ID)""",8.1,"7.8 - 13.1 (642)"
16005,"""Bannock, (ID)""",10.3,"7.8 - 13.1 (642)"
16007,"""Bear Lake, (ID)""",0,"0.0 - 0.0 (1154)"
16011,"""Bingham, (ID)""",6.5,"0.1 - 7.7 (142)"
16013,"""Blaine, (ID)""",13.3,"13.2 - 19.4 (647)"
16015,"""Boise, (ID)""",0,"0.0 - 0.0 (1154)"
16019,"""Bonneville, (ID)""",6.8,"0.1 - 7.7 (142)"
16023,"""Butte, (ID)""",0,"0.0 - 0.0 (1154)"
16025,"""Camas, (ID)""",0,"0.0 - 0.0 (1154)"
16027,"""Canyon, (ID)""",4.9,"0.1 - 7.7 (142)"
16029,"""Caribou, (ID)""",0,"0.0 - 0.0 (1154)"
16031,"""Cassia, (ID)""",16.8,"13.2 - 19.4 (647)"
16033,"""Clark, (ID)""",0,"0.0 - 0.0 (1154)"
16037,"""Custer, (ID)""",0,"0.0 - 0.0 (1154)"
16039,"""Elmore, (ID)""",0,"0.0 - 0.0 (1154)"
16041,"""Franklin, (ID)""",0,"0.0 - 0.0 (1154)"
16043,"""Fremont, (ID)""",0,"0.0 - 0.0 (1154)"
16045,"""Gem, (ID)""",0,"0.0 - 0.0 (1154)"
16047,"""Gooding, (ID)""",0,"0.0 - 0.0 (1154)"
16051,"""Jefferson, (ID)""",0,"0.0 - 0.0 (1154)"
16053,"""Jerome, (ID)""",12.5,"7.8 - 13.1 (642)"
16063,"""Lincoln, (ID)""",0,"0.0 - 0.0 (1154)"
16065,"""Madison, (ID)""",0,"0.0 - 0.0 (1154)"
16067,"""Minidoka, (ID)""",0,"0.0 - 0.0 (1154)"
16071,"""Oneida, (ID)""",0,"0.0 - 0.0 (1154)"
16073,"""Owyhee, (ID)""",0,"0.0 - 0.0 (1154)"
16075,"""Payette, (ID)""",0,"0.0 - 0.0 (1154)"
16077,"""Power, (ID)""",0,"0.0 - 0.0 (1154)"
16081,"""Teton, (ID)""",0,"0.0 - 0.0 (1154)"
16083,"""Twin Falls, (ID)""",9.3,"7.8 - 13.1 (642)"
16087,"""Washington, (ID)""",0,"0.0 - 0.0 (1154)"
32001,"""Churchill, (NV)""",16.4,"13.2 - 19.4 (647)"
32003,"""Clark, (NV)""",10,"7.8 - 13.1 (642)"
32005,"""Douglas, (NV)""",0,"0.0 - 0.0 (1154)"
32007,"""Elko, (NV)""",7.6,"0.1 - 7.7 (142)"
32009,"""Esmeralda, (NV)""",0,"0.0 - 0.0 (1154)"
