"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",0,"0 (754)"
02016,"""Aleutians West, (AK)""",0,"0 (754)"
02020,"""Anchorage, (AK)""",4,"4+ (211)"
02050,"""Bethel, (AK)""",1,"1 (1654)"
02060,"""Bristol Bay, (AK)""",0,"0 (754)"
02068,"""Denali, (AK)""",0,"0 (754)"
02070,"""Dillingham, (AK)""",0,"0 (754)"
02090,"""Fairbanks North Star, (AK)""",2,"2 - 3 (605)"
02100,"""Haines, (AK)""",0,"0 (754)"
02105,"""Hoonah-Angoon, (AK)""",0,"0 (754)"
02110,"""Juneau, (AK)""",1,"1 (1654)"
02122,"""Kenai Peninsula, (AK)""",3,"2 - 3 (605)"
02130,"""Ketchikan Gateway, (AK)""",1,"1 (1654)"
02150,"""Kodiak Island, (AK)""",1,"1 (1654)"
02164,"""Lake and Peninsula, (AK)""",0,"0 (754)"
02170,"""Matanuska-Susitna, (AK)""",1,"1 (1654)"
02180,"""Nome, (AK)""",1,"1 (1654)"
02185,"""North Slope, (AK)""",1,"1 (1654)"
02188,"""Northwest Arctic, (AK)""",0,"0 (754)"
02195,"""Petersburg, (AK)""",1,"1 (1654)"
02198,"""Prince of Wales-Hyder, (AK)""",0,"0 (754)"
02220,"""Sitka, (AK)""",2,"2 - 3 (605)"
02230,"""Skagway, (AK)""",0,"0 (754)"
02240,"""Southeast Fairbanks, (AK)""",0,"0 (754)"
02261,"""Valdez-Cordova, (AK)""",2,"2 - 3 (605)"
02158,"""Kusilvak, (AK)""",0,"0 (754)"
02275,"""Wrangell, (AK)""",1,"1 (1654)"
02282,"""Yakutat, (AK)""",0,"0 (754)"
02290,"""Yukon-Koyukuk, (AK)""",0,"0 (754)"
06001,"""Alameda, (CA)""",12,"4+ (211)"
06005,"""Amador, (CA)""",1,"1 (1654)"
06007,"""Butte, (CA)""",3,"2 - 3 (605)"
06009,"""Calaveras, (CA)""",1,"1 (1654)"
06011,"""Colusa, (CA)""",0,"0 (754)"
06013,"""Contra Costa, (CA)""",7,"4+ (211)"
06015,"""Del Norte, (CA)""",1,"1 (1654)"
06017,"""El Dorado, (CA)""",2,"2 - 3 (605)"
06021,"""Glenn, (CA)""",1,"1 (1654)"
06023,"""Humboldt, (CA)""",4,"4+ (211)"
06031,"""Kings, (CA)""",3,"2 - 3 (605)"
06033,"""Lake, (CA)""",2,"2 - 3 (605)"
06035,"""Lassen, (CA)""",1,"1 (1654)"
06041,"""Marin, (CA)""",3,"2 - 3 (605)"
06043,"""Mariposa, (CA)""",1,"1 (1654)"
06045,"""Mendocino, (CA)""",3,"2 - 3 (605)"
06047,"""Merced, (CA)""",2,"2 - 3 (605)"
06049,"""Modoc, (CA)""",2,"2 - 3 (605)"
06053,"""Monterey, (CA)""",4,"4+ (211)"
06055,"""Napa, (CA)""",2,"2 - 3 (605)"
06057,"""Nevada, (CA)""",2,"2 - 3 (605)"
06061,"""Placer, (CA)""",3,"2 - 3 (605)"
06063,"""Plumas, (CA)""",3,"2 - 3 (605)"
06067,"""Sacramento, (CA)""",8,"4+ (211)"
06069,"""San Benito, (CA)""",1,"1 (1654)"
06075,"""San Francisco, (CA)""",10,"4+ (211)"
06077,"""San Joaquin, (CA)""",7,"4+ (211)"
06079,"""San Luis Obispo, (CA)""",4,"4+ (211)"
06081,"""San Mateo, (CA)""",7,"4+ (211)"
06083,"""Santa Barbara, (CA)""",5,"4+ (211)"
06085,"""Santa Clara, (CA)""",10,"4+ (211)"
06087,"""Santa Cruz, (CA)""",2,"2 - 3 (605)"
06089,"""Shasta, (CA)""",3,"2 - 3 (605)"
06091,"""Sierra, (CA)""",0,"0 (754)"
06093,"""Siskiyou, (CA)""",2,"2 - 3 (605)"
06095,"""Solano, (CA)""",5,"4+ (211)"
06097,"""Sonoma, (CA)""",6,"4+ (211)"
06099,"""Stanislaus, (CA)""",4,"4+ (211)"
06101,"""Sutter, (CA)""",0,"0 (754)"
06103,"""Tehama, (CA)""",1,"1 (1654)"
06105,"""Trinity, (CA)""",1,"1 (1654)"
06109,"""Tuolumne, (CA)""",1,"1 (1654)"
06113,"""Yolo, (CA)""",2,"2 - 3 (605)"
06115,"""Yuba, (CA)""",1,"1 (1654)"
15001,"""Hawaii, (HI)""",5,"4+ (211)"
15003,"""Honolulu, (HI)""",9,"4+ (211)"
15005,"""Kalawao, (HI)""",0,"0 (754)"
15007,"""Kauai, (HI)""",2,"2 - 3 (605)"
15009,"""Maui, (HI)""",4,"4+ (211)"
41003,"""Benton, (OR)""",1,"1 (1654)"
41005,"""Clackamas, (OR)""",3,"2 - 3 (605)"
41007,"""Clatsop, (OR)""",2,"2 - 3 (605)"
41009,"""Columbia, (OR)""",0,"0 (754)"
41011,"""Coos, (OR)""",3,"2 - 3 (605)"
41013,"""Crook, (OR)""",1,"1 (1654)"
41015,"""Curry, (OR)""",1,"1 (1654)"
41017,"""Deschutes, (OR)""",2,"2 - 3 (605)"
41019,"""Douglas, (OR)""",3,"2 - 3 (605)"
41021,"""Gilliam, (OR)""",0,"0 (754)"
41027,"""Hood River, (OR)""",1,"1 (1654)"
41029,"""Jackson, (OR)""",3,"2 - 3 (605)"
41031,"""Jefferson, (OR)""",1,"1 (1654)"
41033,"""Josephine, (OR)""",1,"1 (1654)"
41035,"""Klamath, (OR)""",1,"1 (1654)"
41037,"""Lake, (OR)""",1,"1 (1654)"
41039,"""Lane, (OR)""",5,"4+ (211)"
41041,"""Lincoln, (OR)""",2,"2 - 3 (605)"
41043,"""Linn, (OR)""",2,"2 - 3 (605)"
41047,"""Marion, (OR)""",3,"2 - 3 (605)"
41051,"""Multnomah, (OR)""",7,"4+ (211)"
41053,"""Polk, (OR)""",1,"1 (1654)"
