"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",25.6,"15.7 - 32.2 (624)"
02016,"""Aleutians West, (AK)""",17.6,"15.7 - 32.2 (624)"
02020,"""Anchorage, (AK)""",12.1,"9.4 - 12.1 (617)"
02050,"""Bethel, (AK)""",17.9,"15.7 - 32.2 (624)"
02060,"""Bristol Bay, (AK)""",16.2,"15.7 - 32.2 (624)"
02068,"""Denali, (AK)""",12.1,"9.4 - 12.1 (617)"
02070,"""Dillingham, (AK)""",18.7,"15.7 - 32.2 (624)"
02090,"""Fairbanks North Star, (AK)""",12.3,"12.2 - 15.6 (624)"
02100,"""Haines, (AK)""",13.9,"12.2 - 15.6 (624)"
02105,"""Hoonah-Angoon, (AK)""",21.3,"15.7 - 32.2 (624)"
02110,"""Juneau, (AK)""",10.9,"9.4 - 12.1 (617)"
02122,"""Kenai Peninsula, (AK)""",15.5,"12.2 - 15.6 (624)"
02130,"""Ketchikan Gateway, (AK)""",15.7,"15.7 - 32.2 (624)"
02150,"""Kodiak Island, (AK)""",19.8,"15.7 - 32.2 (624)"
02164,"""Lake and Peninsula, (AK)""",20.7,"15.7 - 32.2 (624)"
02170,"""Matanuska-Susitna, (AK)""",15.1,"12.2 - 15.6 (624)"
02180,"""Nome, (AK)""",18.4,"15.7 - 32.2 (624)"
02185,"""North Slope, (AK)""",15.3,"12.2 - 15.6 (624)"
02188,"""Northwest Arctic, (AK)""",17.8,"15.7 - 32.2 (624)"
02195,"""Petersburg, (AK)""",16.1,"15.7 - 32.2 (624)"
02198,"""Prince of Wales-Hyder, (AK)""",20.2,"15.7 - 32.2 (624)"
02220,"""Sitka, (AK)""",15.5,"12.2 - 15.6 (624)"
02230,"""Skagway, (AK)""",14.1,"12.2 - 15.6 (624)"
02240,"""Southeast Fairbanks, (AK)""",20.2,"15.7 - 32.2 (624)"
02261,"""Valdez-Cordova, (AK)""",13,"12.2 - 15.6 (624)"
02158,"""Kusilvak, (AK)""",17.8,"15.7 - 32.2 (624)"
02275,"""Wrangell, (AK)""",18,"15.7 - 32.2 (624)"
02282,"""Yakutat, (AK)""",18.4,"15.7 - 32.2 (624)"
02290,"""Yukon-Koyukuk, (AK)""",21.9,"15.7 - 32.2 (624)"
06001,"""Alameda, (CA)""",5,"2.4 - 7.0 (634)"
06005,"""Amador, (CA)""",6,"2.4 - 7.0 (634)"
06007,"""Butte, (CA)""",7.7,"7.1 - 9.3 (642)"
06009,"""Calaveras, (CA)""",7.4,"7.1 - 9.3 (642)"
06011,"""Colusa, (CA)""",11.5,"9.4 - 12.1 (617)"
06013,"""Contra Costa, (CA)""",5.9,"2.4 - 7.0 (634)"
06015,"""Del Norte, (CA)""",7.3,"7.1 - 9.3 (642)"
06017,"""El Dorado, (CA)""",5.7,"2.4 - 7.0 (634)"
06021,"""Glenn, (CA)""",11.9,"9.4 - 12.1 (617)"
06023,"""Humboldt, (CA)""",8.2,"7.1 - 9.3 (642)"
06031,"""Kings, (CA)""",8.5,"7.1 - 9.3 (642)"
06033,"""Lake, (CA)""",8.9,"7.1 - 9.3 (642)"
06035,"""Lassen, (CA)""",4.8,"2.4 - 7.0 (634)"
06041,"""Marin, (CA)""",4.8,"2.4 - 7.0 (634)"
06043,"""Mariposa, (CA)""",8.3,"7.1 - 9.3 (642)"
06045,"""Mendocino, (CA)""",10,"9.4 - 12.1 (617)"
06047,"""Merced, (CA)""",9,"7.1 - 9.3 (642)"
06049,"""Modoc, (CA)""",9.4,"9.4 - 12.1 (617)"
06053,"""Monterey, (CA)""",11.9,"9.4 - 12.1 (617)"
06055,"""Napa, (CA)""",8,"7.1 - 9.3 (642)"
06057,"""Nevada, (CA)""",6.8,"2.4 - 7.0 (634)"
06061,"""Placer, (CA)""",4.6,"2.4 - 7.0 (634)"
06063,"""Plumas, (CA)""",6.5,"2.4 - 7.0 (634)"
06067,"""Sacramento, (CA)""",6.1,"2.4 - 7.0 (634)"
06069,"""San Benito, (CA)""",8,"7.1 - 9.3 (642)"
06075,"""San Francisco, (CA)""",4.8,"2.4 - 7.0 (634)"
06077,"""San Joaquin, (CA)""",7.8,"7.1 - 9.3 (642)"
06079,"""San Luis Obispo, (CA)""",7.4,"7.1 - 9.3 (642)"
06081,"""San Mateo, (CA)""",4.9,"2.4 - 7.0 (634)"
06083,"""Santa Barbara, (CA)""",11.5,"9.4 - 12.1 (617)"
06085,"""Santa Clara, (CA)""",5.1,"2.4 - 7.0 (634)"
06087,"""Santa Cruz, (CA)""",7.3,"7.1 - 9.3 (642)"
06089,"""Shasta, (CA)""",7,"2.4 - 7.0 (634)"
06091,"""Sierra, (CA)""",7.1,"7.1 - 9.3 (642)"
06093,"""Siskiyou, (CA)""",8.4,"7.1 - 9.3 (642)"
06095,"""Solano, (CA)""",5.8,"2.4 - 7.0 (634)"
06097,"""Sonoma, (CA)""",8.2,"7.1 - 9.3 (642)"
06099,"""Stanislaus, (CA)""",7.1,"7.1 - 9.3 (642)"
06101,"""Sutter, (CA)""",9,"7.1 - 9.3 (642)"
06103,"""Tehama, (CA)""",8.1,"7.1 - 9.3 (642)"
06105,"""Trinity, (CA)""",9,"7.1 - 9.3 (642)"
06109,"""Tuolumne, (CA)""",6.2,"2.4 - 7.0 (634)"
06113,"""Yolo, (CA)""",6.8,"2.4 - 7.0 (634)"
06115,"""Yuba, (CA)""",7.8,"7.1 - 9.3 (642)"
15001,"""Hawaii, (HI)""",6.4,"2.4 - 7.0 (634)"
15003,"""Honolulu, (HI)""",4.2,"2.4 - 7.0 (634)"
15005,"""Kalawao, (HI)""",-1,
15007,"""Kauai, (HI)""",5.1,"2.4 - 7.0 (634)"
15009,"""Maui, (HI)""",5.6,"2.4 - 7.0 (634)"
41003,"""Benton, (OR)""",6.3,"2.4 - 7.0 (634)"
41005,"""Clackamas, (OR)""",6.6,"2.4 - 7.0 (634)"
41007,"""Clatsop, (OR)""",9.6,"9.4 - 12.1 (617)"
41009,"""Columbia, (OR)""",6.4,"2.4 - 7.0 (634)"
41011,"""Coos, (OR)""",9.5,"9.4 - 12.1 (617)"
41013,"""Crook, (OR)""",9.3,"7.1 - 9.3 (642)"
41015,"""Curry, (OR)""",9,"7.1 - 9.3 (642)"
41017,"""Deschutes, (OR)""",8.1,"7.1 - 9.3 (642)"
41019,"""Douglas, (OR)""",8.4,"7.1 - 9.3 (642)"
41021,"""Gilliam, (OR)""",7.5,"7.1 - 9.3 (642)"
41027,"""Hood River, (OR)""",11.7,"9.4 - 12.1 (617)"
41029,"""Jackson, (OR)""",9.3,"7.1 - 9.3 (642)"
41031,"""Jefferson, (OR)""",12,"9.4 - 12.1 (617)"
41033,"""Josephine, (OR)""",9.2,"7.1 - 9.3 (642)"
41035,"""Klamath, (OR)""",11,"9.4 - 12.1 (617)"
41037,"""Lake, (OR)""",9.3,"7.1 - 9.3 (642)"
41039,"""Lane, (OR)""",9.4,"9.4 - 12.1 (617)"
