"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",0,"0 (2280)"
02016,"""Aleutians West, (AK)""",0,"0 (2280)"
02020,"""Anchorage, (AK)""",2,"2 - 3 (234)"
02050,"""Bethel, (AK)""",0,"0 (2280)"
02060,"""Bristol Bay, (AK)""",0,"0 (2280)"
02068,"""Denali, (AK)""",0,"0 (2280)"
02070,"""Dillingham, (AK)""",0,"0 (2280)"
02090,"""Fairbanks North Star, (AK)""",0,"0 (2280)"
02100,"""Haines, (AK)""",0,"0 (2280)"
02105,"""Hoonah-Angoon, (AK)""",0,"0 (2280)"
02110,"""Juneau, (AK)""",0,"0 (2280)"
02122,"""Kenai Peninsula, (AK)""",1,"1 (590)"
02130,"""Ketchikan Gateway, (AK)""",0,"0 (2280)"
02150,"""Kodiak Island, (AK)""",0,"0 (2280)"
02164,"""Lake and Peninsula, (AK)""",0,"0 (2280)"
02170,"""Matanuska-Susitna, (AK)""",0,"0 (2280)"
02180,"""Nome, (AK)""",0,"0 (2280)"
02185,"""North Slope, (AK)""",0,"0 (2280)"
02188,"""Northwest Arctic, (AK)""",0,"0 (2280)"
02195,"""Petersburg, (AK)""",0,"0 (2280)"
02198,"""Prince of Wales-Hyder, (AK)""",0,"0 (2280)"
02220,"""Sitka, (AK)""",0,"0 (2280)"
02230,"""Skagway, (AK)""",0,"0 (2280)"
02240,"""Southeast Fairbanks, (AK)""",0,"0 (2280)"
02261,"""Valdez-Cordova, (AK)""",0,"0 (2280)"
02158,"""Kusilvak, (AK)""",0,"0 (2280)"
02275,"""Wrangell, (AK)""",0,"0 (2280)"
02282,"""Yakutat, (AK)""",0,"0 (2280)"
02290,"""Yukon-Koyukuk, (AK)""",0,"0 (2280)"
06001,"""Alameda, (CA)""",7,"4+ (120)"
06005,"""Amador, (CA)""",0,"0 (2280)"
06007,"""Butte, (CA)""",2,"2 - 3 (234)"
06009,"""Calaveras, (CA)""",0,"0 (2280)"
06011,"""Colusa, (CA)""",0,"0 (2280)"
06013,"""Contra Costa, (CA)""",5,"4+ (120)"
06015,"""Del Norte, (CA)""",0,"0 (2280)"
06017,"""El Dorado, (CA)""",1,"1 (590)"
06021,"""Glenn, (CA)""",0,"0 (2280)"
06023,"""Humboldt, (CA)""",1,"1 (590)"
06031,"""Kings, (CA)""",0,"0 (2280)"
06033,"""Lake, (CA)""",0,"0 (2280)"
06035,"""Lassen, (CA)""",0,"0 (2280)"
06041,"""Marin, (CA)""",2,"2 - 3 (234)"
06043,"""Mariposa, (CA)""",0,"0 (2280)"
06045,"""Mendocino, (CA)""",0,"0 (2280)"
06047,"""Merced, (CA)""",2,"2 - 3 (234)"
06049,"""Modoc, (CA)""",0,"0 (2280)"
06053,"""Monterey, (CA)""",3,"2 - 3 (234)"
06055,"""Napa, (CA)""",2,"2 - 3 (234)"
06057,"""Nevada, (CA)""",0,"0 (2280)"
06061,"""Placer, (CA)""",1,"1 (590)"
06063,"""Plumas, (CA)""",0,"0 (2280)"
