"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",-1,
02016,"""Aleutians West, (AK)""",2.9,"2.5 - 3.5 (546)"
02020,"""Anchorage, (AK)""",0.9,"0.2 - 1.3 (704)"
02050,"""Bethel, (AK)""",1,"0.2 - 1.3 (704)"
02060,"""Bristol Bay, (AK)""",-1,
02068,"""Denali, (AK)""",-1,
02070,"""Dillingham, (AK)""",0.4,"0.2 - 1.3 (704)"
02090,"""Fairbanks North Star, (AK)""",1.2,"0.2 - 1.3 (704)"
02100,"""Haines, (AK)""",0.4,"0.2 - 1.3 (704)"
02105,"""Hoonah-Angoon, (AK)""",-1,
02110,"""Juneau, (AK)""",0.8,"0.2 - 1.3 (704)"
02122,"""Kenai Peninsula, (AK)""",1.3,"0.2 - 1.3 (704)"
02130,"""Ketchikan Gateway, (AK)""",0.9,"0.2 - 1.3 (704)"
02150,"""Kodiak Island, (AK)""",0.9,"0.2 - 1.3 (704)"
02164,"""Lake and Peninsula, (AK)""",-1,
02170,"""Matanuska-Susitna, (AK)""",2,"1.9 - 2.4 (597)"
02180,"""Nome, (AK)""",1,"0.2 - 1.3 (704)"
02185,"""North Slope, (AK)""",4.9,"3.6 - 28.5 (583)"
02188,"""Northwest Arctic, (AK)""",1.3,"0.2 - 1.3 (704)"
02195,"""Petersburg, (AK)""",0.5,"0.2 - 1.3 (704)"
02198,"""Prince of Wales-Hyder, (AK)""",1.1,"0.2 - 1.3 (704)"
02220,"""Sitka, (AK)""",0.5,"0.2 - 1.3 (704)"
02230,"""Skagway, (AK)""",-1,
02240,"""Southeast Fairbanks, (AK)""",1.2,"0.2 - 1.3 (704)"
02261,"""Valdez-Cordova, (AK)""",0.8,"0.2 - 1.3 (704)"
02158,"""Kusilvak, (AK)""",-1,
02275,"""Wrangell, (AK)""",0.8,"0.2 - 1.3 (704)"
02282,"""Yakutat, (AK)""",-1,
02290,"""Yukon-Koyukuk, (AK)""",5.3,"3.6 - 28.5 (583)"
06001,"""Alameda, (CA)""",0.9,"0.2 - 1.3 (704)"
06005,"""Amador, (CA)""",1.6,"1.4 - 1.8 (570)"
06007,"""Butte, (CA)""",1.7,"1.4 - 1.8 (570)"
06009,"""Calaveras, (CA)""",2.4,"1.9 - 2.4 (597)"
06011,"""Colusa, (CA)""",3.6,"3.6 - 28.5 (583)"
06013,"""Contra Costa, (CA)""",1,"0.2 - 1.3 (704)"
06015,"""Del Norte, (CA)""",1.6,"1.4 - 1.8 (570)"
06017,"""El Dorado, (CA)""",1.3,"0.2 - 1.3 (704)"
06021,"""Glenn, (CA)""",7,"3.6 - 28.5 (583)"
06023,"""Humboldt, (CA)""",1.6,"1.4 - 1.8 (570)"
06031,"""Kings, (CA)""",2.7,"2.5 - 3.5 (546)"
06033,"""Lake, (CA)""",2.3,"1.9 - 2.4 (597)"
06035,"""Lassen, (CA)""",3.4,"2.5 - 3.5 (546)"
06041,"""Marin, (CA)""",0.7,"0.2 - 1.3 (704)"
06043,"""Mariposa, (CA)""",3.5,"2.5 - 3.5 (546)"
06045,"""Mendocino, (CA)""",1.1,"0.2 - 1.3 (704)"
06047,"""Merced, (CA)""",2.2,"1.9 - 2.4 (597)"
06049,"""Modoc, (CA)""",1.5,"1.4 - 1.8 (570)"
06053,"""Monterey, (CA)""",1.6,"1.4 - 1.8 (570)"
06055,"""Napa, (CA)""",1.1,"0.2 - 1.3 (704)"
06057,"""Nevada, (CA)""",1.4,"1.4 - 1.8 (570)"
06061,"""Placer, (CA)""",0.8,"0.2 - 1.3 (704)"
06063,"""Plumas, (CA)""",1.3,"0.2 - 1.3 (704)"
06067,"""Sacramento, (CA)""",1.2,"0.2 - 1.3 (704)"
06069,"""San Benito, (CA)""",3.4,"2.5 - 3.5 (546)"
06075,"""San Francisco, (CA)""",0.6,"0.2 - 1.3 (704)"
06077,"""San Joaquin, (CA)""",1.7,"1.4 - 1.8 (570)"
06079,"""San Luis Obispo, (CA)""",1.2,"0.2 - 1.3 (704)"
06081,"""San Mateo, (CA)""",1,"0.2 - 1.3 (704)"
06083,"""Santa Barbara, (CA)""",1.3,"0.2 - 1.3 (704)"
06085,"""Santa Clara, (CA)""",1,"0.2 - 1.3 (704)"
06087,"""Santa Cruz, (CA)""",1,"0.2 - 1.3 (704)"
06089,"""Shasta, (CA)""",1.3,"0.2 - 1.3 (704)"
06091,"""Sierra, (CA)""",3,"2.5 - 3.5 (546)"
06093,"""Siskiyou, (CA)""",1.4,"1.4 - 1.8 (570)"
06095,"""Solano, (CA)""",1.2,"0.2 - 1.3 (704)"
06097,"""Sonoma, (CA)""",1,"0.2 - 1.3 (704)"
06099,"""Stanislaus, (CA)""",1.5,"1.4 - 1.8 (570)"
06101,"""Sutter, (CA)""",1.3,"0.2 - 1.3 (704)"
06103,"""Tehama, (CA)""",2.1,"1.9 - 2.4 (597)"
06105,"""Trinity, (CA)""",4.2,"3.6 - 28.5 (583)"
06109,"""Tuolumne, (CA)""",1.3,"0.2 - 1.3 (704)"
06113,"""Yolo, (CA)""",0.8,"0.2 - 1.3 (704)"
06115,"""Yuba, (CA)""",4.3,"3.6 - 28.5 (583)"
