"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",6.3,"3.5 - 7.1 (648)"
02016,"""Aleutians West, (AK)""",5.3,"3.5 - 7.1 (648)"
02020,"""Anchorage, (AK)""",5.1,"3.5 - 7.1 (648)"
02050,"""Bethel, (AK)""",9.1,"9.1 - 10.1 (658)"
02060,"""Bristol Bay, (AK)""",7.3,"7.2 - 8.2 (665)"
02068,"""Denali, (AK)""",6.1,"3.5 - 7.1 (648)"
02070,"""Dillingham, (AK)""",8.3,"8.3 - 9.0 (580)"
02090,"""Fairbanks North Star, (AK)""",4.8,"3.5 - 7.1 (648)"
02100,"""Haines, (AK)""",7.5,"7.2 - 8.2 (665)"
02105,"""Hoonah-Angoon, (AK)""",9.7,"9.1 - 10.1 (658)"
02110,"""Juneau, (AK)""",5.5,"3.5 - 7.1 (648)"
02122,"""Kenai Peninsula, (AK)""",7.4,"7.2 - 8.2 (665)"
02130,"""Ketchikan Gateway, (AK)""",6.8,"3.5 - 7.1 (648)"
02150,"""Kodiak Island, (AK)""",5.3,"3.5 - 7.1 (648)"
02164,"""Lake and Peninsula, (AK)""",8.6,"8.3 - 9.0 (580)"
02170,"""Matanuska-Susitna, (AK)""",5.9,"3.5 - 7.1 (648)"
02180,"""Nome, (AK)""",8.2,"7.2 - 8.2 (665)"
02185,"""North Slope, (AK)""",6.5,"3.5 - 7.1 (648)"
02188,"""Northwest Arctic, (AK)""",8.7,"8.3 - 9.0 (580)"
02195,"""Petersburg, (AK)""",7.4,"7.2 - 8.2 (665)"
02198,"""Prince of Wales-Hyder, (AK)""",9.2,"9.1 - 10.1 (658)"
02220,"""Sitka, (AK)""",6.3,"3.5 - 7.1 (648)"
02230,"""Skagway, (AK)""",5.4,"3.5 - 7.1 (648)"
02240,"""Southeast Fairbanks, (AK)""",7.2,"7.2 - 8.2 (665)"
02261,"""Valdez-Cordova, (AK)""",6.4,"3.5 - 7.1 (648)"
02158,"""Kusilvak, (AK)""",10.7,"10.2 - 15.0 (591)"
02275,"""Wrangell, (AK)""",9.1,"9.1 - 10.1 (658)"
02282,"""Yakutat, (AK)""",9.1,"9.1 - 10.1 (658)"
02290,"""Yukon-Koyukuk, (AK)""",10.6,"10.2 - 15.0 (591)"
06001,"""Alameda, (CA)""",4.7,"3.5 - 7.1 (648)"
