cnty_fips,display_name,Value,theme_range
2013,"""Aleutians East, (AK)""",33.2,21.2 - 34.2 (646)
2016,"""Aleutians West, (AK)""",32.8,21.2 - 34.2 (646)
2020,"""Anchorage, (AK)""",32.1,21.2 - 34.2 (646)
2050,"""Bethel, (AK)""",31.9,21.2 - 34.2 (646)
2060,"""Bristol Bay, (AK)""",34.7,34.3 - 36.5 (611)
2068,"""Denali, (AK)""",33.5,21.2 - 34.2 (646)
2070,"""Dillingham, (AK)""",31.7,21.2 - 34.2 (646)
2090,"""Fairbanks North Star, (AK)""",31.6,21.2 - 34.2 (646)
2100,"""Haines, (AK)""",37.5,36.6 - 38.3 (667)
2105,"""Hoonah-Angoon, (AK)""",39.1,38.4 - 40.1 (599)
2110,"""Juneau, (AK)""",31.4,21.2 - 34.2 (646)
2122,"""Kenai Peninsula, (AK)""",35.1,34.3 - 36.5 (611)
2130,"""Ketchikan Gateway, (AK)""",34.8,34.3 - 36.5 (611)
2150,"""Kodiak Island, (AK)""",32.1,21.2 - 34.2 (646)
2164,"""Lake and Peninsula, (AK)""",34.4,34.3 - 36.5 (611)
2170,"""Matanuska-Susitna, (AK)""",32.3,21.2 - 34.2 (646)
2180,"""Nome, (AK)""",31.9,21.2 - 34.2 (646)
2185,"""North Slope, (AK)""",31.9,21.2 - 34.2 (646)
2188,"""Northwest Arctic, (AK)""",31.2,21.2 - 34.2 (646)
2195,"""Petersburg, (AK)""",36,34.3 - 36.5 (611)
2198,"""Prince of Wales-Hyder, (AK)""",36.8,36.6 - 38.3 (667)
2220,"""Sitka, (AK)""",33.1,21.2 - 34.2 (646)
2230,"""Skagway, (AK)""",33,21.2 - 34.2 (646)
2240,"""Southeast Fairbanks, (AK)""",35.8,34.3 - 36.5 (611)
2261,"""Valdez-Cordova, (AK)""",34,21.2 - 34.2 (646)
2158,"""Kusilvak, (AK)""",33.3,21.2 - 34.2 (646)
2275,"""Wrangell, (AK)""",39.6,38.4 - 40.1 (599)
2282,"""Yakutat, (AK)""",36.2,34.3 - 36.5 (611)
2290,"""Yukon-Koyukuk, (AK)""",35.7,34.3 - 36.5 (611)
6001,"""Alameda, (CA)""",28.4,21.2 - 34.2 (646)
6005,"""Amador, (CA)""",37,36.6 - 38.3 (667)
6007,"""Butte, (CA)""",33.9,21.2 - 34.2 (646)
6009,"""Calaveras, (CA)""",38.5,38.4 - 40.1 (599)
6011,"""Colusa, (CA)""",33.9,21.2 - 34.2 (646)
6013,"""Contra Costa, (CA)""",30.7,21.2 - 34.2 (646)
6015,"""Del Norte, (CA)""",35.7,34.3 - 36.5 (611)
6017,"""El Dorado, (CA)""",36,34.3 - 36.5 (611)
6021,"""Glenn, (CA)""",35.2,34.3 - 36.5 (611)
6023,"""Humboldt, (CA)""",33.7,21.2 - 34.2 (646)
6031,"""Kings, (CA)""",31.3,21.2 - 34.2 (646)
6033,"""Lake, (CA)""",38,36.6 - 38.3 (667)
6035,"""Lassen, (CA)""",32.1,21.2 - 34.2 (646)
6041,"""Marin, (CA)""",34.7,34.3 - 36.5 (611)
6043,"""Mariposa, (CA)""",38.3,36.6 - 38.3 (667)
6045,"""Mendocino, (CA)""",36.5,34.3 - 36.5 (611)
6047,"""Merced, (CA)""",32.6,21.2 - 34.2 (646)
6049,"""Modoc, (CA)""",39.4,38.4 - 40.1 (599)
6053,"""Monterey, (CA)""",33,21.2 - 34.2 (646)
6055,"""Napa, (CA)""",33.9,21.2 - 34.2 (646)
6057,"""Nevada, (CA)""",37.8,36.6 - 38.3 (667)
6061,"""Placer, (CA)""",34.2,21.2 - 34.2 (646)
6063,"""Plumas, (CA)""",38.8,38.4 - 40.1 (599)
6067,"""Sacramento, (CA)""",31.4,21.2 - 34.2 (646)
6069,"""San Benito, (CA)""",32.1,21.2 - 34.2 (646)
6075,"""San Francisco, (CA)""",29.6,21.2 - 34.2 (646)
6077,"""San Joaquin, (CA)""",33.2,21.2 - 34.2 (646)
6079,"""San Luis Obispo, (CA)""",32.1,21.2 - 34.2 (646)
6081,"""San Mateo, (CA)""",30.3,21.2 - 34.2 (646)
6083,"""Santa Barbara, (CA)""",31.5,21.2 - 34.2 (646)
6085,"""Santa Clara, (CA)""",29.8,21.2 - 34.2 (646)
