"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",26.7,"26.6 - 30.3 (611)"
02016,"""Aleutians West, (AK)""",27.2,"26.6 - 30.3 (611)"
02020,"""Anchorage, (AK)""",17,"8.8 - 20.4 (629)"
02050,"""Bethel, (AK)""",28.1,"26.6 - 30.3 (611)"
02060,"""Bristol Bay, (AK)""",26.8,"26.6 - 30.3 (611)"
02068,"""Denali, (AK)""",20.7,"20.5 - 23.6 (642)"
02070,"""Dillingham, (AK)""",25.6,"23.7 - 26.5 (632)"
02090,"""Fairbanks North Star, (AK)""",18.6,"8.8 - 20.4 (629)"
02100,"""Haines, (AK)""",17.7,"8.8 - 20.4 (629)"
02105,"""Hoonah-Angoon, (AK)""",14.5,"8.8 - 20.4 (629)"
02110,"""Juneau, (AK)""",17.6,"8.8 - 20.4 (629)"
02122,"""Kenai Peninsula, (AK)""",19.9,"8.8 - 20.4 (629)"
02130,"""Ketchikan Gateway, (AK)""",19.2,"8.8 - 20.4 (629)"
02150,"""Kodiak Island, (AK)""",24.8,"23.7 - 26.5 (632)"
02164,"""Lake and Peninsula, (AK)""",26.6,"26.6 - 30.3 (611)"
02170,"""Matanuska-Susitna, (AK)""",19.8,"8.8 - 20.4 (629)"
02180,"""Nome, (AK)""",19.9,"8.8 - 20.4 (629)"
02185,"""North Slope, (AK)""",33.6,"30.4 - 49.8 (628)"
02188,"""Northwest Arctic, (AK)""",24.4,"23.7 - 26.5 (632)"
02195,"""Petersburg, (AK)""",22.1,"20.5 - 23.6 (642)"
02198,"""Prince of Wales-Hyder, (AK)""",18.1,"8.8 - 20.4 (629)"
02220,"""Sitka, (AK)""",17.6,"8.8 - 20.4 (629)"
02230,"""Skagway, (AK)""",17,"8.8 - 20.4 (629)"
02240,"""Southeast Fairbanks, (AK)""",18.8,"8.8 - 20.4 (629)"
02261,"""Valdez-Cordova, (AK)""",21.5,"20.5 - 23.6 (642)"
02158,"""Kusilvak, (AK)""",27.3,"26.6 - 30.3 (611)"
02275,"""Wrangell, (AK)""",25.8,"23.7 - 26.5 (632)"
02282,"""Yakutat, (AK)""",31.5,"30.4 - 49.8 (628)"
02290,"""Yukon-Koyukuk, (AK)""",24.4,"23.7 - 26.5 (632)"
06001,"""Alameda, (CA)""",14.5,"8.8 - 20.4 (629)"
06005,"""Amador, (CA)""",21.2,"20.5 - 23.6 (642)"
06007,"""Butte, (CA)""",22.2,"20.5 - 23.6 (642)"
06009,"""Calaveras, (CA)""",24,"23.7 - 26.5 (632)"
06011,"""Colusa, (CA)""",25.7,"23.7 - 26.5 (632)"
06013,"""Contra Costa, (CA)""",15.8,"8.8 - 20.4 (629)"
06015,"""Del Norte, (CA)""",32.7,"30.4 - 49.8 (628)"
06017,"""El Dorado, (CA)""",17,"8.8 - 20.4 (629)"
06021,"""Glenn, (CA)""",20.8,"20.5 - 23.6 (642)"
06023,"""Humboldt, (CA)""",15.6,"8.8 - 20.4 (629)"
06031,"""Kings, (CA)""",24.7,"23.7 - 26.5 (632)"
06033,"""Lake, (CA)""",21.2,"20.5 - 23.6 (642)"
06035,"""Lassen, (CA)""",33.4,"30.4 - 49.8 (628)"
06041,"""Marin, (CA)""",12.3,"8.8 - 20.4 (629)"
06043,"""Mariposa, (CA)""",15.7,"8.8 - 20.4 (629)"
06045,"""Mendocino, (CA)""",15.3,"8.8 - 20.4 (629)"
06047,"""Merced, (CA)""",27.4,"26.6 - 30.3 (611)"
06049,"""Modoc, (CA)""",21.5,"20.5 - 23.6 (642)"
06053,"""Monterey, (CA)""",18.9,"8.8 - 20.4 (629)"
06055,"""Napa, (CA)""",16.7,"8.8 - 20.4 (629)"
06057,"""Nevada, (CA)""",11.6,"8.8 - 20.4 (629)"
06061,"""Placer, (CA)""",12.8,"8.8 - 20.4 (629)"
06063,"""Plumas, (CA)""",20.7,"20.5 - 23.6 (642)"
06067,"""Sacramento, (CA)""",19.6,"8.8 - 20.4 (629)"
06069,"""San Benito, (CA)""",25.4,"23.7 - 26.5 (632)"
06075,"""San Francisco, (CA)""",14.6,"8.8 - 20.4 (629)"
06077,"""San Joaquin, (CA)""",25.4,"23.7 - 26.5 (632)"
06079,"""San Luis Obispo, (CA)""",14.9,"8.8 - 20.4 (629)"
06081,"""San Mateo, (CA)""",15.2,"8.8 - 20.4 (629)"
06083,"""Santa Barbara, (CA)""",13.7,"8.8 - 20.4 (629)"
06085,"""Santa Clara, (CA)""",15.7,"8.8 - 20.4 (629)"
06087,"""Santa Cruz, (CA)""",10.7,"8.8 - 20.4 (629)"
06089,"""Shasta, (CA)""",15.8,"8.8 - 20.4 (629)"
06091,"""Sierra, (CA)""",22.2,"20.5 - 23.6 (642)"
06093,"""Siskiyou, (CA)""",23.4,"20.5 - 23.6 (642)"
06095,"""Solano, (CA)""",21.9,"20.5 - 23.6 (642)"
06097,"""Sonoma, (CA)""",15.1,"8.8 - 20.4 (629)"
06099,"""Stanislaus, (CA)""",22.9,"20.5 - 23.6 (642)"
06101,"""Sutter, (CA)""",28.7,"26.6 - 30.3 (611)"
06103,"""Tehama, (CA)""",27,"26.6 - 30.3 (611)"
06105,"""Trinity, (CA)""",19,"8.8 - 20.4 (629)"
06109,"""Tuolumne, (CA)""",21,"20.5 - 23.6 (642)"
06113,"""Yolo, (CA)""",14.8,"8.8 - 20.4 (629)"
06115,"""Yuba, (CA)""",31.6,"30.4 - 49.8 (628)"
15001,"""Hawaii, (HI)""",19.4,"8.8 - 20.4 (629)"
15003,"""Honolulu, (HI)""",19.6,"8.8 - 20.4 (629)"
15005,"""Kalawao, (HI)""",17.8,"8.8 - 20.4 (629)"
15007,"""Kauai, (HI)""",18,"8.8 - 20.4 (629)"
15009,"""Maui, (HI)""",17.2,"8.8 - 20.4 (629)"
41003,"""Benton, (OR)""",13.8,"8.8 - 20.4 (629)"
41005,"""Clackamas, (OR)""",15.1,"8.8 - 20.4 (629)"
41007,"""Clatsop, (OR)""",19.4,"8.8 - 20.4 (629)"
41009,"""Columbia, (OR)""",21.4,"20.5 - 23.6 (642)"
41011,"""Coos, (OR)""",23,"20.5 - 23.6 (642)"
41013,"""Crook, (OR)""",20.7,"20.5 - 23.6 (642)"
41015,"""Curry, (OR)""",23.5,"20.5 - 23.6 (642)"
41017,"""Deschutes, (OR)""",14.4,"8.8 - 20.4 (629)"
41019,"""Douglas, (OR)""",19,"8.8 - 20.4 (629)"
41021,"""Gilliam, (OR)""",23.6,"20.5 - 23.6 (642)"
41027,"""Hood River, (OR)""",18.4,"8.8 - 20.4 (629)"
41029,"""Jackson, (OR)""",14.8,"8.8 - 20.4 (629)"
41031,"""Jefferson, (OR)""",24.3,"23.7 - 26.5 (632)"
41033,"""Josephine, (OR)""",20,"8.8 - 20.4 (629)"
41035,"""Klamath, (OR)""",21.8,"20.5 - 23.6 (642)"
41037,"""Lake, (OR)""",20.4,"8.8 - 20.4 (629)"
41039,"""Lane, (OR)""",15.7,"8.8 - 20.4 (629)"
41041,"""Lincoln, (OR)""",22.2,"20.5 - 23.6 (642)"
41043,"""Linn, (OR)""",20.7,"20.5 - 23.6 (642)"
41047,"""Marion, (OR)""",17.9,"8.8 - 20.4 (629)"
41051,"""Multnomah, (OR)""",14.2,"8.8 - 20.4 (629)"
41053,"""Polk, (OR)""",18.1,"8.8 - 20.4 (629)"
41055,"""Sherman, (OR)""",25.9,"23.7 - 26.5 (632)"
41057,"""Tillamook, (OR)""",25.9,"23.7 - 26.5 (632)"
41065,"""Wasco, (OR)""",22.2,"20.5 - 23.6 (642)"
41067,"""Washington, (OR)""",14.2,"8.8 - 20.4 (629)"
41069,"""Wheeler, (OR)""",22.8,"20.5 - 23.6 (642)"
41071,"""Yamhill, (OR)""",22.8,"20.5 - 23.6 (642)"
53007,"""Chelan, (WA)""",19.2,"8.8 - 20.4 (629)"
53009,"""Clallam, (WA)""",18.8,"8.8 - 20.4 (629)"
53011,"""Clark, (WA)""",15.4,"8.8 - 20.4 (629)"
53015,"""Cowlitz, (WA)""",20.6,"20.5 - 23.6 (642)"
53027,"""Grays Harbor, (WA)""",22.9,"20.5 - 23.6 (642)"
53029,"""Island, (WA)""",15.4,"8.8 - 20.4 (629)"
53031,"""Jefferson, (WA)""",9.2,"8.8 - 20.4 (629)"
53033,"""King, (WA)""",13.1,"8.8 - 20.4 (629)"
53035,"""Kitsap, (WA)""",16.9,"8.8 - 20.4 (629)"
53037,"""Kittitas, (WA)""",20.7,"20.5 - 23.6 (642)"
53039,"""Klickitat, (WA)""",15.8,"8.8 - 20.4 (629)"
53041,"""Lewis, (WA)""",22.3,"20.5 - 23.6 (642)"
53045,"""Mason, (WA)""",20.7,"20.5 - 23.6 (642)"
53047,"""Okanogan, (WA)""",20.9,"20.5 - 23.6 (642)"
53049,"""Pacific, (WA)""",22.8,"20.5 - 23.6 (642)"
53053,"""Pierce, (WA)""",18.1,"8.8 - 20.4 (629)"
53055,"""San Juan, (WA)""",11.5,"8.8 - 20.4 (629)"
53057,"""Skagit, (WA)""",15.6,"8.8 - 20.4 (629)"
53059,"""Skamania, (WA)""",17.5,"8.8 - 20.4 (629)"
53061,"""Snohomish, (WA)""",17,"8.8 - 20.4 (629)"
53067,"""Thurston, (WA)""",14,"8.8 - 20.4 (629)"
53069,"""Wahkiakum, (WA)""",19.7,"8.8 - 20.4 (629)"
53073,"""Whatcom, (WA)""",12.2,"8.8 - 20.4 (629)"
53077,"""Yakima, (WA)""",20.5,"20.5 - 23.6 (642)"
04001,"""Apache, (AZ)""",25,"23.7 - 26.5 (632)"
04003,"""Cochise, (AZ)""",22.6,"20.5 - 23.6 (642)"
04005,"""Coconino, (AZ)""",16.6,"8.8 - 20.4 (629)"
04007,"""Gila, (AZ)""",23.9,"23.7 - 26.5 (632)"
04009,"""Graham, (AZ)""",22.6,"20.5 - 23.6 (642)"
04011,"""Greenlee, (AZ)""",18.7,"8.8 - 20.4 (629)"
04012,"""La Paz, (AZ)""",35.2,"30.4 - 49.8 (628)"
04013,"""Maricopa, (AZ)""",19.3,"8.8 - 20.4 (629)"
04015,"""Mohave, (AZ)""",29.4,"26.6 - 30.3 (611)"
04017,"""Navajo, (AZ)""",25.8,"23.7 - 26.5 (632)"
04019,"""Pima, (AZ)""",18.4,"8.8 - 20.4 (629)"
04021,"""Pinal, (AZ)""",27.4,"26.6 - 30.3 (611)"
04023,"""Santa Cruz, (AZ)""",16.8,"8.8 - 20.4 (629)"
04025,"""Yavapai, (AZ)""",20,"8.8 - 20.4 (629)"
04027,"""Yuma, (AZ)""",23.4,"20.5 - 23.6 (642)"
06003,"""Alpine, (CA)""",17.7,"8.8 - 20.4 (629)"
