"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",9.4,"3.2 - 15.2 (656)"
02016,"""Aleutians West, (AK)""",6.1,"3.2 - 15.2 (656)"
02020,"""Anchorage, (AK)""",10.5,"3.2 - 15.2 (656)"
02050,"""Bethel, (AK)""",7.2,"3.2 - 15.2 (656)"
02060,"""Bristol Bay, (AK)""",9.9,"3.2 - 15.2 (656)"
02068,"""Denali, (AK)""",9.3,"3.2 - 15.2 (656)"
02070,"""Dillingham, (AK)""",10.1,"3.2 - 15.2 (656)"
02090,"""Fairbanks North Star, (AK)""",9.8,"3.2 - 15.2 (656)"
02100,"""Haines, (AK)""",25.1,"22.1 - 56.7 (636)"
02105,"""Hoonah-Angoon, (AK)""",20.5,"19.5 - 22.0 (652)"
02110,"""Juneau, (AK)""",12.5,"3.2 - 15.2 (656)"
02122,"""Kenai Peninsula, (AK)""",16.5,"15.3 - 17.5 (659)"
02130,"""Ketchikan Gateway, (AK)""",14.9,"3.2 - 15.2 (656)"
02150,"""Kodiak Island, (AK)""",9.8,"3.2 - 15.2 (656)"
02164,"""Lake and Peninsula, (AK)""",7.8,"3.2 - 15.2 (656)"
02170,"""Matanuska-Susitna, (AK)""",11.3,"3.2 - 15.2 (656)"
02180,"""Nome, (AK)""",7,"3.2 - 15.2 (656)"
02185,"""North Slope, (AK)""",6.9,"3.2 - 15.2 (656)"
02188,"""Northwest Arctic, (AK)""",7.5,"3.2 - 15.2 (656)"
02195,"""Petersburg, (AK)""",22,"19.5 - 22.0 (652)"
02198,"""Prince of Wales-Hyder, (AK)""",16,"15.3 - 17.5 (659)"
02220,"""Sitka, (AK)""",15.2,"3.2 - 15.2 (656)"
02230,"""Skagway, (AK)""",11.7,"3.2 - 15.2 (656)"
02240,"""Southeast Fairbanks, (AK)""",13.6,"3.2 - 15.2 (656)"
02261,"""Valdez-Cordova, (AK)""",12.3,"3.2 - 15.2 (656)"
02158,"""Kusilvak, (AK)""",5.5,"3.2 - 15.2 (656)"
02275,"""Wrangell, (AK)""",22.7,"22.1 - 56.7 (636)"
02282,"""Yakutat, (AK)""",14.5,"3.2 - 15.2 (656)"
02290,"""Yukon-Koyukuk, (AK)""",14.3,"3.2 - 15.2 (656)"
06001,"""Alameda, (CA)""",13.5,"3.2 - 15.2 (656)"
06005,"""Amador, (CA)""",26.7,"22.1 - 56.7 (636)"
06007,"""Butte, (CA)""",18,"17.6 - 19.4 (617)"
06009,"""Calaveras, (CA)""",27.5,"22.1 - 56.7 (636)"
06011,"""Colusa, (CA)""",14.4,"3.2 - 15.2 (656)"
06013,"""Contra Costa, (CA)""",15.4,"15.3 - 17.5 (659)"
06015,"""Del Norte, (CA)""",17.2,"15.3 - 17.5 (659)"
06017,"""El Dorado, (CA)""",20.5,"19.5 - 22.0 (652)"
06021,"""Glenn, (CA)""",15.9,"15.3 - 17.5 (659)"
06023,"""Humboldt, (CA)""",17.3,"15.3 - 17.5 (659)"
06031,"""Kings, (CA)""",10,"3.2 - 15.2 (656)"
06033,"""Lake, (CA)""",22.3,"22.1 - 56.7 (636)"
06035,"""Lassen, (CA)""",14.2,"3.2 - 15.2 (656)"
06041,"""Marin, (CA)""",21.6,"19.5 - 22.0 (652)"
06043,"""Mariposa, (CA)""",27.5,"22.1 - 56.7 (636)"
06045,"""Mendocino, (CA)""",21.2,"19.5 - 22.0 (652)"
06047,"""Merced, (CA)""",11,"3.2 - 15.2 (656)"
06049,"""Modoc, (CA)""",27,"22.1 - 56.7 (636)"
06053,"""Monterey, (CA)""",13.2,"3.2 - 15.2 (656)"
06055,"""Napa, (CA)""",18.6,"17.6 - 19.4 (617)"
06057,"""Nevada, (CA)""",26.5,"22.1 - 56.7 (636)"
06061,"""Placer, (CA)""",19.1,"17.6 - 19.4 (617)"
06063,"""Plumas, (CA)""",27.1,"22.1 - 56.7 (636)"
06067,"""Sacramento, (CA)""",13.7,"3.2 - 15.2 (656)"
06069,"""San Benito, (CA)""",12.5,"3.2 - 15.2 (656)"
06075,"""San Francisco, (CA)""",15.4,"15.3 - 17.5 (659)"
06077,"""San Joaquin, (CA)""",12.5,"3.2 - 15.2 (656)"
06079,"""San Luis Obispo, (CA)""",19.4,"17.6 - 19.4 (617)"
06081,"""San Mateo, (CA)""",15.8,"15.3 - 17.5 (659)"
06083,"""Santa Barbara, (CA)""",15,"3.2 - 15.2 (656)"
06085,"""Santa Clara, (CA)""",13.2,"3.2 - 15.2 (656)"
06087,"""Santa Cruz, (CA)""",15.8,"15.3 - 17.5 (659)"
06089,"""Shasta, (CA)""",20.2,"19.5 - 22.0 (652)"
06091,"""Sierra, (CA)""",29.3,"22.1 - 56.7 (636)"
06093,"""Siskiyou, (CA)""",24.7,"22.1 - 56.7 (636)"
06095,"""Solano, (CA)""",15.2,"3.2 - 15.2 (656)"
06097,"""Sonoma, (CA)""",19,"17.6 - 19.4 (617)"
06099,"""Stanislaus, (CA)""",12.8,"3.2 - 15.2 (656)"
06101,"""Sutter, (CA)""",15,"3.2 - 15.2 (656)"
06103,"""Tehama, (CA)""",19.3,"17.6 - 19.4 (617)"
06105,"""Trinity, (CA)""",26.9,"22.1 - 56.7 (636)"
06109,"""Tuolumne, (CA)""",25.6,"22.1 - 56.7 (636)"
06113,"""Yolo, (CA)""",12.1,"3.2 - 15.2 (656)"
06115,"""Yuba, (CA)""",12.3,"3.2 - 15.2 (656)"
15001,"""Hawaii, (HI)""",20.2,"19.5 - 22.0 (652)"
15003,"""Honolulu, (HI)""",17.3,"15.3 - 17.5 (659)"
15005,"""Kalawao, (HI)""",16.7,"15.3 - 17.5 (659)"
15007,"""Kauai, (HI)""",19.3,"17.6 - 19.4 (617)"
15009,"""Maui, (HI)""",17.5,"15.3 - 17.5 (659)"
41003,"""Benton, (OR)""",15.5,"15.3 - 17.5 (659)"
41005,"""Clackamas, (OR)""",17.6,"17.6 - 19.4 (617)"
41007,"""Clatsop, (OR)""",21.4,"19.5 - 22.0 (652)"
41009,"""Columbia, (OR)""",18.3,"17.6 - 19.4 (617)"
41011,"""Coos, (OR)""",25.5,"22.1 - 56.7 (636)"
41013,"""Crook, (OR)""",24.8,"22.1 - 56.7 (636)"
41015,"""Curry, (OR)""",33.7,"22.1 - 56.7 (636)"
41017,"""Deschutes, (OR)""",19.6,"19.5 - 22.0 (652)"
41019,"""Douglas, (OR)""",25.2,"22.1 - 56.7 (636)"
41021,"""Gilliam, (OR)""",25.3,"22.1 - 56.7 (636)"
41027,"""Hood River, (OR)""",15.6,"15.3 - 17.5 (659)"
