"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",45.8,"0.9 - 91.9 (634)"
02016,"""Aleutians West, (AK)""",10.4,"0.9 - 91.9 (634)"
02020,"""Anchorage, (AK)""",7.3,"0.9 - 91.9 (634)"
02050,"""Bethel, (AK)""",82.4,"0.9 - 91.9 (634)"
02060,"""Bristol Bay, (AK)""",34.1,"0.9 - 91.9 (634)"
02068,"""Denali, (AK)""",2.1,"0.9 - 91.9 (634)"
02070,"""Dillingham, (AK)""",70.9,"0.9 - 91.9 (634)"
02090,"""Fairbanks North Star, (AK)""",7.2,"0.9 - 91.9 (634)"
02100,"""Haines, (AK)""",8.6,"0.9 - 91.9 (634)"
02105,"""Hoonah-Angoon, (AK)""",35.9,"0.9 - 91.9 (634)"
02110,"""Juneau, (AK)""",10.2,"0.9 - 91.9 (634)"
02122,"""Kenai Peninsula, (AK)""",7.7,"0.9 - 91.9 (634)"
02130,"""Ketchikan Gateway, (AK)""",13.4,"0.9 - 91.9 (634)"
02150,"""Kodiak Island, (AK)""",11.9,"0.9 - 91.9 (634)"
02164,"""Lake and Peninsula, (AK)""",69.7,"0.9 - 91.9 (634)"
02170,"""Matanuska-Susitna, (AK)""",6,"0.9 - 91.9 (634)"
02180,"""Nome, (AK)""",74.3,"0.9 - 91.9 (634)"
02185,"""North Slope, (AK)""",50.8,"0.9 - 91.9 (634)"
02188,"""Northwest Arctic, (AK)""",82,"0.9 - 91.9 (634)"
02195,"""Petersburg, (AK)""",7.3,"0.9 - 91.9 (634)"
02198,"""Prince of Wales-Hyder, (AK)""",38.4,"0.9 - 91.9 (634)"
02220,"""Sitka, (AK)""",12.3,"0.9 - 91.9 (634)"
02230,"""Skagway, (AK)""",5,"0.9 - 91.9 (634)"
02240,"""Southeast Fairbanks, (AK)""",13.8,"0.9 - 91.9 (634)"
02261,"""Valdez-Cordova, (AK)""",13.8,"0.9 - 91.9 (634)"
02158,"""Kusilvak, (AK)""",91.9,"0.9 - 91.9 (634)"
02275,"""Wrangell, (AK)""",22.1,"0.9 - 91.9 (634)"
02282,"""Yakutat, (AK)""",36,"0.9 - 91.9 (634)"
02290,"""Yukon-Koyukuk, (AK)""",68.3,"0.9 - 91.9 (634)"
06001,"""Alameda, (CA)""",0.3,"0.2 - 0.3 (767)"
06005,"""Amador, (CA)""",0.6,"0.4 - 0.8 (531)"
06007,"""Butte, (CA)""",0.7,"0.4 - 0.8 (531)"
06009,"""Calaveras, (CA)""",0.4,"0.4 - 0.8 (531)"
06011,"""Colusa, (CA)""",0.6,"0.4 - 0.8 (531)"
06013,"""Contra Costa, (CA)""",0.1,"0.1 - 0.1 (535)"
06015,"""Del Norte, (CA)""",7,"0.9 - 91.9 (634)"
06017,"""El Dorado, (CA)""",0.5,"0.4 - 0.8 (531)"
06021,"""Glenn, (CA)""",1.3,"0.9 - 91.9 (634)"
06023,"""Humboldt, (CA)""",4.6,"0.9 - 91.9 (634)"
06031,"""Kings, (CA)""",0.8,"0.4 - 0.8 (531)"
06033,"""Lake, (CA)""",3,"0.9 - 91.9 (634)"
06035,"""Lassen, (CA)""",2.7,"0.9 - 91.9 (634)"
06041,"""Marin, (CA)""",0.1,"0.1 - 0.1 (535)"
06043,"""Mariposa, (CA)""",1.8,"0.9 - 91.9 (634)"
06045,"""Mendocino, (CA)""",3.3,"0.9 - 91.9 (634)"
06047,"""Merced, (CA)""",0.3,"0.2 - 0.3 (767)"
06049,"""Modoc, (CA)""",4.1,"0.9 - 91.9 (634)"
06053,"""Monterey, (CA)""",0.1,"0.1 - 0.1 (535)"
06055,"""Napa, (CA)""",0.2,"0.2 - 0.3 (767)"
06057,"""Nevada, (CA)""",0.4,"0.4 - 0.8 (531)"
06061,"""Placer, (CA)""",0.3,"0.2 - 0.3 (767)"
06063,"""Plumas, (CA)""",1.4,"0.9 - 91.9 (634)"
06067,"""Sacramento, (CA)""",0.3,"0.2 - 0.3 (767)"
06069,"""San Benito, (CA)""",0.3,"0.2 - 0.3 (767)"
06075,"""San Francisco, (CA)""",0.1,"0.1 - 0.1 (535)"
06077,"""San Joaquin, (CA)""",0.2,"0.2 - 0.3 (767)"
06079,"""San Luis Obispo, (CA)""",0.5,"0.4 - 0.8 (531)"
06081,"""San Mateo, (CA)""",0.1,"0.1 - 0.1 (535)"
06083,"""Santa Barbara, (CA)""",0.3,"0.2 - 0.3 (767)"
06085,"""Santa Clara, (CA)""",0.1,"0.1 - 0.1 (535)"
06087,"""Santa Cruz, (CA)""",0.1,"0.1 - 0.1 (535)"
06089,"""Shasta, (CA)""",2.1,"0.9 - 91.9 (634)"
06091,"""Sierra, (CA)""",0.9,"0.9 - 91.9 (634)"
06093,"""Siskiyou, (CA)""",3.1,"0.9 - 91.9 (634)"
06095,"""Solano, (CA)""",0.2,"0.2 - 0.3 (767)"
06097,"""Sonoma, (CA)""",0.4,"0.4 - 0.8 (531)"
06099,"""Stanislaus, (CA)""",0.4,"0.4 - 0.8 (531)"
06101,"""Sutter, (CA)""",0.6,"0.4 - 0.8 (531)"
