"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",20.6,"1.7 - 48.4 (643)"
02016,"""Aleutians West, (AK)""",42.2,"1.7 - 48.4 (643)"
02020,"""Anchorage, (AK)""",11.8,"1.7 - 48.4 (643)"
02050,"""Bethel, (AK)""",1.2,"0.9 - 1.6 (577)"
02060,"""Bristol Bay, (AK)""",0.4,"0.3 - 0.4 (472)"
02068,"""Denali, (AK)""",2.5,"1.7 - 48.4 (643)"
02070,"""Dillingham, (AK)""",1.4,"0.9 - 1.6 (577)"
02090,"""Fairbanks North Star, (AK)""",3.6,"1.7 - 48.4 (643)"
02100,"""Haines, (AK)""",1.4,"0.9 - 1.6 (577)"
02105,"""Hoonah-Angoon, (AK)""",1.5,"0.9 - 1.6 (577)"
02110,"""Juneau, (AK)""",7.4,"1.7 - 48.4 (643)"
02122,"""Kenai Peninsula, (AK)""",1.9,"1.7 - 48.4 (643)"
02130,"""Ketchikan Gateway, (AK)""",8.1,"1.7 - 48.4 (643)"
02150,"""Kodiak Island, (AK)""",23,"1.7 - 48.4 (643)"
02164,"""Lake and Peninsula, (AK)""",2,"1.7 - 48.4 (643)"
02170,"""Matanuska-Susitna, (AK)""",1.5,"0.9 - 1.6 (577)"
02180,"""Nome, (AK)""",1.6,"0.9 - 1.6 (577)"
02185,"""North Slope, (AK)""",7.2,"1.7 - 48.4 (643)"
02188,"""Northwest Arctic, (AK)""",1.1,"0.9 - 1.6 (577)"
02195,"""Petersburg, (AK)""",5.1,"1.7 - 48.4 (643)"
02198,"""Prince of Wales-Hyder, (AK)""",2,"1.7 - 48.4 (643)"
02220,"""Sitka, (AK)""",6.7,"1.7 - 48.4 (643)"
02230,"""Skagway, (AK)""",0.8,"0.5 - 0.8 (712)"
02240,"""Southeast Fairbanks, (AK)""",2.7,"1.7 - 48.4 (643)"
02261,"""Valdez-Cordova, (AK)""",4.6,"1.7 - 48.4 (643)"
02158,"""Kusilvak, (AK)""",0.1,"0.0 - 0.2 (816)"
02275,"""Wrangell, (AK)""",1,"0.9 - 1.6 (577)"
02282,"""Yakutat, (AK)""",6.1,"1.7 - 48.4 (643)"
02290,"""Yukon-Koyukuk, (AK)""",0.7,"0.5 - 0.8 (712)"
06001,"""Alameda, (CA)""",30,"1.7 - 48.4 (643)"
06005,"""Amador, (CA)""",1.3,"0.9 - 1.6 (577)"
06007,"""Butte, (CA)""",4.6,"1.7 - 48.4 (643)"
06009,"""Calaveras, (CA)""",1.5,"0.9 - 1.6 (577)"
06011,"""Colusa, (CA)""",1.4,"0.9 - 1.6 (577)"
06013,"""Contra Costa, (CA)""",16.9,"1.7 - 48.4 (643)"
06015,"""Del Norte, (CA)""",3.2,"1.7 - 48.4 (643)"
06017,"""El Dorado, (CA)""",4.7,"1.7 - 48.4 (643)"
06021,"""Glenn, (CA)""",2.9,"1.7 - 48.4 (643)"
06023,"""Humboldt, (CA)""",3.3,"1.7 - 48.4 (643)"
06031,"""Kings, (CA)""",3.8,"1.7 - 48.4 (643)"
06033,"""Lake, (CA)""",1.1,"0.9 - 1.6 (577)"
06035,"""Lassen, (CA)""",2.1,"1.7 - 48.4 (643)"
06041,"""Marin, (CA)""",5.9,"1.7 - 48.4 (643)"
06043,"""Mariposa, (CA)""",1.5,"0.9 - 1.6 (577)"
06045,"""Mendocino, (CA)""",2.2,"1.7 - 48.4 (643)"
06047,"""Merced, (CA)""",7.4,"1.7 - 48.4 (643)"
06049,"""Modoc, (CA)""",1.2,"0.9 - 1.6 (577)"
06053,"""Monterey, (CA)""",5.8,"1.7 - 48.4 (643)"
06055,"""Napa, (CA)""",8.2,"1.7 - 48.4 (643)"
06057,"""Nevada, (CA)""",1.1,"0.9 - 1.6 (577)"
