"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",3.2,"1.3 - 3.6 (607)"
02016,"""Aleutians West, (AK)""",3.3,"1.3 - 3.6 (607)"
02020,"""Anchorage, (AK)""",5.2,"3.7 - 13.5 (643)"
02050,"""Bethel, (AK)""",0.7,"0.5 - 1.2 (633)"
02060,"""Bristol Bay, (AK)""",0.5,"0.5 - 1.2 (633)"
02068,"""Denali, (AK)""",1.1,"0.5 - 1.2 (633)"
02070,"""Dillingham, (AK)""",1.5,"1.3 - 3.6 (607)"
02090,"""Fairbanks North Star, (AK)""",4.2,"3.7 - 13.5 (643)"
02100,"""Haines, (AK)""",0,"0.0 - 0.4 (697)"
02105,"""Hoonah-Angoon, (AK)""",3,"1.3 - 3.6 (607)"
02110,"""Juneau, (AK)""",0.9,"0.5 - 1.2 (633)"
02122,"""Kenai Peninsula, (AK)""",0.5,"0.5 - 1.2 (633)"
02130,"""Ketchikan Gateway, (AK)""",0.7,"0.5 - 1.2 (633)"
02150,"""Kodiak Island, (AK)""",0.2,"0.0 - 0.4 (697)"
02164,"""Lake and Peninsula, (AK)""",1.1,"0.5 - 1.2 (633)"
02170,"""Matanuska-Susitna, (AK)""",1.1,"0.5 - 1.2 (633)"
02180,"""Nome, (AK)""",0.8,"0.5 - 1.2 (633)"
02185,"""North Slope, (AK)""",1.4,"1.3 - 3.6 (607)"
02188,"""Northwest Arctic, (AK)""",1,"0.5 - 1.2 (633)"
02195,"""Petersburg, (AK)""",1,"0.5 - 1.2 (633)"
02198,"""Prince of Wales-Hyder, (AK)""",0.4,"0.0 - 0.4 (697)"
02220,"""Sitka, (AK)""",0.7,"0.5 - 1.2 (633)"
02230,"""Skagway, (AK)""",3.3,"1.3 - 3.6 (607)"
02240,"""Southeast Fairbanks, (AK)""",0.3,"0.0 - 0.4 (697)"
02261,"""Valdez-Cordova, (AK)""",0.3,"0.0 - 0.4 (697)"
02158,"""Kusilvak, (AK)""",0,"0.0 - 0.4 (697)"
02275,"""Wrangell, (AK)""",0,"0.0 - 0.4 (697)"
