"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",9,"5.8 - 13.2 (641)"
02016,"""Aleutians West, (AK)""",14,"13.3 - 99.9 (643)"
02020,"""Anchorage, (AK)""",9.1,"5.8 - 13.2 (641)"
02050,"""Bethel, (AK)""",2.5,"2.0 - 3.2 (633)"
02060,"""Bristol Bay, (AK)""",3.6,"3.3 - 5.7 (638)"
02068,"""Denali, (AK)""",0.3,"0.0 - 1.9 (665)"
02070,"""Dillingham, (AK)""",3.7,"3.3 - 5.7 (638)"
02090,"""Fairbanks North Star, (AK)""",8,"5.8 - 13.2 (641)"
02100,"""Haines, (AK)""",4.4,"3.3 - 5.7 (638)"
02105,"""Hoonah-Angoon, (AK)""",6.8,"5.8 - 13.2 (641)"
02110,"""Juneau, (AK)""",6.7,"5.8 - 13.2 (641)"
02122,"""Kenai Peninsula, (AK)""",4.1,"3.3 - 5.7 (638)"
02130,"""Ketchikan Gateway, (AK)""",5.2,"3.3 - 5.7 (638)"
02150,"""Kodiak Island, (AK)""",8.9,"5.8 - 13.2 (641)"
02164,"""Lake and Peninsula, (AK)""",0.1,"0.0 - 1.9 (665)"
02170,"""Matanuska-Susitna, (AK)""",4.9,"3.3 - 5.7 (638)"
02180,"""Nome, (AK)""",2.7,"2.0 - 3.2 (633)"
02185,"""North Slope, (AK)""",2,"2.0 - 3.2 (633)"
02188,"""Northwest Arctic, (AK)""",1.4,"0.0 - 1.9 (665)"
02195,"""Petersburg, (AK)""",11.6,"5.8 - 13.2 (641)"
02198,"""Prince of Wales-Hyder, (AK)""",3.8,"3.3 - 5.7 (638)"
02220,"""Sitka, (AK)""",6.7,"5.8 - 13.2 (641)"
02230,"""Skagway, (AK)""",5.6,"3.3 - 5.7 (638)"
02240,"""Southeast Fairbanks, (AK)""",6,"5.8 - 13.2 (641)"
02261,"""Valdez-Cordova, (AK)""",5.2,"3.3 - 5.7 (638)"
02158,"""Kusilvak, (AK)""",1.1,"0.0 - 1.9 (665)"
02275,"""Wrangell, (AK)""",5,"3.3 - 5.7 (638)"
02282,"""Yakutat, (AK)""",7.7,"5.8 - 13.2 (641)"
02290,"""Yukon-Koyukuk, (AK)""",2.6,"2.0 - 3.2 (633)"
06001,"""Alameda, (CA)""",22.3,"13.3 - 99.9 (643)"
06005,"""Amador, (CA)""",13.8,"13.3 - 99.9 (643)"
06007,"""Butte, (CA)""",16.3,"13.3 - 99.9 (643)"
06009,"""Calaveras, (CA)""",12,"5.8 - 13.2 (641)"
06011,"""Colusa, (CA)""",59.3,"13.3 - 99.9 (643)"
06013,"""Contra Costa, (CA)""",25.5,"13.3 - 99.9 (643)"
06015,"""Del Norte, (CA)""",19.7,"13.3 - 99.9 (643)"
06017,"""El Dorado, (CA)""",12.8,"5.8 - 13.2 (641)"
06021,"""Glenn, (CA)""",41.7,"13.3 - 99.9 (643)"
06023,"""Humboldt, (CA)""",11.5,"5.8 - 13.2 (641)"
06031,"""Kings, (CA)""",54.4,"13.3 - 99.9 (643)"
06033,"""Lake, (CA)""",20.5,"13.3 - 99.9 (643)"
06035,"""Lassen, (CA)""",18.9,"13.3 - 99.9 (643)"
06041,"""Marin, (CA)""",15.9,"13.3 - 99.9 (643)"
06043,"""Mariposa, (CA)""",11.2,"5.8 - 13.2 (641)"
06045,"""Mendocino, (CA)""",25.1,"13.3 - 99.9 (643)"
06047,"""Merced, (CA)""",59.6,"13.3 - 99.9 (643)"
06049,"""Modoc, (CA)""",14.4,"13.3 - 99.9 (643)"
06053,"""Monterey, (CA)""",58.6,"13.3 - 99.9 (643)"
06055,"""Napa, (CA)""",34,"13.3 - 99.9 (643)"
06057,"""Nevada, (CA)""",9.4,"5.8 - 13.2 (641)"
06061,"""Placer, (CA)""",13.9,"13.3 - 99.9 (643)"
06063,"""Plumas, (CA)""",8.9,"5.8 - 13.2 (641)"
06067,"""Sacramento, (CA)""",23.1,"13.3 - 99.9 (643)"
06069,"""San Benito, (CA)""",59.7,"13.3 - 99.9 (643)"
06075,"""San Francisco, (CA)""",15.2,"13.3 - 99.9 (643)"
06077,"""San Joaquin, (CA)""",41.4,"13.3 - 99.9 (643)"
06079,"""San Luis Obispo, (CA)""",22.5,"13.3 - 99.9 (643)"
06081,"""San Mateo, (CA)""",24.3,"13.3 - 99.9 (643)"
06083,"""Santa Barbara, (CA)""",45.3,"13.3 - 99.9 (643)"
06085,"""Santa Clara, (CA)""",25.4,"13.3 - 99.9 (643)"
06087,"""Santa Cruz, (CA)""",33.5,"13.3 - 99.9 (643)"
06089,"""Shasta, (CA)""",10,"5.8 - 13.2 (641)"
06091,"""Sierra, (CA)""",10.6,"5.8 - 13.2 (641)"
06093,"""Siskiyou, (CA)""",12.5,"5.8 - 13.2 (641)"
06095,"""Solano, (CA)""",26.4,"13.3 - 99.9 (643)"
06097,"""Sonoma, (CA)""",26.7,"13.3 - 99.9 (643)"
06099,"""Stanislaus, (CA)""",46.2,"13.3 - 99.9 (643)"
06101,"""Sutter, (CA)""",30.9,"13.3 - 99.9 (643)"
06103,"""Tehama, (CA)""",24.9,"13.3 - 99.9 (643)"
06105,"""Trinity, (CA)""",7.2,"5.8 - 13.2 (641)"
06109,"""Tuolumne, (CA)""",12.2,"5.8 - 13.2 (641)"
06113,"""Yolo, (CA)""",31.6,"13.3 - 99.9 (643)"
06115,"""Yuba, (CA)""",28.2,"13.3 - 99.9 (643)"
15001,"""Hawaii, (HI)""",12.7,"5.8 - 13.2 (641)"
15003,"""Honolulu, (HI)""",9.8,"5.8 - 13.2 (641)"
15005,"""Kalawao, (HI)""",3,"2.0 - 3.2 (633)"
15007,"""Kauai, (HI)""",11,"5.8 - 13.2 (641)"
15009,"""Maui, (HI)""",11.3,"5.8 - 13.2 (641)"
41003,"""Benton, (OR)""",7.3,"5.8 - 13.2 (641)"
41005,"""Clackamas, (OR)""",8.6,"5.8 - 13.2 (641)"
41007,"""Clatsop, (OR)""",8.5,"5.8 - 13.2 (641)"
41009,"""Columbia, (OR)""",5.1,"3.3 - 5.7 (638)"
41011,"""Coos, (OR)""",6.4,"5.8 - 13.2 (641)"
