"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",3385,"66 - 9003 (644)"
02016,"""Aleutians West, (AK)""",5698,"66 - 9003 (644)"
02020,"""Anchorage, (AK)""",293531,"91761.1 - 5198275 (644)"
02050,"""Bethel, (AK)""",18134,"9003.1 - 18972 (644)"
02060,"""Bristol Bay, (AK)""",875,"66 - 9003 (644)"
02068,"""Denali, (AK)""",2246,"66 - 9003 (644)"
02070,"""Dillingham, (AK)""",4961,"66 - 9003 (644)"
02090,"""Fairbanks North Star, (AK)""",99072,"91761.1 - 5198275 (644)"
02100,"""Haines, (AK)""",2518,"66 - 9003 (644)"
02105,"""Hoonah-Angoon, (AK)""",2139,"66 - 9003 (644)"
02110,"""Juneau, (AK)""",32227,"18972.1 - 36774 (644)"
02122,"""Kenai Peninsula, (AK)""",58464,"36774.1 - 91761 (644)"
02130,"""Ketchikan Gateway, (AK)""",13800,"9003.1 - 18972 (644)"
02150,"""Kodiak Island, (AK)""",13451,"9003.1 - 18972 (644)"
02164,"""Lake and Peninsula, (AK)""",1393,"66 - 9003 (644)"
02170,"""Matanuska-Susitna, (AK)""",105369,"91761.1 - 5198275 (644)"
02180,"""Nome, (AK)""",9988,"9003.1 - 18972 (644)"
02185,"""North Slope, (AK)""",9792,"9003.1 - 18972 (644)"
02188,"""Northwest Arctic, (AK)""",7715,"66 - 9003 (644)"
02195,"""Petersburg, (AK)""",3257,"66 - 9003 (644)"
02198,"""Prince of Wales-Hyder, (AK)""",6407,"66 - 9003 (644)"
02220,"""Sitka, (AK)""",8640,"66 - 9003 (644)"
02230,"""Skagway, (AK)""",1107,"66 - 9003 (644)"
02240,"""Southeast Fairbanks, (AK)""",6878,"66 - 9003 (644)"
02261,"""Valdez-Cordova, (AK)""",9243,"9003.1 - 18972 (644)"
02158,"""Kusilvak, (AK)""",8250,"66 - 9003 (644)"
02275,"""Wrangell, (AK)""",2502,"66 - 9003 (644)"
02282,"""Yakutat, (AK)""",649,"66 - 9003 (644)"
