"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",13.2,"0.0 - 57.5 (646)"
02016,"""Aleutians West, (AK)""",23.8,"0.0 - 57.5 (646)"
02020,"""Anchorage, (AK)""",57.9,"57.6 - 76.3 (647)"
02050,"""Bethel, (AK)""",9.7,"0.0 - 57.5 (646)"
02060,"""Bristol Bay, (AK)""",50.8,"0.0 - 57.5 (646)"
02068,"""Denali, (AK)""",84.2,"76.4 - 87.5 (641)"
02070,"""Dillingham, (AK)""",15.4,"0.0 - 57.5 (646)"
02090,"""Fairbanks North Star, (AK)""",69.9,"57.6 - 76.3 (647)"
02100,"""Haines, (AK)""",77.5,"76.4 - 87.5 (641)"
02105,"""Hoonah-Angoon, (AK)""",43.8,"0.0 - 57.5 (646)"
02110,"""Juneau, (AK)""",64.6,"57.6 - 76.3 (647)"
02122,"""Kenai Peninsula, (AK)""",79.9,"76.4 - 87.5 (641)"
02130,"""Ketchikan Gateway, (AK)""",63.9,"57.6 - 76.3 (647)"
02150,"""Kodiak Island, (AK)""",49,"0.0 - 57.5 (646)"
02164,"""Lake and Peninsula, (AK)""",20.9,"0.0 - 57.5 (646)"
02170,"""Matanuska-Susitna, (AK)""",79.2,"76.4 - 87.5 (641)"
02180,"""Nome, (AK)""",14.6,"0.0 - 57.5 (646)"
02185,"""North Slope, (AK)""",30.9,"0.0 - 57.5 (646)"
02188,"""Northwest Arctic, (AK)""",10.7,"0.0 - 57.5 (646)"
02195,"""Petersburg, (AK)""",65.4,"57.6 - 76.3 (647)"
02198,"""Prince of Wales-Hyder, (AK)""",45.2,"0.0 - 57.5 (646)"
02220,"""Sitka, (AK)""",61.5,"57.6 - 76.3 (647)"
02230,"""Skagway, (AK)""",82.1,"76.4 - 87.5 (641)"
02240,"""Southeast Fairbanks, (AK)""",73.6,"57.6 - 76.3 (647)"
02261,"""Valdez-Cordova, (AK)""",69.3,"57.6 - 76.3 (647)"
02158,"""Kusilvak, (AK)""",3.5,"0.0 - 57.5 (646)"
02275,"""Wrangell, (AK)""",61.8,"57.6 - 76.3 (647)"
02282,"""Yakutat, (AK)""",43.2,"0.0 - 57.5 (646)"
02290,"""Yukon-Koyukuk, (AK)""",21.5,"0.0 - 57.5 (646)"
06001,"""Alameda, (CA)""",31.4,"0.0 - 57.5 (646)"
06005,"""Amador, (CA)""",78.1,"76.4 - 87.5 (641)"
06007,"""Butte, (CA)""",71.9,"57.6 - 76.3 (647)"
06009,"""Calaveras, (CA)""",80.9,"76.4 - 87.5 (641)"
06011,"""Colusa, (CA)""",35.3,"0.0 - 57.5 (646)"
