"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",0.407,"Lowest (674)"
02016,"""Aleutians West, (AK)""",0.351,"Lowest (674)"
02020,"""Anchorage, (AK)""",0.43,"Low (621)"
02050,"""Bethel, (AK)""",0.45,"Medium (607)"
02060,"""Bristol Bay, (AK)""",0.392,"Lowest (674)"
02068,"""Denali, (AK)""",0.349,"Lowest (674)"
02070,"""Dillingham, (AK)""",0.427,"Low (621)"
02090,"""Fairbanks North Star, (AK)""",0.409,"Lowest (674)"
02100,"""Haines, (AK)""",0.399,"Lowest (674)"
02105,"""Hoonah-Angoon, (AK)""",0.431,"Low (621)"
02110,"""Juneau, (AK)""",0.399,"Lowest (674)"
02122,"""Kenai Peninsula, (AK)""",0.439,"Medium (607)"
02130,"""Ketchikan Gateway, (AK)""",0.433,"Low (621)"
02150,"""Kodiak Island, (AK)""",0.372,"Lowest (674)"
02164,"""Lake and Peninsula, (AK)""",0.426,"Low (621)"
02170,"""Matanuska-Susitna, (AK)""",0.422,"Low (621)"
02180,"""Nome, (AK)""",0.43,"Low (621)"
02185,"""North Slope, (AK)""",0.409,"Lowest (674)"
02188,"""Northwest Arctic, (AK)""",0.447,"Medium (607)"
02195,"""Petersburg, (AK)""",0.427,"Low (621)"
02198,"""Prince of Wales-Hyder, (AK)""",0.433,"Low (621)"
02220,"""Sitka, (AK)""",0.419,"Low (621)"
02230,"""Skagway, (AK)""",0.302,"Lowest (674)"
02240,"""Southeast Fairbanks, (AK)""",0.406,"Lowest (674)"
02261,"""Valdez-Cordova, (AK)""",0.413,"Lowest (674)"
02158,"""Kusilvak, (AK)""",0.429,"Low (621)"
02275,"""Wrangell, (AK)""",0.421,"Low (621)"
02282,"""Yakutat, (AK)""",0.339,"Lowest (674)"
02290,"""Yukon-Koyukuk, (AK)""",0.467,"High (588)"
06001,"""Alameda, (CA)""",0.462,"High (588)"
06005,"""Amador, (CA)""",0.449,"Medium (607)"
06007,"""Butte, (CA)""",0.494,"Highest (602)"
06009,"""Calaveras, (CA)""",0.441,"Medium (607)"
06011,"""Colusa, (CA)""",0.455,
06013,"""Contra Costa, (CA)""",0.467,"High (588)"
06015,"""Del Norte, (CA)""",0.474,"High (588)"
06017,"""El Dorado, (CA)""",0.456,"High (588)"
06021,"""Glenn, (CA)""",0.444,"Medium (607)"
06023,"""Humboldt, (CA)""",0.484,"Highest (602)"
06031,"""Kings, (CA)""",0.427,"Low (621)"
06033,"""Lake, (CA)""",0.482,"Highest (602)"
06035,"""Lassen, (CA)""",0.417,
06041,"""Marin, (CA)""",0.518,"Highest (602)"
06043,"""Mariposa, (CA)""",0.423,"Low (621)"
06045,"""Mendocino, (CA)""",0.47,"High (588)"
06047,"""Merced, (CA)""",0.472,"High (588)"
06049,"""Modoc, (CA)""",0.4,"Lowest (674)"
06053,"""Monterey, (CA)""",0.457,"High (588)"
06055,"""Napa, (CA)""",0.471,"High (588)"
06057,"""Nevada, (CA)""",0.47,"High (588)"
06061,"""Placer, (CA)""",0.447,"Medium (607)"
06063,"""Plumas, (CA)""",0.467,"High (588)"
06067,"""Sacramento, (CA)""",0.454,"Medium (607)"
06069,"""San Benito, (CA)""",0.405,"Lowest (674)"
06075,"""San Francisco, (CA)""",0.51,"Highest (602)"
06077,"""San Joaquin, (CA)""",0.453,"Medium (607)"
06079,"""San Luis Obispo, (CA)""",0.45,"Medium (607)"
06081,"""San Mateo, (CA)""",0.485,"Highest (602)"
06083,"""Santa Barbara, (CA)""",0.482,"Highest (602)"
06085,"""Santa Clara, (CA)""",0.466,"High (588)"
06087,"""Santa Cruz, (CA)""",0.482,"Highest (602)"
06089,"""Shasta, (CA)""",0.459,"High (588)"
06091,"""Sierra, (CA)""",0.459,"High (588)"
06093,"""Siskiyou, (CA)""",0.477,
06095,"""Solano, (CA)""",0.421,"Low (621)"
06097,"""Sonoma, (CA)""",0.454,"Medium (607)"
06099,"""Stanislaus, (CA)""",0.44,"Medium (607)"
06101,"""Sutter, (CA)""",0.453,"Medium (607)"
06103,"""Tehama, (CA)""",0.466,"High (588)"
06105,"""Trinity, (CA)""",0.464,"High (588)"
06109,"""Tuolumne, (CA)""",0.483,"Highest (602)"
06113,"""Yolo, (CA)""",0.493,"Highest (602)"
06115,"""Yuba, (CA)""",0.426,"Low (621)"
15001,"""Hawaii, (HI)""",0.471,"High (588)"
15003,"""Honolulu, (HI)""",0.434,"Low (621)"
15005,"""Kalawao, (HI)""",0.312,"Lowest (674)"
15007,"""Kauai, (HI)""",0.416,"Lowest (674)"
15009,"""Maui, (HI)""",0.44,"Medium (607)"
41003,"""Benton, (OR)""",0.48,"Highest (602)"
41005,"""Clackamas, (OR)""",0.446,"Medium (607)"
41007,"""Clatsop, (OR)""",0.412,"Lowest (674)"
41009,"""Columbia, (OR)""",0.436,"Low (621)"
41011,"""Coos, (OR)""",0.461,"High (588)"
41013,"""Crook, (OR)""",0.419,"Low (621)"
41015,"""Curry, (OR)""",0.444,"Medium (607)"
41017,"""Deschutes, (OR)""",0.443,"Medium (607)"
41019,"""Douglas, (OR)""",0.44,"Medium (607)"
