"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",14.8,"12.3 - 14.8 (618)"
02016,"""Aleutians West, (AK)""",7.6,"2.7 - 9.7 (648)"
02020,"""Anchorage, (AK)""",9.5,"2.7 - 9.7 (648)"
02050,"""Bethel, (AK)""",23.5,"18.8 - 47.7 (615)"
02060,"""Bristol Bay, (AK)""",9.8,"9.8 - 12.2 (625)"
02068,"""Denali, (AK)""",6.6,"2.7 - 9.7 (648)"
02070,"""Dillingham, (AK)""",18.1,"14.9 - 18.7 (635)"
02090,"""Fairbanks North Star, (AK)""",7.2,"2.7 - 9.7 (648)"
02100,"""Haines, (AK)""",9.8,"9.8 - 12.2 (625)"
02105,"""Hoonah-Angoon, (AK)""",15.7,"14.9 - 18.7 (635)"
02110,"""Juneau, (AK)""",6.3,"2.7 - 9.7 (648)"
02122,"""Kenai Peninsula, (AK)""",10.4,"9.8 - 12.2 (625)"
02130,"""Ketchikan Gateway, (AK)""",9.4,"2.7 - 9.7 (648)"
02150,"""Kodiak Island, (AK)""",7.1,"2.7 - 9.7 (648)"
02164,"""Lake and Peninsula, (AK)""",17.4,"14.9 - 18.7 (635)"
02170,"""Matanuska-Susitna, (AK)""",9.6,"2.7 - 9.7 (648)"
02180,"""Nome, (AK)""",20.7,"18.8 - 47.7 (615)"
02185,"""North Slope, (AK)""",11.4,"9.8 - 12.2 (625)"
02188,"""Northwest Arctic, (AK)""",24,"18.8 - 47.7 (615)"
02195,"""Petersburg, (AK)""",6.7,"2.7 - 9.7 (648)"
02198,"""Prince of Wales-Hyder, (AK)""",17.6,"14.9 - 18.7 (635)"
02220,"""Sitka, (AK)""",8.1,"2.7 - 9.7 (648)"
02230,"""Skagway, (AK)""",4,"2.7 - 9.7 (648)"
02240,"""Southeast Fairbanks, (AK)""",12,"9.8 - 12.2 (625)"
02261,"""Valdez-Cordova, (AK)""",8.6,"2.7 - 9.7 (648)"
02158,"""Kusilvak, (AK)""",26.8,"18.8 - 47.7 (615)"
02275,"""Wrangell, (AK)""",9.7,"2.7 - 9.7 (648)"
02282,"""Yakutat, (AK)""",14.7,"12.3 - 14.8 (618)"
02290,"""Yukon-Koyukuk, (AK)""",24.4,"18.8 - 47.7 (615)"
06001,"""Alameda, (CA)""",8.9,"2.7 - 9.7 (648)"
06005,"""Amador, (CA)""",9.8,"9.8 - 12.2 (625)"
06007,"""Butte, (CA)""",16.1,"14.9 - 18.7 (635)"
06009,"""Calaveras, (CA)""",12.1,"9.8 - 12.2 (625)"
06011,"""Colusa, (CA)""",12,"9.8 - 12.2 (625)"
06013,"""Contra Costa, (CA)""",7.9,"2.7 - 9.7 (648)"
06015,"""Del Norte, (CA)""",17.9,"14.9 - 18.7 (635)"
06017,"""El Dorado, (CA)""",8.7,"2.7 - 9.7 (648)"
06021,"""Glenn, (CA)""",12.1,"9.8 - 12.2 (625)"
06023,"""Humboldt, (CA)""",19.1,"18.8 - 47.7 (615)"
06031,"""Kings, (CA)""",16,"14.9 - 18.7 (635)"
06033,"""Lake, (CA)""",18.3,"14.9 - 18.7 (635)"
06035,"""Lassen, (CA)""",16.5,"14.9 - 18.7 (635)"
06041,"""Marin, (CA)""",6.9,"2.7 - 9.7 (648)"
06043,"""Mariposa, (CA)""",15.1,"14.9 - 18.7 (635)"
06045,"""Mendocino, (CA)""",14,"12.3 - 14.8 (618)"
06047,"""Merced, (CA)""",17,"14.9 - 18.7 (635)"
06049,"""Modoc, (CA)""",20.5,"18.8 - 47.7 (615)"
06053,"""Monterey, (CA)""",12.6,"12.3 - 14.8 (618)"
