"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",2.3,"0.8 - 2.9 (743)"
02016,"""Aleutians West, (AK)""",3.1,"3.0 - 3.4 (597)"
02020,"""Anchorage, (AK)""",4.4,"4.1 - 5.0 (622)"
02050,"""Bethel, (AK)""",11.5,"5.1 - 20.9 (613)"
02060,"""Bristol Bay, (AK)""",5.3,"5.1 - 20.9 (613)"
02068,"""Denali, (AK)""",7.4,"5.1 - 20.9 (613)"
02070,"""Dillingham, (AK)""",7,"5.1 - 20.9 (613)"
02090,"""Fairbanks North Star, (AK)""",4.7,"4.1 - 5.0 (622)"
02100,"""Haines, (AK)""",7.9,"5.1 - 20.9 (613)"
02105,"""Hoonah-Angoon, (AK)""",10,"5.1 - 20.9 (613)"
02110,"""Juneau, (AK)""",3.9,"3.5 - 4.0 (644)"
02122,"""Kenai Peninsula, (AK)""",6,"5.1 - 20.9 (613)"
02130,"""Ketchikan Gateway, (AK)""",5.5,"5.1 - 20.9 (613)"
02150,"""Kodiak Island, (AK)""",4.9,"4.1 - 5.0 (622)"
02164,"""Lake and Peninsula, (AK)""",8.9,"5.1 - 20.9 (613)"
02170,"""Matanuska-Susitna, (AK)""",6.1,"5.1 - 20.9 (613)"
02180,"""Nome, (AK)""",9.8,"5.1 - 20.9 (613)"
02185,"""North Slope, (AK)""",5.6,"5.1 - 20.9 (613)"
02188,"""Northwest Arctic, (AK)""",12.6,"5.1 - 20.9 (613)"
02195,"""Petersburg, (AK)""",7.8,"5.1 - 20.9 (613)"
02198,"""Prince of Wales-Hyder, (AK)""",8.9,"5.1 - 20.9 (613)"
02220,"""Sitka, (AK)""",3.6,"3.5 - 4.0 (644)"
02230,"""Skagway, (AK)""",8.8,"5.1 - 20.9 (613)"
02240,"""Southeast Fairbanks, (AK)""",7.9,"5.1 - 20.9 (613)"
02261,"""Valdez-Cordova, (AK)""",6.7,"5.1 - 20.9 (613)"
02158,"""Kusilvak, (AK)""",17.6,"5.1 - 20.9 (613)"
02275,"""Wrangell, (AK)""",6.7,"5.1 - 20.9 (613)"
02282,"""Yakutat, (AK)""",6.7,"5.1 - 20.9 (613)"
02290,"""Yukon-Koyukuk, (AK)""",12.6,"5.1 - 20.9 (613)"
06001,"""Alameda, (CA)""",3,"3.0 - 3.4 (597)"
06005,"""Amador, (CA)""",3.9,"3.5 - 4.0 (644)"
06007,"""Butte, (CA)""",5.2,"5.1 - 20.9 (613)"
06009,"""Calaveras, (CA)""",3.9,"3.5 - 4.0 (644)"
06011,"""Colusa, (CA)""",13,"5.1 - 20.9 (613)"
06013,"""Contra Costa, (CA)""",3.1,"3.0 - 3.4 (597)"
06015,"""Del Norte, (CA)""",5.9,"5.1 - 20.9 (613)"
06017,"""El Dorado, (CA)""",3.6,"3.5 - 4.0 (644)"
06021,"""Glenn, (CA)""",6.2,"5.1 - 20.9 (613)"
06023,"""Humboldt, (CA)""",3.7,"3.5 - 4.0 (644)"
06031,"""Kings, (CA)""",8,"5.1 - 20.9 (613)"
06033,"""Lake, (CA)""",5.2,"5.1 - 20.9 (613)"
06035,"""Lassen, (CA)""",4.7,"4.1 - 5.0 (622)"
06041,"""Marin, (CA)""",2.4,"0.8 - 2.9 (743)"
06043,"""Mariposa, (CA)""",4.6,"4.1 - 5.0 (622)"
06045,"""Mendocino, (CA)""",4,"3.5 - 4.0 (644)"
06047,"""Merced, (CA)""",8.2,"5.1 - 20.9 (613)"
06049,"""Modoc, (CA)""",7.2,"5.1 - 20.9 (613)"
06053,"""Monterey, (CA)""",6.4,"5.1 - 20.9 (613)"
06055,"""Napa, (CA)""",2.9,"0.8 - 2.9 (743)"
06057,"""Nevada, (CA)""",3.4,"3.0 - 3.4 (597)"
06061,"""Placer, (CA)""",3.2,"3.0 - 3.4 (597)"
06063,"""Plumas, (CA)""",7.8,"5.1 - 20.9 (613)"
06067,"""Sacramento, (CA)""",3.7,"3.5 - 4.0 (644)"
06069,"""San Benito, (CA)""",5,"4.1 - 5.0 (622)"
06075,"""San Francisco, (CA)""",2.2,"0.8 - 2.9 (743)"
06077,"""San Joaquin, (CA)""",6,"5.1 - 20.9 (613)"
06079,"""San Luis Obispo, (CA)""",2.9,"0.8 - 2.9 (743)"
06081,"""San Mateo, (CA)""",2.1,"0.8 - 2.9 (743)"
06083,"""Santa Barbara, (CA)""",3.7,"3.5 - 4.0 (644)"
06085,"""Santa Clara, (CA)""",2.5,"0.8 - 2.9 (743)"
06087,"""Santa Cruz, (CA)""",5,"4.1 - 5.0 (622)"
06089,"""Shasta, (CA)""",4.8,"4.1 - 5.0 (622)"
06091,"""Sierra, (CA)""",5.4,"5.1 - 20.9 (613)"
06093,"""Siskiyou, (CA)""",6.6,"5.1 - 20.9 (613)"
06095,"""Solano, (CA)""",3.8,"3.5 - 4.0 (644)"
06097,"""Sonoma, (CA)""",2.7,"0.8 - 2.9 (743)"
06099,"""Stanislaus, (CA)""",6.2,"5.1 - 20.9 (613)"
06101,"""Sutter, (CA)""",7.5,"5.1 - 20.9 (613)"
06103,"""Tehama, (CA)""",5.7,"5.1 - 20.9 (613)"
06105,"""Trinity, (CA)""",5.6,"5.1 - 20.9 (613)"
06109,"""Tuolumne, (CA)""",4.6,"4.1 - 5.0 (622)"
06113,"""Yolo, (CA)""",4.2,"4.1 - 5.0 (622)"
06115,"""Yuba, (CA)""",6.2,"5.1 - 20.9 (613)"
15001,"""Hawaii, (HI)""",3.1,"3.0 - 3.4 (597)"
15003,"""Honolulu, (HI)""",2.3,"0.8 - 2.9 (743)"
15005,"""Kalawao, (HI)""",-1,
15007,"""Kauai, (HI)""",2.4,"0.8 - 2.9 (743)"
15009,"""Maui, (HI)""",2.4,"0.8 - 2.9 (743)"
41003,"""Benton, (OR)""",3,"3.0 - 3.4 (597)"
41005,"""Clackamas, (OR)""",3.3,"3.0 - 3.4 (597)"
41007,"""Clatsop, (OR)""",3.7,"3.5 - 4.0 (644)"
41009,"""Columbia, (OR)""",4.4,"4.1 - 5.0 (622)"
41011,"""Coos, (OR)""",4.8,"4.1 - 5.0 (622)"
41013,"""Crook, (OR)""",5.1,"5.1 - 20.9 (613)"
41015,"""Curry, (OR)""",5.1,"5.1 - 20.9 (613)"
41017,"""Deschutes, (OR)""",3.9,"3.5 - 4.0 (644)"
41019,"""Douglas, (OR)""",4.8,"4.1 - 5.0 (622)"
41021,"""Gilliam, (OR)""",3.6,"3.5 - 4.0 (644)"
41027,"""Hood River, (OR)""",3.1,"3.0 - 3.4 (597)"
41029,"""Jackson, (OR)""",4.3,"4.1 - 5.0 (622)"
41031,"""Jefferson, (OR)""",5,"4.1 - 5.0 (622)"
41033,"""Josephine, (OR)""",4.9,"4.1 - 5.0 (622)"
41035,"""Klamath, (OR)""",6,"5.1 - 20.9 (613)"
41037,"""Lake, (OR)""",5.3,"5.1 - 20.9 (613)"
41039,"""Lane, (OR)""",4,"3.5 - 4.0 (644)"
41041,"""Lincoln, (OR)""",4.3,"4.1 - 5.0 (622)"
41043,"""Linn, (OR)""",4.3,"4.1 - 5.0 (622)"
41047,"""Marion, (OR)""",3.9,"3.5 - 4.0 (644)"
41051,"""Multnomah, (OR)""",3.2,"3.0 - 3.4 (597)"
41053,"""Polk, (OR)""",4,"3.5 - 4.0 (644)"
41055,"""Sherman, (OR)""",3.4,"3.0 - 3.4 (597)"
41057,"""Tillamook, (OR)""",3.8,"3.5 - 4.0 (644)"
41065,"""Wasco, (OR)""",4,"3.5 - 4.0 (644)"
41067,"""Washington, (OR)""",3,"3.0 - 3.4 (597)"
41069,"""Wheeler, (OR)""",4.2,"4.1 - 5.0 (622)"
41071,"""Yamhill, (OR)""",3.4,"3.0 - 3.4 (597)"
53007,"""Chelan, (WA)""",4.8,"4.1 - 5.0 (622)"
53009,"""Clallam, (WA)""",6.6,"5.1 - 20.9 (613)"
53011,"""Clark, (WA)""",4.7,"4.1 - 5.0 (622)"
53015,"""Cowlitz, (WA)""",5.9,"5.1 - 20.9 (613)"
53027,"""Grays Harbor, (WA)""",7,"5.1 - 20.9 (613)"
53029,"""Island, (WA)""",5,"4.1 - 5.0 (622)"
53031,"""Jefferson, (WA)""",5.6,"5.1 - 20.9 (613)"
53033,"""King, (WA)""",2.6,"0.8 - 2.9 (743)"
53035,"""Kitsap, (WA)""",4.5,"4.1 - 5.0 (622)"
53037,"""Kittitas, (WA)""",5.4,"5.1 - 20.9 (613)"
