cnty_fips,county,state,cardiac_intensive_care_units,cardiac_rehab_eligibility,cardiac_rehab_sessions,cardiac_rehab_particpation,cardiac_rehab_units,cholesterol_screen,cholesterol_medication,no_of_emergency_centers,no_of_hospitals,insurance_status,neuro_services_avail,no_of_pharmacies,no_of_primary_physicians,total_healthcare_cost_per_capita,prevalence,diagnosed_diabetes,cholesterol_awareness,leisure_inactivity,obesity,smoking,air_quality,population_age_65_plus,population_indians,population_asian,population_black,population_hispanic,population_total,population_white,income_inequality,median_houshld_income,park_access,poverty_rate,unemployment_rate,urban_rural_class
2020,Anchorage,AK,1.0,13.5,23.6,24.3,1.0,72.5,18.7,5.1,4.0,12.1,2.0,5.1,0.9,16889,5.1,8.6,32.1,17.0,30.1,17.3,6.4,10.5,7.3,11.8,5.2,9.1,293531.0,57.9,0.43,0.43,83.0,9.5,4.4,3.0
2090,Fairbanks North Star,AK,1.0,13.0,29.6,33.6,1.0,70.8,17.1,7.1,2.0,12.3,0.0,7.1,1.2,12996,4.8,7.9,31.6,18.6,31.1,17.5,13.9,9.8,7.2,3.6,4.2,8.0,99072.0,69.9,0.409,0.409,36.0,7.2,4.7,3.0
2122,Kenai Peninsula,AK,0.0,15.3,25.7,33.6,1.0,75.4,18.8,6.8,3.0,15.5,1.0,6.8,1.3,18183,7.4,8.1,35.1,19.9,32.9,20.8,8.125,16.5,7.7,1.9,0.5,4.1,58464.0,79.9,0.439,0.439,52.0,10.4,6.0,4.0
2170,Matanuska-Susitna,AK,0.0,15.3,24.1,22.7,0.0,72.3,17.6,0.0,1.0,15.1,0.0,0.0,2.0,17259,5.9,8.6,32.3,19.8,34.3,20.5,5.7,11.3,6.0,1.5,1.1,4.9,105369.0,79.2,0.422,0.422,26.0,9.6,6.1,3.0
6001,Alameda,CA,3.0,10.6,26.2,23.6,6.0,80.8,13.8,8.8,12.0,5.0,7.0,8.8,0.9,20204,4.7,6.7,28.4,14.5,22.0,11.3,8.7,13.5,0.3,30.0,10.3,22.3,1656754.0,31.4,0.462,0.462,84.0,8.9,3.0,1.0
6005,Amador,CA,0.0,16.1,26.8,10.9,0.0,84.3,13.8,7.6,1.0,6.0,0.0,7.6,1.6,16180,8.4,14.2,37.0,21.2,29.8,14.6,9.0,26.7,0.6,1.3,2.2,13.8,38429.0,78.1,0.449,0.449,23.0,9.8,3.9,4.0
6007,Butte,CA,1.0,13.4,27.5,35.5,2.0,78.5,17.9,11.2,3.0,7.7,2.0,11.2,1.7,20378,7.1,9.3,33.9,22.2,30.3,15.3,7.6,18.0,0.7,4.6,1.4,16.3,225817.0,71.9,0.494,0.494,44.0,16.1,5.2,3.0
6009,Calaveras,CA,0.0,13.3,29.0,19.3,0.0,84.7,15.6,8.8,1.0,7.4,0.0,8.8,2.4,17879,8.6,7.4,38.5,24.0,28.1,13.9,8.0,27.5,0.4,1.5,0.6,12.0,45514.0,80.9,0.441,0.441,42.0,12.1,3.9,4.0
6013,Contra Costa,CA,2.0,10.7,26.0,29.3,5.0,82.7,13.8,8.8,7.0,5.9,5.0,8.8,1.0,19449,5.4,7.5,30.7,15.8,24.9,11.0,8.1,15.4,0.1,16.9,8.3,25.5,1142251.0,43.8,0.467,0.467,75.0,7.9,3.1,2.0
6017,El Dorado,CA,0.0,13.2,32.3,35.9,1.0,84.0,13.1,10.0,2.0,5.7,1.0,10.0,1.3,17094,6.8,5.9,36.0,17.0,25.2,12.7,8.3,20.5,0.5,4.7,0.7,12.8,188563.0,77.8,0.456,0.456,58.0,8.7,3.6,2.0
6021,Glenn,CA,0.0,12.2,27.9,18.7,0.0,78.4,18.4,14.3,1.0,11.9,0.0,14.3,7.0,19319,7.5,10.1,35.2,20.8,34.1,16.6,7.6,15.9,1.3,2.9,0.6,41.7,27976.0,51.4,0.444,0.444,32.0,12.1,6.2,4.0
6023,Humboldt,CA,1.0,18.3,17.3,20.6,1.0,78.2,14.0,16.9,4.0,8.2,1.0,16.9,1.6,17211,7.0,8.8,33.7,15.6,24.8,16.1,6.1,17.3,4.6,3.3,0.9,11.5,135940.0,74.3,0.484,0.484,51.0,19.1,3.7,4.0
